returned_episode_lengths,qvals,returned_won_episode,_runtime,update_steps,test_returned_episode_lengths,test_returned_won_episode,grad_steps,returned_episode_returns,loss,_timestamp,test_returned_episode,_step,test_returned_episode_returns,env_step,returned_episode
25.90755271911621,-0.476978063583374,0.2376302033662796,1107.911531733,3602,93.2265625,0.8671875,28568,0.510813295841217,0.08109863847494125,1746460899.2546563,1.0,3601,1.8510856628417969,5532672.0,0.0078125
25.82682228088379,-0.47882336378097534,0.2408854216337204,1115.321558187,3627,93.2265625,0.8671875,28768,0.5170485973358154,0.09714166820049286,1746460906.6647413,1.0,3626,1.8510856628417969,5571072.0,0.0078125
27.84375,-0.5820146799087524,0.2819010317325592,1124.818289454,3659,93.2265625,0.8671875,29024,0.583482563495636,0.12025772035121918,1746460916.1614099,1.0,3658,1.8510856628417969,5620224.0,0.0078125
27.22525978088379,-0.4701821804046631,0.26953125,1130.157683819,3677,93.2265625,0.8671875,29168,0.5593489408493042,0.09834983944892883,1746460921.5008802,1.0,3676,1.8510856628417969,5647872.0,0.0078125
25.31900978088379,-0.4575116038322449,0.232421875,1131.343390846,3681,93.2265625,0.8671875,29200,0.49826377630233765,0.10225711762905121,1746460922.6865454,1.0,3680,1.8510856628417969,5654016.0,0.0078125
26.77213478088379,-0.40581047534942627,0.267578125,1132.525054434,3685,93.2265625,0.8671875,29232,0.5554348826408386,0.07390964031219482,1746460923.868183,1.0,3684,1.8510856628417969,5660160.0,0.0078125
25.06900978088379,-0.4015500545501709,0.208984375,1136.384358756,3698,93.2265625,0.8671875,29336,0.46776729822158813,0.12405207753181458,1746460927.7273905,1.0,3697,1.8510856628417969,5680128.0,0.0078125
25.59244728088379,-0.48188868165016174,0.2513020932674408,1142.625754423,3719,93.2265625,0.8671875,29504,0.5184739232063293,0.12295658886432648,1746460933.9688635,1.0,3718,1.8510856628417969,5712384.0,0.0078125
25.54296875,-0.4297826290130615,0.2135416716337204,1147.078914091,3734,93.2265625,0.8671875,29624,0.4852534532546997,0.09221437573432922,1746460938.4221218,1.0,3733,1.8510856628417969,5735424.0,0.0078125
26.60416603088379,-0.4099545478820801,0.2721354067325592,1150.936939928,3747,93.2265625,0.8671875,29728,0.561406135559082,0.08979447931051254,1746460942.2801342,1.0,3746,1.8510856628417969,5755392.0,0.0078125
24.63802146911621,-0.3897332549095154,0.2213541716337204,1152.73344076,3753,93.2265625,0.8671875,29776,0.4766145348548889,0.07330216467380524,1746460944.0766416,1.0,3752,1.8510856628417969,5764608.0,0.0078125
26.34895896911621,-0.40624332427978516,0.2858072817325592,1158.334970199,3772,93.2265625,0.8671875,29928,0.5716145038604736,0.07914412766695023,1746460949.678143,1.0,3771,1.8510856628417969,5793792.0,0.0078125
26.12630271911621,-0.40798020362854004,0.2376302033662796,1158.629674241,3773,93.2265625,0.8671875,29936,0.5163862705230713,0.0891510397195816,1746460949.972865,1.0,3772,1.8510856628417969,5795328.0,0.0078125
27.28125,-0.3876371681690216,0.302734375,1159.232248429,3775,93.2265625,0.8671875,29952,0.6054686307907104,0.08659309148788452,1746460950.575452,1.0,3774,1.8510856628417969,5798400.0,0.0078125
26.70442771911621,-0.5852005481719971,0.2447916716337204,1170.817962556,3814,93.2265625,0.8671875,30264,0.5283793210983276,0.07487707585096359,1746460962.161078,1.0,3813,1.8510856628417969,5858304.0,0.0078125
26.58203125,-0.6066983342170715,0.2727864682674408,1172.01034211,3818,93.2265625,0.8671875,30296,0.562999963760376,0.07012543082237244,1746460963.3534138,1.0,3817,1.8510856628417969,5864448.0,0.0078125
25.55989646911621,-0.6298607587814331,0.2727864682674408,1182.695469156,3854,93.2265625,0.8671875,30584,0.545572817325592,0.08503957092761993,1746460974.0385897,1.0,3853,1.8510856628417969,5919744.0,0.0078125
25.98697853088379,-0.5519493818283081,0.2623697817325592,1184.47559235,3860,93.2265625,0.8671875,30632,0.5416926145553589,0.08894601464271545,1746460975.8187852,1.0,3859,1.8510856628417969,5928960.0,0.0078125
26.84895896911621,-0.5301939249038696,0.2701822817325592,1189.520986588,3877,93.2265625,0.8671875,30768,0.5603541135787964,0.0851687490940094,1746460980.864102,1.0,3876,1.8510856628417969,5955072.0,0.0078125
26.35677146911621,-0.5484850406646729,0.2513020932674408,1195.4765925,3897,93.2265625,0.8671875,30928,0.533812403678894,0.08673788607120514,1746460986.8197935,1.0,3896,1.8510856628417969,5985792.0,0.0078125
26.50650978088379,-0.5953366160392761,0.2727864682674408,1196.423763506,3900,89.693359375,0.951171875,30952,0.562999963760376,0.07225003093481064,1746460987.7669432,1.0,3899,1.947960615158081,5990400.0,0.0078125
26.25130271911621,-0.4556533098220825,0.2473958283662796,1201.169621823,3916,89.693359375,0.951171875,31080,0.5321995615959167,0.07570899277925491,1746460992.5127199,1.0,3915,1.947960615158081,6014976.0,0.0078125
26.375,-0.4499148726463318,0.2369791716337204,1204.149946488,3926,89.693359375,0.951171875,31160,0.5131874084472656,0.08522646129131317,1746460995.4931395,1.0,3925,1.947960615158081,6030336.0,0.0078125
25.90364646911621,-0.3935765027999878,0.2604166567325592,1205.639033138,3931,89.693359375,0.951171875,31200,0.5385763645172119,0.09972570836544037,1746460996.982111,1.0,3930,1.947960615158081,6038016.0,0.0078125
26.26822853088379,-0.41932713985443115,0.2109375,1205.93328162,3932,89.693359375,0.951171875,31208,0.48306766152381897,0.07749894261360168,1746460997.2764807,1.0,3931,1.947960615158081,6039552.0,0.0078125
27.31770896911621,-0.42450517416000366,0.2545572817325592,1206.522997637,3934,89.693359375,0.951171875,31224,0.5522047877311707,0.07528665661811829,1746460997.8661718,1.0,3933,1.947960615158081,6042624.0,0.0078125
26.44140625,-0.38187944889068604,0.2447916716337204,1212.46485203,3954,89.693359375,0.951171875,31384,0.5287100076675415,0.06956805288791656,1746461003.807999,1.0,3953,1.947960615158081,6073344.0,0.0078125
27.125,-0.4041758179664612,0.2766927182674408,1213.356062368,3957,89.693359375,0.951171875,31408,0.572916567325592,0.09303021430969238,1746461004.6991267,1.0,3956,1.947960615158081,6077952.0,0.0078125
26.453125,-0.3927062749862671,0.2252604216337204,1220.167254407,3980,89.693359375,0.951171875,31592,0.5112317204475403,0.08679961413145065,1746461011.5104768,1.0,3979,1.947960615158081,6113280.0,0.0078125
25.96744728088379,-0.36051446199417114,0.2180989533662796,1221.363004849,3984,89.693359375,0.951171875,31624,0.49581241607666016,0.0773807018995285,1746461012.7062075,1.0,3983,1.947960615158081,6119424.0,0.0078125
