returned_won_episode,returned_episode_returns,test_returned_episode,update_steps,_timestamp,returned_episode,env_step,loss,returned_episode_lengths,_runtime,grad_steps,test_returned_episode_lengths,test_returned_episode_returns,test_returned_won_episode,qvals,_step
0.0,0.20948351919651031,0.9999999403953552,228,1746167382.478833,0.0546875037252903,350208.0,0.1196683719754219,14.723307609558105,114.551680322,1576,16.218441009521484,0.053645141422748566,0.0,0.42566680908203125,227
0.0,0.2462673932313919,0.9999999403953552,237,1746167385.4226408,0.0625,364032.0,0.17786505818367004,13.832682609558105,117.495465878,1648,16.218441009521484,0.053645141422748566,0.0,0.47852054238319397,236
0.0,0.2405599057674408,0.9999999403953552,259,1746167392.6286283,0.0631510466337204,397824.0,0.14588358998298645,13.291016578674316,124.701474918,1824,16.218441009521484,0.053645141422748566,0.0,0.47245603799819946,258
0.0,0.23593750596046448,0.9999999403953552,273,1746167397.2070122,0.0638020858168602,419328.0,0.06319597363471985,13.206380844116211,129.279839237,1936,16.218441009521484,0.053645141422748566,0.0,0.49536973237991333,272
0.0,0.2638455331325531,0.9999999403953552,294,1746167404.0821574,0.0625,451584.0,0.0587598979473114,13.695963859558105,136.155014566,2104,16.218441009521484,0.053645141422748566,0.0,0.49828386306762695,293
0.0,0.26558157801628113,0.9999999403953552,305,1746167407.685304,0.0638020858168602,468480.0,0.0575423538684845,13.117188453674316,139.758156474,2192,16.218441009521484,0.053645141422748566,0.0,0.4979879558086395,304
0.0,0.26831600069999695,0.9999999403953552,310,1746167409.325148,0.0618489608168602,476160.0,0.05642387270927429,13.501302719116211,141.398065191,2232,16.218441009521484,0.053645141422748566,0.0,0.5011512041091919,309
0.0,0.2865234613418579,1.0,333,1746167416.9276545,0.0638020858168602,511488.0,0.04857290908694267,13.225260734558105,149.000499305,2416,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.4922420382499695,332
0.0,0.30499136447906494,1.0,339,1746167418.8906367,0.0677083358168602,520704.0,0.04938138276338577,12.691407203674316,150.963505571,2464,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.498216450214386,338
0.0,0.29967448115348816,1.0,343,1746167420.1992173,0.0638020858168602,526848.0,0.05318010598421097,13.138672828674316,152.272058984,2496,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.4935232996940613,342
0.0,0.33337676525115967,1.0,379,1746167431.979749,0.0677083358168602,582144.0,0.056329820305109024,12.777344703674316,164.052597371,2784,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.4935242831707001,378
0.0,0.33200958371162415,1.0,390,1746167435.5821962,0.0677083358168602,599040.0,0.05963095277547836,12.602213859558105,167.655014515,2872,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.5136704444885254,389
0.0,0.33016499876976013,1.0,402,1746167439.506638,0.0722656324505806,617472.0,0.06704162061214447,11.968750953674316,171.5794773,2968,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.5001594424247742,401
0.0,0.3459418714046478,1.0,403,1746167439.8342214,0.0703125,619008.0,0.06705311685800552,12.141927719116211,171.907069934,2976,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.4879229664802551,402
0.0,0.286675363779068,1.0,412,1746167442.7842758,0.068359375,632832.0,0.09127229452133179,12.655599594116211,174.857111689,3048,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.43837130069732666,411
0.0,0.38904085755348206,1.0,469,1746167461.480674,0.0696614608168602,720384.0,0.05272125452756882,12.434896469116211,193.553537596,3504,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.46060270071029663,468
0.0,0.386935830116272,1.0,493,1746167469.3364534,0.0742187574505806,757248.0,0.05480356514453888,11.711588859558105,201.409291896,3696,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.3272291421890259,492
0.0,0.42055127024650574,1.0,505,1746167473.2644727,0.0696614608168602,775680.0,0.05420535057783127,12.244141578674316,205.33731879,3792,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.3486577868461609,504
0.0,0.41924917697906494,1.0,512,1746167475.5539544,0.0742187574505806,786432.0,0.051362209022045135,11.903646469116211,207.626789135,3848,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.35622572898864746,511
0.0,0.31725266575813293,1.0,518,1746167477.5160065,0.0572916679084301,795648.0,0.10530924797058105,13.787760734558105,209.588850999,3896,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.3856380581855774,517
0.0,0.43943145871162415,1.0,552,1746167488.6457434,0.0748697966337204,847872.0,0.06295400857925415,11.700521469116211,220.718567123,4168,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.34717679023742676,551
0.0,0.4913845956325531,1.0,611,1746167507.9486938,0.068359375,938496.0,0.07814086973667145,12.602213859558105,240.02153386,4640,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.39370161294937134,610
0.0,0.4707031548023224,1.0,612,1746167508.2790828,0.0755208358168602,940032.0,0.08156690746545792,11.637370109558105,240.351937809,4648,13.73081111907959,0.5772671103477478,0.0008797008777037263,0.387271523475647,611
