grad_steps,_timestamp,returned_episode,test_returned_episode_lengths,qvals,env_step,test_returned_won_episode,returned_won_episode,test_returned_episode_returns,test_returned_episode,loss,_step,update_steps,_runtime,returned_episode_returns,returned_episode_lengths
23392,1746456754.4577181,0.0078125,90.88671875,-1.069043517112732,4538880.0,0.86328125,0.2200520783662796,1.8520673513412476,1.0,0.18773557245731354,2954,2955,916.757270771,0.4976544976234436,26.328125
23552,1746456760.4118392,0.0078125,90.88671875,-1.01057767868042,4569600.0,0.86328125,0.2115885466337204,1.8520673513412476,1.0,0.22126959264278412,2974,2975,922.71146941,0.48846086859703064,26.25260353088379
23576,1746456761.3150826,0.0078125,90.88671875,-1.0125949382781982,4574208.0,0.86328125,0.2799479067325592,1.8520673513412476,1.0,0.23237600922584534,2977,2978,923.614799357,0.5839409232139587,27.62760353088379
23688,1746456765.4751043,0.0078125,90.88671875,-1.0661234855651855,4595712.0,0.86328125,0.2942708432674408,1.8520673513412476,1.0,0.16027617454528809,2991,2992,927.774673354,0.588541567325592,26.69661521911621
23816,1746456770.2307243,0.0078125,90.88671875,-0.9704384207725525,4620288.0,0.86328125,0.2311197966337204,1.8520673513412476,1.0,0.1682506799697876,3007,3008,932.530435428,0.5242403745651245,27.54817771911621
23864,1746456772.0093133,0.0078125,90.88671875,-0.9939759969711304,4629504.0,0.86328125,0.1393229216337204,1.8520673513412476,1.0,0.21938759088516235,3013,3014,934.308880341,0.3962421417236328,25.95572853088379
23904,1746456773.487492,0.0078125,90.88671875,-1.1052863597869873,4637184.0,0.86328125,0.1412760466337204,1.8520673513412476,1.0,0.21050727367401123,3018,3019,935.78713904,0.3842707872390747,24.109375
24096,1746456780.6308897,0.0078125,90.88671875,-0.9660661816596985,4674048.0,0.86328125,0.2552083432674408,1.8520673513412476,1.0,0.158407062292099,3042,3043,942.930509312,0.5456475019454956,26.81770896911621
24144,1746456782.4373162,0.0078125,90.88671875,-0.941577136516571,4683264.0,0.86328125,0.1796875,1.8520673513412476,1.0,0.2519315481185913,3048,3049,944.736954821,0.4714582860469818,28.44140625
24320,1746456788.9640796,0.0078125,90.88671875,-1.1296806335449219,4717056.0,0.86328125,0.2760416567325592,1.8520673513412476,1.0,0.20889341831207275,3070,3071,951.26367783,0.5682465434074402,26.73958396911621
24376,1746456791.04061,0.0078125,90.88671875,-1.2496278285980225,4727808.0,0.86328125,0.2259114533662796,1.8520673513412476,1.0,0.1852526068687439,3077,3078,953.340183431,0.4866657257080078,25.1640625
24408,1746456792.2209132,0.0078125,90.88671875,-1.21294105052948,4733952.0,0.86328125,0.236328125,1.8520673513412476,1.0,0.1618909239768982,3081,3082,954.520519172,0.5079747438430786,26.28775978088379
24536,1746456796.9809387,0.0078125,90.88671875,-1.0187114477157593,4758528.0,0.86328125,0.2102864533662796,1.8520673513412476,1.0,0.1707623302936554,3097,3098,959.28052355,0.47731420397758484,26.12630271911621
24856,1746456808.875172,0.0078125,90.88671875,-1.1369318962097168,4819968.0,0.86328125,0.14453125,1.8520673513412476,1.0,0.22773563861846924,3137,3138,971.174768873,0.39401474595069885,25.06770896911621
25096,1746456817.8061004,0.0078125,90.88671875,-1.1683698892593384,4866048.0,0.86328125,0.2389322966337204,1.8520673513412476,1.0,0.16712349653244019,3167,3168,980.105740099,0.5128662586212158,25.73958396911621
25240,1746456823.1610754,0.0078125,90.88671875,-1.0915461778640747,4893696.0,0.86328125,0.2135416716337204,1.8520673513412476,1.0,0.20212261378765106,3185,3186,985.46074424,0.479571133852005,25.77474021911621
25384,1746456828.5068052,0.0078125,90.88671875,-1.115776538848877,4921344.0,0.86328125,0.2838541567325592,1.8520673513412476,1.0,0.21256911754608154,3203,3204,990.806490452,0.5866093039512634,27.59114646911621
25416,1746456829.6855023,0.0078125,90.88671875,-1.1150200366973877,4927488.0,0.86328125,0.2337239533662796,1.8520673513412476,1.0,0.2111193984746933,3207,3208,991.985092158,0.5039061903953552,25.73828125
25424,1746456829.9816206,0.0078125,90.88671875,-1.0736682415008545,4929024.0,0.86328125,0.1998697966337204,1.8520673513412476,1.0,0.19390249252319336,3208,3209,992.281343296,0.4786128103733063,26.64453125
