returned_won_episode,update_steps,test_returned_episode_returns,qvals,env_step,test_returned_episode,returned_episode_returns,returned_episode,grad_steps,_step,_timestamp,loss,test_returned_won_episode,test_returned_episode_lengths,returned_episode_lengths,_runtime
0.0,231,0.0732981488108635,0.6811575889587402,354816.0,1.0,0.19173134863376617,0.014322916977107525,1600,230,1746155291.6767251,0.3731471002101898,0.0,42.396636962890625,31.899742126464844,146.050943336
0.0,236,0.0732981488108635,0.6768669486045837,362496.0,1.0,0.23339727520942688,0.01497395895421505,1640,235,1746155293.3549197,0.37493008375167847,0.0,42.396636962890625,31.959636688232422,147.729186719
0.0,237,0.0732981488108635,0.6857643723487854,364032.0,1.0,0.2174256294965744,0.01497395895421505,1648,236,1746155293.6836863,0.38998109102249146,0.0,42.396636962890625,31.915367126464844,148.057797767
0.0,277,0.0732981488108635,0.6811740398406982,425472.0,1.0,0.22632953524589539,0.015625,1968,276,1746155306.934671,0.3462620973587036,0.0,42.396636962890625,31.510417938232422,161.308875194
0.0,296,0.0732981488108635,0.6649500727653503,454656.0,1.0,0.21491113305091858,0.014322916977107525,2120,295,1746155313.2452857,0.31033262610435486,0.0,42.396636962890625,31.662761688232422,167.619351259
0.0,301,0.0732981488108635,0.6498932838439941,462336.0,1.0,0.17376719415187836,0.015625,2160,300,1746155314.8882098,0.31674641370773315,0.0,42.396636962890625,31.602867126464844,169.262284389
0.0,302,0.0732981488108635,0.6548340320587158,463872.0,1.0,0.22047826647758484,0.014322916977107525,2168,301,1746155315.2173254,0.298232764005661,0.0,42.396636962890625,31.641929626464844,169.591382199
0.0,305,0.0732981488108635,0.6560612916946411,468480.0,1.0,0.18926884233951569,0.01497395895421505,2192,304,1746155316.2029452,0.300844669342041,0.0,42.396636962890625,30.921876907348633,170.576983798
0.0,326,0.15424591302871704,0.6012189388275146,500736.0,1.0,0.20561525225639343,0.014322916977107525,2360,325,1746155323.2207842,0.29481157660484314,0.0,36.776954650878906,31.304689407348633,177.594857719
0.0,331,0.15424591302871704,0.5949316024780273,508416.0,1.0,0.17009583115577698,0.014322916977107525,2400,330,1746155324.87152,0.2935957610607147,0.0,36.776954650878906,31.855470657348633,179.24582987
0.0,339,0.15424591302871704,0.5362790822982788,520704.0,1.0,0.17586025595664978,0.01497395895421505,2464,338,1746155327.5287879,0.12715500593185425,0.0,36.776954650878906,31.654949188232422,181.902907934
0.0,359,0.15424591302871704,0.4781048893928528,551424.0,1.0,0.1625339686870575,0.01497395895421505,2624,358,1746155334.1455877,0.1305016577243805,0.0,36.776954650878906,31.855470657348633,188.519716113
