test_returned_won_episode,test_returned_episode_lengths,env_step,returned_episode_returns,returned_won_episode,returned_episode_lengths,returned_episode,test_returned_episode,_runtime,test_returned_episode_returns,update_steps,grad_steps,_step,qvals,loss,_timestamp
0.0,22.865570068359375,423936.0,0.26569604873657227,0.0,14.656250953674316,0.0540364608168602,1.0,169.959639929,0.19055160880088806,276,1960,275,0.23078882694244385,0.06634235382080078,1746181059.430791
0.0,22.865570068359375,428544.0,0.26737698912620544,0.0,14.914063453674316,0.0533854179084301,1.0,171.309975103,0.19055160880088806,279,1984,278,0.22830882668495178,0.06661856919527054,1746181060.781043
0.0,22.865570068359375,470016.0,0.2987334728240967,0.0,15.167318344116211,0.0527343787252903,1.0,183.528163155,0.19055160880088806,306,2200,305,0.2376970648765564,0.06720692664384842,1746181072.9992418
0.0,22.865570068359375,480768.0,0.3051847219467163,0.0,14.826823234558105,0.0553385429084301,1.0,186.700147372,0.19055160880088806,313,2256,312,0.2722562551498413,0.061941180378198624,1746181076.1712372
0.0,22.865570068359375,496128.0,0.2960464358329773,0.0,16.017578125,0.0520833358168602,1.0,191.201572078,0.19055160880088806,323,2336,322,0.28357642889022827,0.06422758102416992,1746181080.672704
0.022905364632606506,18.30620765686035,511488.0,0.3229285776615143,0.0,15.283855438232422,0.0533854179084301,1.0,195.817252737,0.7375856637954712,333,2416,332,0.3040270209312439,0.046150654554367065,1746181085.2883315
0.022905364632606506,18.30620765686035,520704.0,0.31388500332832336,0.0,14.948568344116211,0.0533854179084301,1.0,198.536264464,0.7375856637954712,339,2464,338,0.3084115982055664,0.04704549163579941,1746181088.007363
0.022905364632606506,18.30620765686035,528384.0,0.32115301489830017,0.0,14.358724594116211,0.0585937537252903,1.0,200.805114019,0.7375856637954712,344,2504,343,0.30393803119659424,0.06839209049940109,1746181090.276253
0.022905364632606506,18.30620765686035,537600.0,0.3099313974380493,0.0,14.630860328674316,0.0566406287252903,1.0,203.535398406,0.7375856637954712,350,2552,349,0.2572702467441559,0.06787236779928207,1746181093.0064921
0.022905364632606506,18.30620765686035,540672.0,0.30550429224967957,0.0,15.322917938232422,0.0546875037252903,1.0,204.436531286,0.7375856637954712,352,2568,351,0.22435835003852844,0.06614848971366882,1746181093.9076736
