test_returned_episode_returns,loss,test_returned_episode_lengths,returned_episode_lengths,test_returned_episode,qvals,returned_episode,env_step,returned_won_episode,grad_steps,_timestamp,update_steps,returned_episode_returns,_runtime,test_returned_won_episode,_step
0.13532555103302002,0.6079375743865967,21.7208194732666,25.006511688232422,0.9999999403953552,0.23665469884872437,0.02473958395421505,228864.0,0.0,944,1746452968.9217741,149,0.22884631156921387,127.204378877,0.0,148
0.13532555103302002,0.7038285732269287,21.7208194732666,26.010417938232422,0.9999999403953552,0.24570244550704956,0.02148437686264515,259584.0,0.0,1104,1746452978.207012,169,0.25902435183525085,136.489626551,0.0,168
0.13532555103302002,0.8177961111068726,21.7208194732666,25.375001907348633,0.9999999403953552,0.2457653284072876,0.02343750186264515,274944.0,0.0,1184,1746452982.8486056,179,0.25445321202278137,141.131132061,0.0,178
0.13532555103302002,0.8485034704208374,21.7208194732666,27.10677146911621,0.9999999403953552,0.22232504189014435,0.02148437686264515,296448.0,0.0,1296,1746452989.3433425,193,0.2611154615879059,147.625880904,0.0,192
0.13532555103302002,1.7250760793685913,21.7208194732666,26.850261688232422,0.9999999403953552,0.23270249366760254,0.02083333395421505,342528.0,0.0,1536,1746453003.2597165,223,0.2688160836696625,161.542268164,0.0,222
0.13532555103302002,1.9636695384979248,21.7208194732666,27.738933563232422,0.9999999403953552,0.21254892647266388,0.01888020895421505,354816.0,0.0,1600,1746453006.959119,231,0.2685423791408539,165.241657303,0.0,230
0.13532555103302002,1.8252172470092773,21.7208194732666,27.15559959411621,0.9999999403953552,0.23723068833351135,0.02148437686264515,356352.0,0.0,1608,1746453007.4226654,232,0.24229680001735687,165.705269762,0.0,231
0.13532555103302002,1.824312686920166,21.7208194732666,26.375652313232422,0.9999999403953552,0.23142538964748383,0.02083333395421505,362496.0,0.0,1640,1746453009.2721033,236,0.2646600604057312,167.554648084,0.0,235
0.13532555103302002,4.207493782043457,21.7208194732666,26.87825584411621,0.9999999403953552,0.24012264609336853,0.02083333395421505,394752.0,0.0,1808,1746453018.9906414,257,0.2494012862443924,177.273176993,0.0,256
0.13532555103302002,3.9072837829589844,21.7208194732666,27.397136688232422,0.9999999403953552,0.2251485139131546,0.02083333395421505,397824.0,0.0,1824,1746453019.9248142,259,0.25714147090911865,178.207480012,0.0,258
0.13532555103302002,4.2525410652160645,21.7208194732666,27.25325584411621,0.9999999403953552,0.23894836008548737,0.0201822929084301,399360.0,0.0,1832,1746453020.3869634,260,0.30593618750572205,178.669499531,0.0,259
0.13532555103302002,5.769397735595703,21.7208194732666,27.939455032348633,0.9999999403953552,0.21966826915740967,0.0201822929084301,423936.0,0.0,1960,1746453027.8002427,276,0.2286195307970047,186.08275472,0.0,275
0.13532555103302002,5.024951934814453,21.7208194732666,26.303386688232422,0.9999999403953552,0.21213136613368988,0.02343750186264515,428544.0,0.0,1984,1746453029.187171,279,0.25160613656044006,187.469731521,0.0,278
0.13532555103302002,3.2469558715820312,21.7208194732666,26.519533157348633,0.9999999403953552,0.2150271236896515,0.0240885429084301,470016.0,0.0,2200,1746453041.6897452,306,0.272304892539978,199.972453939,0.0,305
0.13532555103302002,7.484946250915527,21.7208194732666,27.215496063232422,0.9999999403953552,0.21736110746860504,0.0221354179084301,480768.0,0.0,2256,1746453044.941998,313,0.27885037660598755,203.224685688,0.0,312
0.13532555103302002,4.204728603363037,21.7208194732666,26.296876907348633,0.9999999403953552,0.18862126767635345,0.01953125186264515,496128.0,0.0,2336,1746453049.5781107,323,0.2881052792072296,207.860805963,0.0,322
0.44947507977485657,6.606102466583252,37.855003356933594,27.58919334411621,1.0,0.20069441199302673,0.01888020895421505,511488.0,0.0,2416,1746453054.3434124,333,0.2580091953277588,212.62609522,0.004084411077201366,332
0.44947507977485657,19.389986038208008,37.855003356933594,26.63020896911621,1.0,0.2174113392829895,0.0221354179084301,520704.0,0.0,2464,1746453057.1190722,339,0.33087629079818726,215.401617056,0.004084411077201366,338
0.44947507977485657,5.841254711151123,37.855003356933594,26.611330032348633,1.0,0.2095324695110321,0.02278645895421505,528384.0,0.0240885429084301,2504,1746453059.43234,344,0.30959123373031616,217.714885882,0.004084411077201366,343
0.44947507977485657,6.538125038146973,37.855003356933594,26.36263084411621,1.0,0.21214835345745087,0.02278645895421505,537600.0,0.015625,2552,1746453062.2143543,350,0.2982575595378876,220.496927846,0.004084411077201366,349
