test_returned_won_episode,test_returned_episode_returns,env_step,test_returned_episode,test_returned_episode_lengths,update_steps,returned_episode,qvals,loss,returned_won_episode,returned_episode_returns,_runtime,_timestamp,grad_steps,returned_episode_lengths,_step
0.01702483929693699,0.7033162117004395,749568.0,1,17.07982063293457,488,0.0625,-0.05352957919239998,0.05828417092561722,0.0,0.4312145411968231,260.869434601,1746172265.7867243,3656,13.330079078674316,487
0.01702483929693699,0.7033162117004395,795648.0,1,17.07982063293457,518,0.0618489608168602,-0.05557239055633545,0.06818011403083801,0.0,0.4699692726135254,274.598810909,1746172279.5160942,3896,13.718099594116211,517
0.01702483929693699,0.7033162117004395,803328.0,1,17.07982063293457,523,0.0611979216337204,-0.06850428134202957,0.1095956414937973,0.0,0.4596236050128937,276.885582128,1746172281.8028693,3936,13.666666984558105,522
0.01702483929693699,0.7033162117004395,826368.0,1,17.07982063293457,538,0.0618489608168602,-0.105462446808815,0.061498746275901794,0.0,0.5066879987716675,283.747191484,1746172288.6644573,4056,13.808594703674316,537
0.01702483929693699,0.7033162117004395,838656.0,1,17.07982063293457,546,0.0611979216337204,-0.12687240540981293,0.07304464280605316,0.0,0.4951586425304413,287.409245037,1746172292.3265362,4120,13.638021469116211,545
0.01702483929693699,0.7033162117004395,843264.0,1,17.07982063293457,549,0.0611979216337204,-0.12212958931922913,0.0742696076631546,0.0,0.5099077224731445,288.781396929,1746172293.6986895,4144,13.634115219116211,548
0.01702483929693699,0.7033162117004395,850944.0,1,17.07982063293457,554,0.0598958358168602,-0.11830807477235794,0.054957251995801926,0.0,0.5108073353767395,291.067848545,1746172295.985151,4184,14.035157203674316,553
0.01702483929693699,0.7033162117004395,872448.0,1,17.07982063293457,568,0.0579427108168602,-0.12352801114320755,0.06276682019233704,0.012369791977107525,0.5382577180862427,297.476274408,1746172302.3935678,4296,14.182291984558105,567
0.01702483929693699,0.7033162117004395,886272.0,1,17.07982063293457,577,0.0611979216337204,-0.11060012876987457,0.04871341958642006,0.0,0.5361742973327637,301.597460947,1746172306.51475,4368,13.751954078674316,576
0.01702483929693699,0.7033162117004395,889344.0,1,17.07982063293457,579,0.0611979216337204,-0.11368867754936218,0.04695853590965271,0.0,0.5486032962799072,302.512095343,1746172307.4293852,4384,13.647787094116211,578
