update_steps,_runtime,env_step,returned_won_episode,returned_episode,test_returned_episode_lengths,loss,returned_episode_returns,qvals,test_returned_episode,test_returned_episode_returns,returned_episode_lengths,test_returned_won_episode,_timestamp,grad_steps,_step
1782,752.690301438,2737152.0,0.0,0.010416666977107525,67.54520416259766,0.009674254804849625,0.26267048716545105,-0.2797737121582031,1.0,0.6348164081573486,30.893230438232422,0.0,1746182212.7978137,14008,1781
1805,761.69702488,2772480.0,0.0,0.01106770895421505,67.54520416259766,0.009696430526673794,0.3009916841983795,-0.30293792486190796,1.0,0.6348164081573486,30.71224021911621,0.0,1746182221.8045285,14192,1804
1837,774.253524304,2821632.0,0.0,0.010416666977107525,67.54520416259766,0.008977172896265984,0.270435094833374,-0.3472777009010315,1.0,0.6348164081573486,30.27083396911621,0.0,1746182234.3609436,14448,1836
1842,776.219450969,2829312.0,0.0,0.0078125,67.54520416259766,0.008762074634432793,0.21127784252166748,-0.3585003614425659,1.0,0.6348164081573486,27.619792938232422,0.0,1746182236.326962,14488,1841
1906,801.337004583,2927616.0,0.0,0.00911458395421505,67.54520416259766,0.008813092485070229,0.2153397798538208,-0.28647661209106445,1.0,0.6348164081573486,26.6484375,0.0,1746182261.44458,15000,1905
1915,804.864446449,2941440.0,0.0,0.00911458395421505,67.54520416259766,0.00885390117764473,0.2521291971206665,-0.31361669301986694,1.0,0.6348164081573486,28.38802146911621,0.0,1746182264.9720044,15072,1914
1930,810.759475525,2964480.0,0.0,0.009765625,67.54520416259766,0.008667942136526108,0.23936524987220764,-0.31838613748550415,1.0,0.6348164081573486,26.82552146911621,0.0,1746182270.8668342,15192,1929
2021,846.563188445,3104256.0,0.0,0.0078125,82.60791015625,0.00868234783411026,0.19842588901519775,-0.31986063718795776,0.9999999403953552,0.6824579834938049,25.25130271911621,0.0,1746182306.6706135,15920,2020
2023,847.352623504,3107328.0,0.0,0.0078125,82.60791015625,0.00881029199808836,0.18831996619701385,-0.31863367557525635,0.9999999403953552,0.6824579834938049,24.85286521911621,0.0,1746182307.4601097,15936,2022
2037,852.851194437,3128832.0,0.0,0.008463541977107525,82.60791015625,0.0080373864620924,0.20222751796245575,-0.359454482793808,0.9999999403953552,0.6824579834938049,25.640625,0.0,1746182312.9587293,16048,2036
2050,857.973876454,3148800.0,0.0,0.0078125,82.60791015625,0.007884074933826923,0.1923815906047821,-0.37227195501327515,0.9999999403953552,0.6824579834938049,24.3046875,0.0,1746182318.0813992,16152,2049
2075,867.786286597,3187200.0,0.0,0.0078125,82.60791015625,0.007923449389636517,0.17338329553604126,-0.40760377049446106,0.9999999403953552,0.6824579834938049,22.93359375,0.0,1746182327.8937247,16352,2074
