update_steps,loss,returned_won_episode,env_step,test_returned_episode,test_returned_episode_lengths,returned_episode,_step,qvals,returned_episode_lengths,test_returned_won_episode,test_returned_episode_returns,grad_steps,returned_episode_returns,_runtime,_timestamp
268,0.05215127021074295,0.0,411648.0,1.0,9.851764678955078,0.014973958022892475,267,0.5391566753387451,30.94400978088379,0.0,0.00011371447908459231,1896,0.21035850048065186,117.417060491,1746461888.2469425
271,0.05881961062550545,0.0,416256.0,1.0,9.851764678955078,0.01627604104578495,270,0.5488925576210022,30.00325584411621,0.0,0.00011371447908459231,1920,0.1886579692363739,118.300709222,1746461889.130741
288,0.10326921194791794,0.0,442368.0,1.0,9.851764678955078,0.01822916604578495,287,0.4683469533920288,28.82356834411621,0.0,0.00011371447908459231,2056,0.14857465028762817,123.304004746,1746461894.1340504
299,0.08348170667886734,0.0,459264.0,1.0,9.851764678955078,0.01692708395421505,298,0.4903808534145355,29.9453125,0.0,0.00011371447908459231,2144,0.17894181609153748,126.537259475,1746461897.3673139
310,0.08137910068035126,0.0,476160.0,1.0,9.851764678955078,0.015625,309,0.5089316368103027,28.40755271911621,0.0,0.00011371447908459231,2232,0.15458939969539642,129.771619582,1746461900.6016726
319,0.10420270264148712,0.0,489984.0,1.0,9.851764678955078,0.015625,318,0.5375480651855469,30.421875,0.0,0.00011371447908459231,2304,0.16831162571907043,132.416564819,1746461903.2466028
320,0.10535478591918945,0.0,491520.0,1.0,9.851764678955078,0.01627604104578495,319,0.550391674041748,30.15559959411621,0.0,0.00011371447908459231,2312,0.177203968167305,132.712873389,1746461903.5428784
335,0.08337020128965378,0.0,514560.0,0.9999999403953552,39.682350158691406,0.02083333395421505,334,0.4950033724308014,27.95377540588379,0.0,0.11799606680870056,2432,0.13728125393390656,137.187672396,1746461908.0177522
338,0.13086512684822083,0.0,519168.0,0.9999999403953552,39.682350158691406,0.01888020895421505,337,0.4932499825954437,28.46354103088379,0.0,0.11799606680870056,2456,0.1752968579530716,138.070448098,1746461908.9005218
339,0.10397403687238693,0.0,520704.0,0.9999999403953552,39.682350158691406,0.01888020895421505,338,0.47378674149513245,28.865234375,0.0,0.11799606680870056,2464,0.14776214957237244,138.364118795,1746461909.1941648
353,0.12445616722106934,0.0,542208.0,0.9999999403953552,39.682350158691406,0.017578125,352,0.4399261176586151,27.44075584411621,0.0,0.11799606680870056,2576,0.1481909602880478,142.475316095,1746461913.305398
361,0.12227718532085419,0.0,554496.0,0.9999999403953552,39.682350158691406,0.01627604104578495,360,0.4420100152492523,29.93229103088379,0.0,0.11799606680870056,2640,0.16427256166934967,144.827565817,1746461915.657614
364,0.5219905376434326,0.0,559104.0,0.9999999403953552,39.682350158691406,0.02083333395421505,363,0.3727095425128937,28.53971290588379,0.0,0.11799606680870056,2664,0.17438192665576935,145.707897362,1746461916.53793
366,0.24826788902282715,0.0,562176.0,0.9999999403953552,39.682350158691406,0.02278645895421505,365,0.33355242013931274,26.63736915588379,0.0,0.11799606680870056,2680,0.12319183349609375,146.296085875,1746461917.1261337
388,0.13699325919151306,0.0,595968.0,0.9999999403953552,39.682350158691406,0.02083333395421505,387,0.32466721534729004,26.41080665588379,0.0,0.11799606680870056,2856,0.12783679366111755,152.764124873,1746461923.5941968
