grad_steps,returned_episode,_timestamp,returned_episode_returns,test_returned_episode_returns,returned_won_episode,qvals,test_returned_episode,env_step,_runtime,test_returned_won_episode,loss,update_steps,_step,test_returned_episode_lengths,returned_episode_lengths
19680,0.0631510466337204,1746176824.7443562,0.5408637523651123,0.6646154522895813,0.0,-0.21591220796108246,1.0,3826176.0,853.627126874,0.011965812183916569,0.14047355949878693,2491,2490,17.419658660888672,13.229166984558105
19688,0.06640625,1746176825.070914,0.5564019680023193,0.6646154522895813,0.0,-0.21875429153442383,1.0,3827712.0,853.953699346,0.011965812183916569,0.14621670544147491,2492,2491,17.419658660888672,12.794271469116211
20024,0.0592447929084301,1746176838.7901883,0.5483508110046387,0.6646154522895813,0.0,-0.23811760544776917,1.0,3892224.0,867.672996665,0.011965812183916569,0.15286970138549805,2534,2533,17.419658660888672,14.180990219116211
20072,0.0651041716337204,1746176840.7487185,0.569574773311615,0.6646154522895813,0.01888020895421505,-0.24623891711235046,1.0,3901440.0,869.631509464,0.011965812183916569,0.14673230051994324,2540,2539,17.419658660888672,13.005208969116211
20136,0.0598958358168602,1746176843.3645566,0.5584419369697571,0.6646154522895813,0.009765625931322575,-0.24514612555503845,1.0,3913728.0,872.247373211,0.011965812183916569,0.14455756545066833,2548,2547,17.419658660888672,14.283204078674316
20408,0.0618489608168602,1746176854.4688382,0.5395182967185974,0.6646154522895813,0.0,-0.22390028834342957,1.0,3965952.0,883.351644926,0.011965812183916569,0.11692021042108536,2582,2581,17.419658660888672,13.604166984558105
21040,0.0625,1746176880.3759189,0.5445530414581299,0.6715580821037292,0.00911458395421505,-0.2233719527721405,1.0,4087296.0,909.258733634,0.017162472009658813,0.18334311246871948,2661,2660,17.611270904541016,13.468750953674316
21104,0.0611979216337204,1746176882.9891884,0.5798178315162659,0.6715580821037292,0.010416666977107525,-0.22130781412124634,1.0,4099584.0,911.87199756,0.017162472009658813,0.21924945712089539,2669,2668,17.611270904541016,13.776041984558105
21144,0.0625,1746176884.6252365,0.5774739980697632,0.6715580821037292,0.01953125186264515,-0.22370901703834534,1.0,4107264.0,913.508039335,0.017162472009658813,0.17462748289108276,2674,2673,17.611270904541016,13.688802719116211
21192,0.0618489608168602,1746176886.5848129,0.5622613430023193,0.6715580821037292,0.010416666977107525,-0.2255859375,1.0,4116480.0,915.467617917,0.017162472009658813,0.17914868891239166,2680,2679,17.611270904541016,13.445313453674316
21416,0.0618489608168602,1746176895.7272687,0.5371962785720825,0.6715580821037292,0.0,-0.23629939556121826,1.0,4159488.0,924.610064747,0.017162472009658813,0.21531149744987488,2708,2707,17.611270904541016,13.501954078674316
21608,0.0625,1746176903.5700102,0.576388955116272,0.6715580821037292,0.0221354179084301,-0.24506564438343048,1.0,4196352.0,932.452822616,0.017162472009658813,0.21766889095306396,2732,2731,17.611270904541016,13.323568344116211
21736,0.0572916679084301,1746176908.793497,0.5826390981674194,0.6715580821037292,0.011718750931322575,-0.27345484495162964,1.0,4220928.0,937.676292224,0.017162472009658813,0.18772266805171967,2748,2747,17.611270904541016,14.354818344116211
21888,0.0618489608168602,1746176915.0036652,0.5847222805023193,0.6715580821037292,0.02148437686264515,-0.27131187915802,1.0,4250112.0,943.886466932,0.017162472009658813,0.1743481457233429,2767,2766,17.611270904541016,13.461588859558105
22016,0.0540364608168602,1746176920.2287612,0.5689671635627747,0.6715580821037292,0.009765625931322575,-0.2817744016647339,1.0,4274688.0,949.111573222,0.017162472009658813,0.1756870150566101,2783,2782,17.611270904541016,14.867838859558105
22048,0.0553385429084301,1746176921.5380712,0.5497180223464966,0.6715580821037292,0.012369791977107525,-0.2811702489852905,1.0,4280832.0,950.420888071,0.017162472009658813,0.16576719284057617,2787,2786,17.611270904541016,14.466146469116211
22104,0.0605468787252903,1746176923.8256187,0.5143012404441833,0.6715580821037292,0.0,-0.2896042466163635,1.0,4291584.0,952.708412542,0.017162472009658813,0.1690933108329773,2794,2793,17.611270904541016,13.810547828674316
22368,0.0566406287252903,1746176934.6044946,0.5425347685813904,0.6715580821037292,0.0,-0.29253095388412476,1.0,4342272.0,963.48730397,0.017162472009658813,0.1874210387468338,2827,2826,17.611270904541016,14.380860328674316
22400,0.0592447929084301,1746176935.91036,0.5418186187744141,0.6715580821037292,0.0,-0.2949448227882385,1.0,4348416.0,964.793168471,0.017162472009658813,0.19772839546203613,2831,2830,17.611270904541016,13.775391578674316
22464,0.0598958358168602,1746176938.5225203,0.5279948711395264,0.6715580821037292,0.0032552084885537624,-0.29803675413131714,1.0,4360704.0,967.405320732,0.017162472009658813,0.20680779218673706,2839,2838,17.611270904541016,13.451172828674316
22512,0.0520833358168602,1746176940.4805532,0.5584853291511536,0.6715580821037292,0.01106770895421505,-0.30044013261795044,1.0,4369920.0,969.363375157,0.017162472009658813,0.2223445177078247,2845,2844,17.611270904541016,15.367188453674316
22696,0.0592447929084301,1746176947.9956257,0.5295574069023132,0.6715580821037292,0.0,-0.3114893138408661,1.0,4405248.0,976.878421368,0.017162472009658813,0.21038572490215302,2868,2867,17.611270904541016,13.957032203674316
22792,0.0611979216337204,1746176951.9132018,0.537152886390686,0.6715580821037292,0.0,-0.30855000019073486,1.0,4423680.0,980.795988822,0.017162472009658813,0.24468693137168884,2880,2879,17.611270904541016,13.447916984558105
22928,0.0592447929084301,1746176957.4633174,0.5418837666511536,0.6715580821037292,0.0,-0.32011687755584717,1.0,4449792.0,986.346106364,0.017162472009658813,0.16177168488502502,2897,2896,17.611270904541016,13.972657203674316
22944,0.0618489608168602,1746176958.1161735,0.562521755695343,0.6715580821037292,0.00911458395421505,-0.32388561964035034,1.0,4452864.0,986.998970611,0.017162472009658813,0.1710328459739685,2899,2898,17.611270904541016,13.291666984558105
23040,0.0605468787252903,1746176962.0452518,0.5427300930023193,0.6715580821037292,0.0,-0.31620702147483826,1.0,4471296.0,990.928211957,0.017162472009658813,0.1741887629032135,2911,2910,17.611270904541016,13.678385734558105
23080,0.0592447929084301,1746176963.6806862,0.5517579317092896,0.6715580821037292,0.0,-0.3183959424495697,1.0,4478976.0,992.563502733,0.017162472009658813,0.17094865441322327,2916,2915,17.611270904541016,14.107422828674316
23192,0.0579427108168602,1746176968.3244338,0.5612847805023193,0.6703080534934998,0.0,-0.31699225306510925,1.0,4500480.0,997.207301165,0.016590097919106483,0.14804233610630035,2930,2929,15.763654708862305,14.077474594116211
23272,0.0585937537252903,1746176971.5887654,0.5757812857627869,0.6703080534934998,0.01888020895421505,-0.309177041053772,1.0,4515840.0,1000.471591662,0.016590097919106483,0.1840069442987442,2940,2939,15.763654708862305,14.102865219116211
23328,0.0553385429084301,1746176973.873804,0.5569879412651062,0.6703080534934998,0.012369791977107525,-0.306274950504303,1.0,4526592.0,1002.756603978,0.016590097919106483,0.18988795578479767,2947,2946,15.763654708862305,14.718099594116211
23400,0.0625,1746176976.8133013,0.5299479961395264,0.6703080534934998,0.0,-0.31439870595932007,1.0,4540416.0,1005.696116762,0.016590097919106483,0.20248854160308838,2956,2955,15.763654708862305,13.040365219116211
23720,0.0540364608168602,1746176989.876516,0.571310818195343,0.6703080534934998,0.01888020895421505,-0.317056804895401,1.0,4601856.0,1018.759325582,0.016590097919106483,0.2142849713563919,2996,2995,15.763654708862305,15.169271469116211
23936,0.0605468787252903,1746176998.6962988,0.5457032322883606,0.6703080534934998,0.00911458395421505,-0.3180360198020935,1.0,4643328.0,1027.579088106,0.016590097919106483,0.1998685598373413,3023,3022,15.763654708862305,13.703776359558105
23968,0.0625,1746177000.002276,0.5396919250488281,0.6703080534934998,0.0,-0.3303566575050354,1.0,4649472.0,1028.885057646,0.016590097919106483,0.19474059343338013,3027,3026,15.763654708862305,13.084635734558105
24064,0.0566406287252903,1746177003.9466245,0.5457248687744141,0.6703080534934998,0.0,-0.32515180110931396,1.0,4667904.0,1032.829417972,0.016590097919106483,0.26542437076568604,3039,3038,15.763654708862305,14.532552719116211
24128,0.0527343787252903,1746177006.5619228,0.5631077289581299,0.6703080534934998,0.0032552084885537624,-0.3187907934188843,1.0,4680192.0,1035.444754017,0.016590097919106483,0.24066007137298584,3047,3046,15.763654708862305,15.317708969116211
24136,0.0540364608168602,1746177006.8887308,0.5619141459465027,0.6703080534934998,0.014322916977107525,-0.3259265422821045,1.0,4681728.0,1035.771536347,0.016590097919106483,0.24922193586826324,3048,3047,15.763654708862305,14.995443344116211
24192,0.0585937537252903,1746177009.174362,0.5355035662651062,0.6703080534934998,0.0,-0.3620152473449707,1.0,4692480.0,1038.05715544,0.016590097919106483,0.21645207703113556,3055,3054,15.763654708862305,14.180338859558105
24240,0.0559895858168602,1746177011.1351202,0.5493707060813904,0.6703080534934998,0.009765625931322575,-0.35217219591140747,1.0,4701696.0,1040.01791843,0.016590097919106483,0.24044856429100037,3061,3060,15.763654708862305,14.833333969116211
24272,0.0520833358168602,1746177012.444787,0.537434995174408,0.6703080534934998,0.0,-0.365807443857193,1.0,4707840.0,1041.327602807,0.016590097919106483,0.20458637177944183,3065,3064,15.763654708862305,15.406902313232422
