returned_episode,test_returned_episode_returns,_timestamp,loss,test_returned_won_episode,test_returned_episode_lengths,grad_steps,returned_episode_lengths,_step,_runtime,env_step,update_steps,returned_won_episode,returned_episode_returns,qvals,test_returned_episode
0.0162760429084301,1.293526291847229,1746197929.3862917,0.7323416471481323,0.46775582432746887,44.16337203979492,11312,28.894533157348633,1444,548.017033693,2219520.0,1445,0.2688802182674408,0.7805350422859192,0.2540222108364105,1.0
0.0182291679084301,1.293526291847229,1746197930.3969934,0.7489089369773865,0.46775582432746887,44.16337203979492,11336,28.420574188232422,1447,549.027732224,2224128.0,1448,0.3587239682674408,0.9400953054428101,0.24336713552474976,1.0
0.01888020895421505,1.293526291847229,1746197939.1573217,0.6954390406608582,0.46775582432746887,44.16337203979492,11544,28.58333396911621,1473,557.788046768,2264064.0,1474,0.2949219048023224,0.8180861473083496,0.26737532019615173,1.0
0.01953125186264515,1.293526291847229,1746197946.9099789,0.6903488636016846,0.46775582432746887,44.16337203979492,11728,26.103517532348633,1496,565.5407204,2299392.0,1497,0.2083333432674408,0.6766505241394043,0.24256330728530884,1.0
0.0182291679084301,1.293526291847229,1746197948.2585168,0.6739397048950195,0.46775582432746887,44.16337203979492,11760,27.69661521911621,1500,566.88924956,2305536.0,1501,0.3860677182674408,0.9620208740234375,0.2514891028404236,1.0
0.017578125,1.293526291847229,1746197950.9534745,0.6892719268798828,0.46775582432746887,44.16337203979492,11824,26.885417938232422,1508,569.584221617,2317824.0,1509,0.2421875149011612,0.7366564869880676,0.22547408938407898,1.0
0.0182291679084301,1.293526291847229,1746197957.3703215,0.5111743211746216,0.46775582432746887,44.16337203979492,11976,28.24934959411621,1527,576.001048622,2347008.0,1528,0.3430989682674408,0.9359094500541687,0.23512202501296997,1.0
0.0182291679084301,1.293526291847229,1746197958.0440795,0.510751485824585,0.46775582432746887,44.16337203979492,11992,27.133464813232422,1529,576.674805583,2350080.0,1530,0.3639323115348816,0.9212191700935364,0.21629634499549866,1.0
0.02148437686264515,1.293526291847229,1746197965.1182082,0.5235678553581238,0.46775582432746887,44.16337203979492,12160,27.166667938232422,1550,583.748929579,2382336.0,1551,0.3411458432674408,0.9186333417892456,0.22702045738697052,1.0
0.0182291679084301,1.293526291847229,1746197971.8672855,0.7446918487548828,0.46775582432746887,44.16337203979492,12320,25.078777313232422,1570,590.498042547,2413056.0,1571,0.3470052182674408,0.8947508335113525,0.24971331655979156,1.0
0.01692708395421505,1.293526291847229,1746197972.2051475,0.6819125413894653,0.46775582432746887,44.16337203979492,12328,27.01106834411621,1571,590.835886912,2414592.0,1572,0.2916666865348816,0.7724520564079285,0.2214840054512024,1.0
0.0201822929084301,1.293526291847229,1746197978.619008,0.49574488401412964,0.46775582432746887,44.16337203979492,12480,28.822917938232422,1590,597.249765476,2443776.0,1591,0.3964844048023224,1.004441261291504,0.20857295393943787,1.0
0.0182291679084301,1.293526291847229,1746197984.6957285,0.590316653251648,0.46775582432746887,44.16337203979492,12624,27.28255271911621,1608,603.326487534,2471424.0,1609,0.1588541716337204,0.5903796553611755,0.28408870100975037,1.0
0.0162760429084301,1.293526291847229,1746197986.0463543,0.6034751534461975,0.46775582432746887,44.16337203979492,12656,26.816408157348633,1612,604.677083349,2477568.0,1613,0.2089843899011612,0.696574866771698,0.2793452739715576,1.0
0.0201822929084301,1.3092135190963745,1746198007.715261,0.616390585899353,0.4898989796638489,43.5328254699707,13168,27.68684959411621,1676,626.345990377,2575872.0,1677,0.3587239682674408,0.9045373797416687,0.3531496524810791,0.9999999403953552
0.017578125,1.3092135190963745,1746198012.0979202,0.8075011968612671,0.4898989796638489,43.5328254699707,13272,28.264324188232422,1689,630.728673074,2595840.0,1690,0.2024739682674408,0.6910960078239441,0.32689711451530457,0.9999999403953552
0.0201822929084301,1.3092135190963745,1746198016.8087895,0.6007453799247742,0.4898989796638489,43.5328254699707,13384,27.31184959411621,1703,635.439549026,2617344.0,1704,0.3040364682674408,0.8536494374275208,0.29081499576568604,0.9999999403953552
0.01888020895421505,1.3092135190963745,1746198026.6200445,0.6363740563392639,0.4898989796638489,43.5328254699707,13616,27.564455032348633,1732,645.250800025,2661888.0,1733,0.1608072966337204,0.6512504816055298,0.25669461488723755,0.9999999403953552
0.0201822929084301,1.3092135190963745,1746198029.9903147,0.5179140567779541,0.4898989796638489,43.5328254699707,13696,26.328126907348633,1742,648.621044411,2677248.0,1743,0.3619791865348816,0.9129420518875122,0.22516565024852753,0.9999999403953552
0.01953125186264515,1.3092135190963745,1746198032.3502595,0.5634779930114746,0.4898989796638489,43.5328254699707,13752,26.209636688232422,1749,650.980998334,2688000.0,1750,0.2421875149011612,0.7441523671150208,0.21403250098228455,0.9999999403953552
0.01888020895421505,1.3092135190963745,1746198037.4083128,0.4426749348640442,0.4898989796638489,43.5328254699707,13872,28.748048782348633,1764,656.039045698,2711040.0,1765,0.3216145932674408,0.8243850469589233,0.21928170323371887,0.9999999403953552
0.01888020895421505,1.3092135190963745,1746198039.430005,0.4747875928878784,0.4898989796638489,43.5328254699707,13920,28.094402313232422,1770,658.060742882,2720256.0,1771,0.2167968899011612,0.7130874991416931,0.2193264365196228,0.9999999403953552
