test_returned_episode,env_step,returned_won_episode,returned_episode,test_returned_won_episode,loss,qvals,grad_steps,returned_episode_lengths,test_returned_episode_lengths,_timestamp,_runtime,update_steps,test_returned_episode_returns,returned_episode_returns,_step
1.0,400896.0,0.0,0.0566406287252903,0.0,0.07349559664726257,0.2281852513551712,1840,14.805990219116211,14.252068519592285,1746173923.1405141,124.38348321,261,0.20085786283016205,0.23919272422790527,260
1.0,422400.0,0.0,0.0611979216337204,0.0,0.06702810525894165,0.1647086888551712,1952,13.358724594116211,14.252068519592285,1746173927.7050815,128.948059215,275,0.20085786283016205,0.2470703274011612,274
1.0,463872.0,0.0,0.0651041716337204,0.0,0.06975972652435303,0.1852741241455078,2168,13.053385734558105,14.252068519592285,1746173936.511962,137.754924702,302,0.20085786283016205,0.27102869749069214,301
1.0,466944.0,0.0,0.0638020858168602,0.0,0.07647327333688736,0.18152913451194763,2184,12.983724594116211,14.252068519592285,1746173937.163762,138.406725221,304,0.20085786283016205,0.25464412569999695,303
1.0,474624.0,0.0,0.0670572966337204,0.0,0.08985783904790878,0.16484014689922333,2224,12.756510734558105,14.252068519592285,1746173938.7935278,140.036491612,309,0.20085786283016205,0.28339844942092896,308
1.0,476160.0,0.0,0.0625,0.0,0.15085363388061523,0.15237107872962952,2232,13.417969703674316,14.252068519592285,1746173939.121999,140.364987738,310,0.20085786283016205,0.2727431058883667,309
1.0,485376.0,0.0,0.0696614608168602,0.0,0.1523868441581726,0.1614312082529068,2280,12.341146469116211,14.252068519592285,1746173941.0817733,142.324791539,316,0.20085786283016205,0.25681427121162415,315
1.0,494592.0,0.0,0.0611979216337204,0.0,0.06975165754556656,0.14308252930641174,2328,13.207682609558105,14.252068519592285,1746173943.0378985,144.28085767,322,0.20085786283016205,0.2859592139720917,321
1.0,522240.0,0.0,0.0677083358168602,0.002112824935466051,0.053978677839040756,0.14138606190681458,2472,12.565104484558105,13.128883361816406,1746173948.9726374,150.215605738,340,0.5918093919754028,0.29822051525115967,339
1.0,551424.0,0.0,0.0709635466337204,0.002112824935466051,0.05838464945554733,0.17094892263412476,2624,12.085287094116211,13.128883361816406,1746173955.1688957,156.411886316,359,0.5918093919754028,0.3029080331325531,358
1.0,615936.0,0.0,0.0703125,0.002112824935466051,0.04986545071005821,0.21982747316360474,2960,12.179037094116211,13.128883361816406,1746173968.8538275,170.096800219,401,0.5918093919754028,0.34969624876976013,400
