returned_episode,_step,qvals,returned_episode_lengths,test_returned_episode,_runtime,loss,env_step,test_returned_episode_returns,returned_won_episode,test_returned_episode_lengths,returned_episode_returns,grad_steps,_timestamp,update_steps,test_returned_won_episode
0.02278645895421505,318,0.3547377586364746,27.328777313232422,1.0,184.987707172,1.1547555923461914,489984.0,0.15869034826755524,0.0,24.541475296020508,0.2844923436641693,2304,1746203515.91638,319,0.0
0.02278645895421505,319,0.3370714783668518,26.835939407348633,1.0,185.332667168,1.0300405025482178,491520.0,0.15869034826755524,0.0,24.541475296020508,0.26291725039482117,2312,1746203516.2612188,320,0.0
0.0240885429084301,334,0.3709406852722168,25.72591209411621,1.0,190.494746534,1.5501477718353271,514560.0,0.42571067810058594,0.0,37.744667053222656,0.24129313230514526,2432,1746203521.4234383,335,0.005505849607288837
0.02148437686264515,337,0.34878987073898315,24.853517532348633,1.0,191.502419519,1.3649523258209229,519168.0,0.42571067810058594,0.0,37.744667053222656,0.2077421098947525,2456,1746203522.4311152,338,0.005505849607288837
0.02343750186264515,338,0.3669407367706299,24.880861282348633,1.0,191.838452911,1.4606919288635254,520704.0,0.42571067810058594,0.0,37.744667053222656,0.24170458316802979,2464,1746203522.7671692,339,0.005505849607288837
0.02278645895421505,352,0.35377511382102966,25.787761688232422,1.0,196.569804496,1.9161548614501953,542208.0,0.42571067810058594,0.0390625037252903,37.744667053222656,0.3410252332687378,2576,1746203527.4984605,353,0.005505849607288837
0.02148437686264515,360,0.3643425703048706,28.30208396911621,1.0,199.270321596,1.7246452569961548,554496.0,0.42571067810058594,0.01497395895421505,37.744667053222656,0.2753395438194275,2640,1746203530.1989825,361,0.005505849607288837
0.02148437686264515,363,0.33547502756118774,25.115236282348633,1.0,200.297962593,1.7096920013427734,559104.0,0.42571067810058594,0.0,37.744667053222656,0.2775964140892029,2664,1746203531.2265334,364,0.005505849607288837
0.02278645895421505,365,0.33648523688316345,25.72395896911621,1.0,200.980126295,1.6085267066955566,562176.0,0.42571067810058594,0.0,37.744667053222656,0.1984357386827469,2680,1746203531.9087424,366,0.005505849607288837
0.0240885429084301,387,0.34103280305862427,25.647136688232422,1.0,208.404187073,2.687762498855591,595968.0,0.42571067810058594,0.014322916977107525,37.744667053222656,0.2707594037055969,2856,1746203539.3328862,388,0.005505849607288837
