grad_steps,loss,_timestamp,test_returned_episode_lengths,test_returned_episode,_runtime,returned_episode_returns,qvals,env_step,test_returned_won_episode,update_steps,test_returned_episode_returns,returned_episode,returned_episode_lengths,_step,returned_won_episode
22424,0.19944694638252258,1746162524.5196002,86.83657836914062,1.0,1176.340022565,0.564220666885376,-1.0090495347976685,4353024.0,0.5856031179428101,2834,1.5399024486541748,0.0078125,27.893230438232422,2833,0.2337239682674408
22592,0.16291272640228271,1746162532.9594982,86.83657836914062,1.0,1184.779923864,0.43819689750671387,-1.0587522983551025,4385280.0,0.5856031179428101,2855,1.5399024486541748,0.0078125,26.86328125,2854,0.150390625
22616,0.16778382658958435,1746162534.1656287,86.83657836914062,1.0,1185.986047594,0.6715199947357178,-1.0511115789413452,4389888.0,0.5856031179428101,2858,1.5399024486541748,0.0078125,29.979167938232422,2857,0.3001302182674408
22672,0.23050066828727722,1746162536.9792223,86.83657836914062,1.0,1188.7996359,0.5954214334487915,-1.0704505443572998,4400640.0,0.5856031179428101,2865,1.5399024486541748,0.0078125,29.0,2864,0.26171875
22728,0.2248654067516327,1746162539.7929747,86.83657836914062,1.0,1191.613383298,0.5345078706741333,-0.9934189319610596,4411392.0,0.5856031179428101,2872,1.5399024486541748,0.0078125,26.80859375,2871,0.2389322966337204
22936,0.2143106907606125,1746162550.2481666,86.83657836914062,1.0,1202.068584437,0.6061918139457703,-0.9680589437484741,4451328.0,0.5856031179428101,2898,1.5399024486541748,0.0078125,30.29036521911621,2897,0.2415364682674408
23072,0.2034256011247635,1746162557.0814717,86.83657836914062,1.0,1208.901904011,0.547317624092102,-1.0557944774627686,4477440.0,0.5856031179428101,2915,1.5399024486541748,0.0078125,27.703125,2914,0.2265625
23112,0.19238725304603577,1746162559.0948722,86.83657836914062,1.0,1210.915290336,0.5731649398803711,-1.0012052059173584,4485120.0,0.5856031179428101,2920,1.5399024486541748,0.0078125,27.8671875,2919,0.2493489682674408
23232,0.14778569340705872,1746162565.2278523,83.8655014038086,1.0,1217.048280999,0.5465444326400757,-1.0501902103424072,4508160.0,0.7933723330497742,2935,1.7768162488937378,0.0078125,28.268230438232422,2934,0.216796875
23408,0.1601138859987259,1746162574.0711527,83.8655014038086,1.0,1225.891568248,0.6940104365348816,-1.119252324104309,4541952.0,0.7933723330497742,2957,1.7768162488937378,0.0078125,28.8984375,2956,0.3470052182674408
23432,0.15565595030784607,1746162575.2768245,83.8655014038086,1.0,1227.097247033,0.5014910101890564,-1.1345576047897339,4546560.0,0.7933723330497742,2960,1.7768162488937378,0.0078125,27.34765625,2959,0.1985677182674408
23536,0.15999983251094818,1746162580.504129,83.8655014038086,1.0,1232.324543602,0.5516327619552612,-1.1683762073516846,4566528.0,0.7933723330497742,2973,1.7768162488937378,0.0078125,28.592449188232422,2972,0.220703125
23568,0.14911694824695587,1746162582.1116703,83.8655014038086,1.0,1233.932088308,0.3886485695838928,-1.1040241718292236,4572672.0,0.7933723330497742,2977,1.7768162488937378,0.0078125,26.1328125,2976,0.1139322966337204
23584,0.1736515909433365,1746162582.9153976,83.8655014038086,1.0,1234.735801975,0.5834773778915405,-1.1308624744415283,4575744.0,0.7933723330497742,2979,1.7768162488937378,0.0078125,28.049480438232422,2978,0.2578125
23640,0.16932585835456848,1746162585.7358522,83.8655014038086,1.0,1237.55626095,0.4522588849067688,-1.0451511144638062,4586496.0,0.7933723330497742,2986,1.7768162488937378,0.0078125,26.0625,2985,0.171875
23888,0.16275188326835632,1746162598.217805,83.8655014038086,1.0,1250.03822317,0.5013850927352905,-1.0850284099578857,4634112.0,0.7933723330497742,3017,1.7768162488937378,0.0078125,26.62890625,3016,0.2024739682674408
23912,0.16641663014888763,1746162599.4270055,83.8655014038086,1.0,1251.247424718,0.5086314678192139,-1.0587021112442017,4638720.0,0.7933723330497742,3020,1.7768162488937378,0.0078125,28.70052146911621,3019,0.189453125
24048,0.2016986757516861,1746162606.2582552,83.8655014038086,1.0,1258.078677987,0.41249293088912964,-0.826926589012146,4664832.0,0.7933723330497742,3037,1.7768162488937378,0.0078125,27.1796875,3036,0.119140625
24288,0.13331405818462372,1746162618.3208683,83.8655014038086,1.0,1270.141280208,0.4919867515563965,-0.9096089601516724,4710912.0,0.7933723330497742,3067,1.7768162488937378,0.0078125,27.8125,3066,0.1888020932674408
24320,0.19592173397541046,1746162619.9285896,83.8655014038086,1.0,1271.749022687,0.4972054958343506,-0.9727146029472351,4717056.0,0.7933723330497742,3071,1.7768162488937378,0.0078125,28.295574188232422,3070,0.1822916716337204
24440,0.1538197249174118,1746162625.9589486,83.8655014038086,1.0,1277.779357688,0.6267086863517761,-0.8226532936096191,4740096.0,0.7933723330497742,3086,1.7768162488937378,0.0078125,29.604167938232422,3085,0.2766927182674408
24464,0.16046473383903503,1746162627.1647432,83.8655014038086,1.0,1278.985175014,0.5191389322280884,-0.842784583568573,4744704.0,0.7933723330497742,3089,1.7768162488937378,0.0078125,29.119792938232422,3088,0.1868489682674408
24560,0.15824256837368011,1746162631.9913812,83.8655014038086,1.0,1283.811786092,0.5484849214553833,-0.8241786956787109,4763136.0,0.7933723330497742,3101,1.7768162488937378,0.0078125,27.1640625,3100,0.2278645932674408
24688,0.1647612303495407,1746162638.4284472,83.8655014038086,1.0,1290.248875836,0.4849890172481537,-0.7446497678756714,4787712.0,0.7933723330497742,3117,1.7768162488937378,0.0078125,27.307292938232422,3116,0.1822916716337204
24720,0.16528385877609253,1746162640.042802,83.8655014038086,1.0,1291.863211317,0.5237387418746948,-0.6565468311309814,4793856.0,0.7933723330497742,3121,1.7768162488937378,0.0078125,26.861980438232422,3120,0.2311197966337204
24776,0.21241633594036102,1746162642.8555167,83.8655014038086,1.0,1294.675926227,0.5668488144874573,-0.6955198049545288,4804608.0,0.7933723330497742,3128,1.7768162488937378,0.0078125,27.92578125,3127,0.234375
24888,0.14535266160964966,1746162648.4836152,83.8655014038086,1.0,1300.304039245,0.5081284046173096,-0.7515370845794678,4826112.0,0.7933723330497742,3142,1.7768162488937378,0.0078125,25.83203125,3141,0.2200520932674408
25056,0.18275535106658936,1746162656.9299235,83.8655014038086,1.0,1308.75035136,0.6123952865600586,-0.7957515716552734,4858368.0,0.7933723330497742,3163,1.7768162488937378,0.0078125,28.32421875,3162,0.2701823115348816
25064,0.16350753605365753,1746162657.3318243,83.8655014038086,1.0,1309.15226445,0.4793879985809326,-0.789710283279419,4859904.0,0.7933723330497742,3164,1.7768162488937378,0.0078125,27.68099021911621,3163,0.1770833432674408
25120,0.19753003120422363,1746162660.1443973,83.8655014038086,1.0,1311.964802225,0.6596903800964355,-0.8030693531036377,4870656.0,0.7933723330497742,3171,1.7768162488937378,0.0078125,29.53255271911621,3170,0.2975260615348816
25240,0.1638621687889099,1746162666.173309,83.8655014038086,1.0,1317.993727491,0.6457620859146118,-0.8209715485572815,4893696.0,0.7933723330497742,3186,1.7768162488937378,0.0078125,29.21484375,3185,0.2962239682674408
25320,0.22134622931480408,1746162670.1972344,83.8655014038086,1.0,1322.017646683,0.7216736674308777,-0.9746423363685608,4909056.0,0.7933723330497742,3196,1.7768162488937378,0.0078125,29.609375,3195,0.3522135615348816
