returned_episode,env_step,_step,test_returned_episode_returns,_timestamp,qvals,loss,update_steps,grad_steps,returned_won_episode,test_returned_episode,test_returned_won_episode,returned_episode_returns,returned_episode_lengths,test_returned_episode_lengths,_runtime
0.01692708395421505,256512.0,166,5.092048922961112e-06,1746189237.609463,0.749593198299408,0.028949305415153503,167,1088,0.0,1.0,0.0,0.2069956511259079,29.01041603088379,9.324177742004395,86.615843706
0.017578125,274944.0,178,5.092048922961112e-06,1746189241.1571448,0.7096483111381531,0.028295256197452545,179,1184,0.0,1.0,0.0,0.187111958861351,28.47591209411621,9.324177742004395,90.163544175
0.01822916604578495,291840.0,189,5.092048922961112e-06,1746189244.4109256,0.6973336935043335,0.031601447612047195,190,1272,0.0,1.0,0.0,0.21582551300525665,29.984375,9.324177742004395,93.41733938
0.015625,321024.0,208,5.092048922961112e-06,1746189250.0332453,0.5743458271026611,0.040637657046318054,209,1424,0.0,1.0,0.0,0.19816578924655914,30.20703125,9.324177742004395,99.039627789
0.017578125,324096.0,210,5.092048922961112e-06,1746189250.6247697,0.5729638338088989,0.038960009813308716,211,1440,0.0,1.0,0.0,0.19675779342651367,30.07552146911621,9.324177742004395,99.631176035
0.017578125,370176.0,240,5.092048922961112e-06,1746189259.4985206,0.6132469773292542,0.042931169271469116,241,1680,0.0,1.0,0.0,0.19027255475521088,28.79296875,9.324177742004395,108.504917635
0.01888020895421505,384000.0,249,5.092048922961112e-06,1746189262.1611629,0.6151362657546997,0.043330445885658264,250,1752,0.0,1.0,0.0,0.21044877171516418,29.833984375,9.324177742004395,111.167553238
0.01627604104578495,430080.0,279,5.092048922961112e-06,1746189271.0364947,0.5752190351486206,0.06736700981855392,280,1992,0.0,1.0,0.0,0.17709112167358398,29.93489646911621,9.324177742004395,120.042886826
0.01627604104578495,440832.0,286,5.092048922961112e-06,1746189273.1105008,0.5496060848236084,0.09092586487531662,287,2048,0.0,1.0,0.0,0.15807637572288513,29.69921875,9.324177742004395,122.116963419
0.01888020895421505,519168.0,337,0.00319646205753088,1746189288.266017,0.32007867097854614,0.37035202980041504,338,2456,0.0,1.0,0.0,0.13016578555107117,27.236328125,20.803422927856445,137.272408415
0.015625,526848.0,342,0.00319646205753088,1746189289.744092,0.24042454361915588,0.22624140977859497,343,2496,0.0,1.0,0.0,0.15882031619548798,29.11458396911621,20.803422927856445,138.750473169
0.01822916604578495,529920.0,344,0.00319646205753088,1746189290.3357446,0.23006406426429749,0.19213108718395233,345,2512,0.0,1.0,0.0,0.10933766514062881,28.884765625,20.803422927856445,139.342139279
0.014973958022892475,608256.0,395,0.00319646205753088,1746189305.4355013,0.294977605342865,0.1127285435795784,396,2920,0.0,1.0,0.0,0.16717882454395294,30.74349021911621,20.803422927856445,154.441886773
0.01627604104578495,612864.0,398,0.00319646205753088,1746189306.3221712,0.2974061369895935,0.12811517715454102,399,2944,0.0,1.0,0.0,0.14410503208637238,30.57291603088379,20.803422927856445,155.328554937
0.014973958022892475,615936.0,400,0.00319646205753088,1746189306.913295,0.2908598780632019,0.16664239764213562,401,2960,0.0,1.0,0.0,0.15176822245121002,29.91275978088379,20.803422927856445,155.919659095
