_step,grad_steps,env_step,update_steps,returned_won_episode,returned_episode_lengths,returned_episode,loss,test_returned_episode_returns,_timestamp,test_returned_won_episode,returned_episode_returns,qvals,test_returned_episode_lengths,test_returned_episode,_runtime
238,1664,367104.0,239,0.0,31.109375,0.014973958022892475,0.05506088584661484,0.17097532749176025,1746457928.3957846,0.0,0.19357812404632568,0.7048588395118713,28.761600494384766,1.0,108.820331466
264,1872,407040.0,265,0.0,30.05599021911621,0.01692708395421505,0.04300942271947861,0.17097532749176025,1746457936.150695,0.0,0.21482115983963013,0.7653859853744507,28.761600494384766,1.0,116.575202855
276,1968,425472.0,277,0.0,30.40559959411621,0.01627604104578495,0.05046094208955765,0.17097532749176025,1746457939.7363477,0.0,0.18844355642795563,0.6990198493003845,28.761600494384766,1.0,120.160822033
305,2200,470016.0,306,0.0,27.794921875,0.02213541604578495,0.09678231179714203,0.17097532749176025,1746457948.389613,0.0,0.18059025704860687,0.542818546295166,28.761600494384766,1.0,128.814243718
315,2280,485376.0,316,0.0,29.671875,0.017578125,0.0634676069021225,0.17097532749176025,1746457951.3675172,0.0,0.1819887012243271,0.49506497383117676,28.761600494384766,1.0,131.792144833
327,2376,503808.0,328,0.0,30.1171875,0.014973958022892475,0.0479901060461998,0.14270980656147003,1746457955.0001364,0.0,0.19379253685474396,0.5303347110748291,23.637126922607422,1.0000001192092896,135.424698308
333,2424,513024.0,334,0.0,29.990234375,0.01627604104578495,0.07588016986846924,0.14270980656147003,1746457956.7943158,0.0,0.23077340424060822,0.555655300617218,23.637126922607422,1.0000001192092896,137.218810874
368,2704,566784.0,369,0.0,25.802734375,0.02278645895421505,0.1332700550556183,0.14270980656147003,1746457967.2107444,0.0,0.13276736438274384,0.6670624613761902,23.637126922607422,1.0000001192092896,147.635274246
391,2888,602112.0,392,0.0,30.93099021911621,0.01627604104578495,0.06861825287342072,0.14270980656147003,1746457974.0609455,0.0,0.19373957812786102,0.613271176815033,23.637126922607422,1.0000001192092896,154.485501808
400,2960,615936.0,401,0.0,29.51953125,0.014973958022892475,0.06180214509367943,0.14270980656147003,1746457976.7423182,0.0,0.22288627922534943,0.6508921384811401,23.637126922607422,1.0000001192092896,157.166812423
407,3016,626688.0,408,0.0,29.08984375,0.01822916604578495,0.0757255107164383,0.14270980656147003,1746457978.8257027,0.0,0.22823524475097656,0.5833388566970825,23.637126922607422,1.0000001192092896,159.250244192
419,3112,645120.0,420,0.0,27.41927146911621,0.021484375,0.3160306215286255,0.14270980656147003,1746457982.488761,0.0,0.13513454794883728,0.693844735622406,23.637126922607422,1.0000001192092896,162.913263292
426,3168,655872.0,427,0.0,29.63020896911621,0.01692708395421505,0.17892612516880035,0.14270980656147003,1746457984.5578682,0.0,0.20508940517902374,0.7575662732124329,23.637126922607422,1.0000001192092896,164.982404344
