qvals,_runtime,returned_episode_returns,returned_won_episode,loss,grad_steps,test_returned_episode_returns,test_returned_episode,test_returned_won_episode,returned_episode_lengths,test_returned_episode_lengths,returned_episode,update_steps,_timestamp,env_step,_step
1.0770230293273926,1502.9372419,1.4075521230697632,0.7037760615348816,0.03767704218626022,30528,1.996931552886963,1.0,0.9970951676368713,28.00846290588379,41.620914459228516,0.0234375,3847,1746201219.5728705,5908992.0,3846
1.1070890426635742,1505.567157831,1.4088541269302368,0.7044270634651184,0.034386537969112396,30584,1.996931552886963,1.0,0.9970951676368713,27.30794334411621,41.620914459228516,0.0234375,3854,1746201222.2028043,5919744.0,3853
1.0179316997528076,1507.444619714,1.3932291269302368,0.6966145634651184,0.03592652082443237,30624,1.996931552886963,1.0,0.9970951676368713,27.07552146911621,41.620914459228516,0.0234375,3859,1746201224.080227,5927424.0,3858
1.253173828125,1509.698919035,1.4088541269302368,0.7044270634651184,0.03650660067796707,30672,1.996931552886963,1.0,0.9970951676368713,27.2578125,41.620914459228516,0.0234375,3865,1746201226.334594,5936640.0,3864
1.163009524345398,1524.880306003,1.4270833730697632,0.7135416865348816,0.030189286917448044,30992,1.997297763824463,1.0,0.9973924160003662,27.03255271911621,37.924381256103516,0.0234375,3905,1746201241.5159366,5998080.0,3904
0.8189376592636108,1537.654660162,1.3880208730697632,0.6940104365348816,0.030508818104863167,31264,1.997297763824463,1.0,0.9973924160003662,27.95703125,37.924381256103516,0.02278645895421505,3939,1746201254.2902584,6050304.0,3938
0.6052594780921936,1546.329317344,1.3802083730697632,0.6901041865348816,0.028985802084207535,31448,1.997297763824463,1.0,0.9973924160003662,27.607421875,37.924381256103516,0.02278645895421505,3962,1746201262.9649785,6085632.0,3961
0.5533155798912048,1559.10442783,1.3792415857315063,0.6783854365348816,0.02421685680747032,31720,1.997297763824463,1.0,0.9973924160003662,27.18294334411621,37.924381256103516,0.02278645895421505,3996,1746201275.7400477,6137856.0,3995
0.7419478297233582,1567.766480724,1.4010416269302368,0.7005208134651184,0.02265588939189911,31904,1.997297763824463,1.0,0.9973924160003662,27.63671875,37.924381256103516,0.02213541604578495,4019,1746201284.402168,6173184.0,4018
1.1911628246307373,1574.531206625,1.3664127588272095,0.6725260615348816,0.03517129272222519,32048,1.997297763824463,1.0,0.9973924160003662,27.904296875,37.924381256103516,0.02278645895421505,4037,1746201291.1668415,6200832.0,4036
