grad_steps,returned_episode_returns,returned_episode_lengths,returned_episode,test_returned_episode,loss,update_steps,returned_won_episode,test_returned_won_episode,qvals,test_returned_episode_returns,env_step,_step,_runtime,_timestamp,test_returned_episode_lengths
552,0.23230290412902832,25.729167938232422,0.02278645895421505,1.0,0.17233118414878845,100,0.0,0.0,0.17959460616111755,0.2238297015428543,153600.0,99,104.323339603,1746459121.1305852,45.47686767578125
560,0.21300850808620453,24.395183563232422,0.02343750186264515,1.0,0.20991075038909912,101,0.0,0.0,0.16559109091758728,0.2238297015428543,155136.0,100,104.793904379,1746459121.600994,45.47686767578125
576,0.25220948457717896,26.44466209411621,0.02278645895421505,1.0,0.43865206837654114,103,0.0,0.0,0.17929917573928833,0.2238297015428543,158208.0,102,105.721787375,1746459122.5290008,45.47686767578125
736,0.2528159022331238,27.526042938232422,0.02083333395421505,1.0,0.34384891390800476,123,0.0,0.0,0.17055529356002808,0.2238297015428543,188928.0,122,114.984609197,1746459131.7918904,45.47686767578125
928,0.26094627380371094,26.221355438232422,0.02083333395421505,1.0,0.29106834530830383,147,0.0,0.0,0.18179260194301605,0.2238297015428543,225792.0,146,126.095333996,1746459142.9023895,45.47686767578125
1000,0.3352993130683899,27.043621063232422,0.02083333395421505,1.0,0.3141225576400757,156,0.02278645895421505,0.0,0.21228933334350586,0.2238297015428543,239616.0,155,130.26177296,1746459147.0690017,45.47686767578125
1008,0.30306360125541687,28.19856834411621,0.0221354179084301,1.0,0.34049397706985474,157,0.0,0.0,0.2133907973766327,0.2238297015428543,241152.0,156,130.728799577,1746459147.5360565,45.47686767578125
1080,0.2414209544658661,26.035158157348633,0.02343750186264515,1.0,0.6669568419456482,166,0.0,0.0,0.2225353717803955,0.2238297015428543,254976.0,165,134.892124729,1746459151.69938,45.47686767578125
1168,0.3007621169090271,25.65755271911621,0.02278645895421505,1.0,0.39517462253570557,177,0.0,0.0,0.2384258210659027,0.2238297015428543,271872.0,176,139.991290983,1746459156.7985501,45.47686767578125
1280,0.24787478148937225,25.59309959411621,0.02278645895421505,1.0,0.8687756061553955,191,0.0,0.0,0.21806946396827698,0.2238297015428543,293376.0,190,146.46985124,1746459163.2771347,45.47686767578125
1320,0.23765109479427338,27.38020896911621,0.02148437686264515,1.0,0.6091737747192383,196,0.0,0.0,0.20171576738357544,0.2238297015428543,301056.0,195,148.788679104,1746459165.5959172,45.47686767578125
1480,0.27130764722824097,25.133464813232422,0.02343750186264515,1.0,1.130357265472412,216,0.0,0.0,0.21531355381011963,0.2238297015428543,331776.0,215,158.046210399,1746459174.8534853,45.47686767578125
1520,0.26213404536247253,26.504558563232422,0.02343750186264515,1.0,1.2075167894363403,221,0.0,0.0,0.22114770114421844,0.2238297015428543,339456.0,220,160.365734828,1746459177.1729608,45.47686767578125
1592,0.26269620656967163,25.36067771911621,0.02278645895421505,1.0,1.1226236820220947,230,0.0,0.0,0.21936455368995667,0.2238297015428543,353280.0,229,164.531591392,1746459181.3388472,45.47686767578125
1608,0.2636459469795227,27.382814407348633,0.02278645895421505,1.0,1.0422759056091309,232,0.0,0.0,0.21899616718292236,0.2238297015428543,356352.0,231,165.457815947,1746459182.2650824,45.47686767578125
1848,0.2585051953792572,26.00130271911621,0.0221354179084301,1.0,1.1686592102050781,262,0.0,0.0,0.22553616762161255,0.2238297015428543,402432.0,261,179.350058967,1746459196.157336,45.47686767578125
1888,0.255741685628891,24.92122459411621,0.0221354179084301,1.0,1.3416534662246704,267,0.0,0.0,0.23727765679359436,0.2238297015428543,410112.0,266,181.665072435,1746459198.4723318,45.47686767578125
1920,0.26696187257766724,24.94466209411621,0.02473958395421505,1.0,1.304333209991455,271,0.0,0.0,0.2245497703552246,0.2238297015428543,416256.0,270,183.516010561,1746459200.323303,45.47686767578125
1928,0.2959580719470978,26.546876907348633,0.0221354179084301,1.0,1.2522282600402832,272,0.0,0.0,0.23264798521995544,0.2238297015428543,417792.0,271,183.978218595,1746459200.785487,45.47686767578125
1936,0.29686853289604187,26.307292938232422,0.0201822929084301,1.0,1.2793011665344238,273,0.0,0.0,0.2219078540802002,0.2238297015428543,419328.0,272,184.448337794,1746459201.2554283,45.47686767578125
