test_returned_episode_returns,env_step,returned_episode_lengths,returned_won_episode,test_returned_episode_lengths,test_returned_won_episode,grad_steps,_step,loss,returned_episode_returns,update_steps,qvals,_timestamp,test_returned_episode,returned_episode,_runtime
0.09858360886573792,155136.0,16.720703125,0.0,15.015507698059082,0.0,560,100,0.022653311491012573,0.16265389323234558,101,0.576846718788147,1746177979.0791144,1.0,0.0462239608168602,83.916091162
0.09858360886573792,158208.0,16.875,0.0,15.015507698059082,0.0,576,102,0.04099611937999725,0.1689985990524292,103,0.5876443386077881,1746177979.974535,1.0,0.0449218787252903,84.811506393
0.09858360886573792,188928.0,17.11458396911621,0.0,15.015507698059082,0.0,736,122,0.03308834880590439,0.18514443933963776,123,0.6340718269348145,1746177988.9556742,1.0,0.0462239608168602,93.792659896
0.09858360886573792,225792.0,17.3359375,0.0,15.015507698059082,0.0,928,146,0.0360456183552742,0.1900094896554947,147,0.6325792670249939,1746177999.755291,1.0,0.0455729179084301,104.592366954
0.09858360886573792,239616.0,16.649089813232422,0.0,15.015507698059082,0.0,1000,155,0.04395219683647156,0.1899384707212448,156,0.5523038506507874,1746178003.7980723,1.0,0.0455729179084301,108.635153957
0.09858360886573792,241152.0,16.30859375,0.0,15.015507698059082,0.0,1008,156,0.03839945048093796,0.19303978979587555,157,0.5689542293548584,1746178004.2462163,1.0,0.0494791679084301,109.083228317
0.09858360886573792,254976.0,16.169921875,0.0,15.015507698059082,0.0,1080,165,0.03888341784477234,0.19772730767726898,166,0.565098762512207,1746178008.3047283,1.0,0.0481770858168602,113.141749979
0.09858360886573792,271872.0,15.889974594116211,0.0,15.015507698059082,0.0,1168,176,0.04071611538529396,0.2028527706861496,177,0.48870712518692017,1746178013.2630317,1.0,0.0507812537252903,118.100021525
0.09858360886573792,293376.0,15.317708969116211,0.0,15.015507698059082,0.0,1280,190,0.050911083817481995,0.20467568933963776,191,0.39707979559898376,1746178019.56342,1.0,0.0527343787252903,124.40062162
0.09858360886573792,301056.0,15.500000953674316,0.0,15.015507698059082,0.0,1320,195,0.05553549528121948,0.21272492408752441,196,0.45757919549942017,1746178021.822973,1.0,0.0488281287252903,126.660046388
0.09858360886573792,331776.0,15.740235328674316,0.0,15.015507698059082,0.0,1480,215,0.12688790261745453,0.20901992917060852,216,0.450000524520874,1746178030.8447902,1.0,0.0514322929084301,135.681879579
0.09858360886573792,339456.0,15.445313453674316,0.0,15.015507698059082,0.0,1520,220,0.12962503731250763,0.23722776770591736,221,0.43095695972442627,1746178033.1053336,1.0,0.0533854179084301,137.942407715
0.09858360886573792,353280.0,15.447917938232422,0.0,15.015507698059082,0.0,1592,229,0.08256183564662933,0.2170809954404831,230,0.5213332176208496,1746178037.1795213,1.0,0.0501302108168602,142.016611439
0.09858360886573792,356352.0,15.745443344116211,0.0,15.015507698059082,0.0,1608,231,0.10351549088954926,0.2363400012254715,232,0.5119315981864929,1746178038.0743318,1.0,0.0514322929084301,142.911457668
0.09858360886573792,402432.0,15.882162094116211,0.0,15.015507698059082,0.0,1848,261,0.11319172382354736,0.24440106749534607,262,0.39382460713386536,1746178051.605637,1.0,0.0501302108168602,156.442601674
0.09858360886573792,410112.0,15.000651359558105,0.0,15.015507698059082,0.0,1888,266,0.09715889394283295,0.2554924786090851,267,0.37455910444259644,1746178053.860758,1.0,0.0540364608168602,158.697838712
0.09858360886573792,416256.0,16.14453125,0.0,15.015507698059082,0.0,1920,270,0.11159004271030426,0.25490060448646545,271,0.3210417628288269,1746178055.6619139,1.0,0.0488281287252903,160.49889924
0.09858360886573792,417792.0,16.11067771911621,0.0,15.015507698059082,0.0,1928,271,0.23543386161327362,0.25144416093826294,272,0.2661060690879822,1746178056.1114128,1.0,0.0533854179084301,160.948500202
0.09858360886573792,419328.0,14.208985328674316,0.0,15.015507698059082,0.0,1936,272,0.22357013821601868,0.24008053541183472,273,0.2670891284942627,1746178056.5598264,1.0,0.0585937537252903,161.396860468
