update_steps,qvals,returned_episode,returned_episode_returns,env_step,test_returned_episode_returns,_runtime,returned_episode_lengths,test_returned_episode,returned_won_episode,loss,test_returned_won_episode,grad_steps,_step,test_returned_episode_lengths,_timestamp
149,1.0290961265563965,0.01692708395421505,0.20639754831790924,228864.0,0.10852555930614471,93.598731097,29.52083396911621,0.9999999403953552,0.0,0.014983925968408585,0.0,944,148,29.653371810913086,1746188081.9653747
157,1.0170172452926636,0.01888020895421505,0.19682811200618744,241152.0,0.10852555930614471,95.947509773,29.60807228088379,0.9999999403953552,0.0,0.017912235110998154,0.0,1008,156,29.653371810913086,1746188084.3142123
180,0.9854202270507812,0.017578125,0.20541580021381378,276480.0,0.10852555930614471,102.730465782,29.23958396911621,0.9999999403953552,0.0,0.018658827990293503,0.0,1192,179,29.653371810913086,1746188091.0971365
190,0.8259497880935669,0.01627604104578495,0.19317184388637543,291840.0,0.10852555930614471,105.678280288,30.20833396911621,0.9999999403953552,0.0,0.021658046171069145,0.0,1272,189,29.653371810913086,1746188094.0449486
200,0.8221383690834045,0.01953125,0.2039826214313507,307200.0,0.10852555930614471,108.63348521,28.43880271911621,0.9999999403953552,0.0,0.021679267287254333,0.0,1352,199,29.653371810913086,1746188097.0001295
217,0.8054819107055664,0.014973958022892475,0.170681431889534,333312.0,0.10852555930614471,113.648556632,28.86849021911621,0.9999999403953552,0.0,0.04642060026526451,0.0,1488,216,29.653371810913086,1746188102.015198
223,0.7401224374771118,0.01822916604578495,0.21728210151195526,342528.0,0.10852555930614471,115.420550136,29.65234375,0.9999999403953552,0.0,0.07224760949611664,0.0,1536,222,29.653371810913086,1746188103.7871957
237,0.6663613319396973,0.014973958022892475,0.1970147341489792,364032.0,0.10852555930614471,119.555587561,29.45052146911621,0.9999999403953552,0.0,0.03171008825302124,0.0,1648,236,29.653371810913086,1746188107.9222424
262,0.6676018238067627,0.01822916604578495,0.22540102899074554,402432.0,0.10852555930614471,126.952190819,29.41927146911621,0.9999999403953552,0.0,0.038183555006980896,0.0,1848,261,29.653371810913086,1746188115.3188233
264,0.6951509714126587,0.01627604104578495,0.19995398819446564,405504.0,0.10852555930614471,127.553417297,30.13997459411621,0.9999999403953552,0.0,0.036918994039297104,0.0,1864,263,29.653371810913086,1746188115.9200215
267,0.6892246603965759,0.014322916977107525,0.19415362179279327,410112.0,0.10852555930614471,128.432436421,29.66796875,0.9999999403953552,0.0,0.03438456356525421,0.0,1888,266,29.653371810913086,1746188116.7990816
290,0.5366249084472656,0.01627604104578495,0.2111918330192566,445440.0,0.10852555930614471,135.226067959,29.79557228088379,0.9999999403953552,0.0,0.056394390761852264,0.0,2072,289,29.653371810913086,1746188123.5927396
295,0.5985881090164185,0.015625,0.21279600262641907,453120.0,0.10852555930614471,136.70624947,30.765625,0.9999999403953552,0.0,0.05617894232273102,0.0,2112,294,29.653371810913086,1746188125.0728219
303,0.6434231996536255,0.015625,0.16580727696418762,465408.0,0.10852555930614471,139.080543135,28.89453125,0.9999999403953552,0.0,0.0799904316663742,0.0,2176,302,29.653371810913086,1746188127.4471803
317,0.6707379817962646,0.01692708395421505,0.17727167904376984,486912.0,0.10852555930614471,143.20842313,30.03385353088379,0.9999999403953552,0.0,0.09474628418684006,0.0,2288,316,29.653371810913086,1746188131.5751026
334,0.6592898964881897,0.01888020895421505,0.17047829926013947,513024.0,0.24008017778396606,148.302206694,29.17903709411621,1.0,0.0,0.07824232429265976,0.0,2424,333,38.94395065307617,1746188136.668892
372,0.43061912059783936,0.02083333395421505,0.16756682097911835,571392.0,0.24008017778396606,159.529707451,27.82356834411621,1.0,0.0,0.17244485020637512,0.0,2728,371,38.94395065307617,1746188147.896384
