update_steps,test_returned_episode_lengths,returned_episode_lengths,_timestamp,returned_episode_returns,_runtime,env_step,returned_episode,qvals,test_returned_episode_returns,loss,returned_won_episode,test_returned_won_episode,grad_steps,_step,test_returned_episode
3955,94.677734375,24.7734375,1746182427.549855,0.3020637631416321,1607.587316995,6074880.0,0.0078125,-0.7463170886039734,1.4108785390853882,0.1831408441066742,0.0709635466337204,0.501953125,31392,3954,1.0
3975,94.677734375,26.1015625,1746182435.4827418,0.35453349351882935,1615.520214324,6105600.0,0.0078125,-0.7811692357063293,1.4108785390853882,0.21270902454853058,0.1061197966337204,0.501953125,31552,3974,1.0
3982,94.677734375,25.233074188232422,1746182438.259101,0.3082852065563202,1618.296562017,6116352.0,0.0078125,-0.8118290901184082,1.4108785390853882,0.15957370400428772,0.080078125,0.501953125,31608,3981,1.0
4024,94.677734375,25.31380271911621,1746182454.9152431,0.3783262372016907,1634.952691842,6180864.0,0.0078125,-0.8451236486434937,1.4108785390853882,0.1619652956724167,0.130859375,0.501953125,31944,4023,1.0
4026,94.677734375,26.84505271911621,1746182455.709758,0.3660222887992859,1635.74725718,6183936.0,0.0078125,-0.8943992853164673,1.4108785390853882,0.150108203291893,0.1126302108168602,0.501953125,31960,4025,1.0
4032,94.677734375,26.09895896911621,1746182458.0869832,0.35354289412498474,1638.124434439,6193152.0,0.0078125,-0.8013907074928284,1.4108785390853882,0.14592856168746948,0.1022135466337204,0.501953125,32008,4031,1.0
4049,94.677734375,28.15755271911621,1746182464.8272002,0.3188171684741974,1644.864658233,6219264.0,0.008463541977107525,-0.8566231727600098,1.4108785390853882,0.1762181520462036,0.0592447929084301,0.501953125,32144,4048,1.0
4055,94.677734375,26.29817771911621,1746182467.204911,0.3135409355163574,1647.242367707,6228480.0,0.0078125,-0.8134257793426514,1.4108785390853882,0.16428765654563904,0.0807291716337204,0.501953125,32192,4054,1.0
4068,94.677734375,26.252605438232422,1746182472.3603966,0.39162081480026245,1652.397826651,6248448.0,0.0078125,-0.8762788772583008,1.4108785390853882,0.16415247321128845,0.134765625,0.501953125,32296,4067,1.0
4070,94.677734375,27.319011688232422,1746182473.1528854,0.43142959475517273,1653.190328478,6251520.0,0.0078125,-0.7538884878158569,1.4108785390853882,0.18121908605098724,0.1490885466337204,0.501953125,32312,4069,1.0
4086,94.677734375,25.73828125,1746182479.4935095,0.3566322326660156,1659.530953838,6276096.0,0.0078125,-0.8094146251678467,1.4108785390853882,0.18866413831710815,0.1158854216337204,0.501953125,32440,4085,1.0
4095,94.677734375,25.203125,1746182483.0637689,0.3072301149368286,1663.101282693,6289920.0,0.0078125,-0.8408800363540649,1.4108785390853882,0.16103622317314148,0.0703125,0.501953125,32512,4094,1.0
4108,94.677734375,27.43099021911621,1746182488.218506,0.4045286178588867,1668.255950907,6309888.0,0.0078125,-0.7923926115036011,1.4108785390853882,0.16559229791164398,0.1341145932674408,0.501953125,32616,4107,1.0
4110,94.677734375,26.139324188232422,1746182489.0109522,0.2696300446987152,1669.048419602,6312960.0,0.008463541977107525,-0.7814033031463623,1.4108785390853882,0.20050005614757538,0.0494791679084301,0.501953125,32632,4109,1.0
4121,94.677734375,24.98177146911621,1746182493.3760085,0.31473398208618164,1673.413461861,6329856.0,0.0078125,-0.777546226978302,1.4108785390853882,0.30624961853027344,0.0872395858168602,0.501953125,32720,4120,1.0
4126,94.677734375,26.53515625,1746182495.3568842,0.3821403980255127,1675.394356013,6337536.0,0.0078125,-0.6938913464546204,1.4108785390853882,0.20854489505290985,0.1171875,0.501953125,32760,4125,1.0
4129,94.677734375,27.037761688232422,1746182496.5459788,0.4419870376586914,1676.583438341,6342144.0,0.0078125,-0.6528611183166504,1.4108785390853882,0.19489900767803192,0.1744791716337204,0.501953125,32784,4128,1.0
4131,94.677734375,25.7109375,1746182497.3386533,0.40186887979507446,1677.376094589,6345216.0,0.0078125,-0.7223576307296753,1.4108785390853882,0.19152873754501343,0.1419270932674408,0.501953125,32800,4130,1.0
