update_steps,test_returned_episode_lengths,rng3947986621/returned_episode_lengths,_timestamp,rng3947986621/returned_episode_returns,_runtime,rng3947986621/env_step,rng3947986621/test_returned_episode_lengths,rng3947986621/returned_episode,qvals,rng3947986621/qvals,returned_episode_lengths,env_step,test_returned_episode_returns,rng3947986621/loss,returned_won_episode,returned_episode_returns,test_returned_won_episode,rng3947986621/update_steps,returned_episode,loss,rng3947986621/test_returned_episode_returns,grad_steps,rng3947986621/grad_steps,_step,rng3947986621/test_returned_episode,rng3947986621/returned_won_episode,test_returned_episode,rng3947986621/test_returned_won_episode
545,52.69530487060547,32.02213668823242,1746181074.328899,0.10206389427185059,254.366422164,837120.0,52.69530487060547,0.014322916977107525,0.3616049885749817,0.3616049885749817,32.02213668823242,837120.0,0.5243716239929199,0.07572565227746964,0.0,0.10206389427185059,0.0,545,0.014322916977107525,0.07572565227746964,0.5243716239929199,4112,4112,544,1.0,0.0,1.0,0.0
549,52.69530487060547,30.5078125,1746181075.9170356,0.1192358136177063,255.954564721,843264.0,52.69530487060547,0.01497395895421505,0.35643136501312256,0.35643136501312256,30.5078125,843264.0,0.5243716239929199,0.08191714435815811,0.0,0.1192358136177063,0.0,549,0.01497395895421505,0.08191714435815811,0.5243716239929199,4144,4144,548,1.0,0.0,1.0,0.0
570,52.69530487060547,32.04557418823242,1746181084.2554154,0.11971615254878998,264.292943343,875520.0,52.69530487060547,0.01302083395421505,0.24687844514846802,0.24687844514846802,32.04557418823242,875520.0,0.5243716239929199,0.08264128863811493,0.0,0.11971615254878998,0.0,570,0.01302083395421505,0.08264128863811493,0.5243716239929199,4312,4312,569,1.0,0.0,1.0,0.0
588,52.69530487060547,31.076824188232422,1746181091.4084191,0.12659011781215668,271.446050726,903168.0,52.69530487060547,0.013671875,0.19920006394386292,0.19920006394386292,31.076824188232422,903168.0,0.5243716239929199,0.10203884541988373,0.0,0.12659011781215668,0.0,588,0.013671875,0.10203884541988373,0.5243716239929199,4456,4456,587,1.0,0.0,1.0,0.0
617,52.69530487060547,31.854167938232422,1746181102.9414592,0.14259904623031616,282.97907618,947712.0,52.69530487060547,0.015625,0.23280498385429382,0.23280498385429382,31.854167938232422,947712.0,0.5243716239929199,0.08296095579862595,0.0,0.14259904623031616,0.0,617,0.015625,0.08296095579862595,0.5243716239929199,4688,4688,616,1.0,0.0,1.0,0.0
640,52.69530487060547,30.873699188232422,1746181112.0793667,0.16139072179794312,292.116967322,983040.0,52.69530487060547,0.01497395895421505,0.24459904432296753,0.24459904432296753,30.873699188232422,983040.0,0.5243716239929199,0.08890961110591888,0.0,0.16139072179794312,0.0,640,0.01497395895421505,0.08890961110591888,0.5243716239929199,4872,4872,639,1.0,0.0,1.0,0.0
649,52.69530487060547,31.63671875,1746181115.6526558,0.1609252542257309,295.690251508,996864.0,52.69530487060547,0.01497395895421505,0.18124109506607056,0.18124109506607056,31.63671875,996864.0,0.5243716239929199,0.09986214339733124,0.0,0.1609252542257309,0.0,649,0.01497395895421505,0.09986214339733124,0.5243716239929199,4944,4944,648,1.0,0.0,1.0,0.0
655,52.84059524536133,31.37890625,1746181118.1341872,0.17220699787139893,298.17183696,1006080.0,52.84059524536133,0.01497395895421505,0.24954678118228912,0.24954678118228912,31.37890625,1006080.0,0.16403132677078247,0.06637120246887207,0.0,0.17220699787139893,0.0,655,0.01497395895421505,0.06637120246887207,0.16403132677078247,4992,4992,654,1.0,0.0,1.0,0.0
670,52.84059524536133,31.43359375,1746181124.0851521,0.056243911385536194,304.122624911,1029120.0,52.84059524536133,0.015625,0.15865755081176758,0.15865755081176758,31.43359375,1029120.0,0.16403132677078247,0.13895852863788605,0.0,0.056243911385536194,0.0,670,0.015625,0.13895852863788605,0.16403132677078247,5112,5112,669,1.0,0.0,1.0,0.0
688,52.84059524536133,31.05208396911621,1746181131.222337,0.06273114681243896,311.259786638,1056768.0,52.84059524536133,0.015625,0.21402937173843384,0.21402937173843384,31.05208396911621,1056768.0,0.16403132677078247,0.09087996929883957,0.0,0.06273114681243896,0.0,688,0.015625,0.09087996929883957,0.16403132677078247,5256,5256,687,1.0,0.0,1.0,0.0
