returned_won_episode,qvals,grad_steps,returned_episode,test_returned_won_episode,env_step,returned_episode_returns,test_returned_episode_lengths,loss,_timestamp,returned_episode_lengths,_step,update_steps,_runtime,test_returned_episode_returns,test_returned_episode
0.0,0.45500412583351135,1648,0.013671875,0.0,364032.0,0.21598194539546967,26.090545654296875,0.30255240201950073,1746158034.49212,31.9296875,236,237,143.251669125,0.14507567882537842,1.0
0.0,0.49467912316322327,2072,0.01497395895421505,0.0,445440.0,0.24004945158958435,26.090545654296875,0.41548222303390503,1746158055.7992387,32.122398376464844,289,290,164.558791432,0.14507567882537842,1.0
0.0,0.4908895790576935,2088,0.015625,0.0,448512.0,0.2627958655357361,26.090545654296875,0.38387924432754517,1746158056.609539,31.951824188232422,291,292,165.369112623,0.14507567882537842,1.0
0.0,0.4865949749946594,2240,0.01302083395421505,0.0,477696.0,0.24398605525493622,26.090545654296875,0.27632588148117065,1746158064.2763803,32.015625,310,311,173.036234398,0.14507567882537842,1.0
0.0,0.46389198303222656,2280,0.015625,0.0,485376.0,0.23521801829338074,26.090545654296875,0.21833577752113342,1746158066.27307,31.94661521911621,315,316,175.03260212,0.14507567882537842,1.0
0.0,0.48793691396713257,2336,0.01497395895421505,0.0,496128.0,0.19727429747581482,26.090545654296875,0.34603071212768555,1746158069.081838,31.82161521911621,322,323,177.841633776,0.14507567882537842,1.0
0.0,0.48475518822669983,2392,0.015625,0.0,506880.0,0.241798996925354,53.293331146240234,0.7417209148406982,1746158072.009099,32.24479293823242,329,330,180.768521254,0.5211055874824524,0.9999999403953552
0.0,0.4187268018722534,2432,0.014322916977107525,0.0,514560.0,0.20860129594802856,53.293331146240234,0.41004064679145813,1746158074.0173962,31.479167938232422,334,335,182.776923911,0.5211055874824524,0.9999999403953552
0.0,0.417819082736969,2440,0.015625,0.0,516096.0,0.23927436769008636,53.293331146240234,0.403800368309021,1746158074.416952,30.625,335,336,183.176455898,0.5211055874824524,0.9999999403953552
0.0,0.5377793312072754,2592,0.0162760429084301,0.0,545280.0,0.16607876121997833,53.293331146240234,0.39973562955856323,1746158082.0530546,30.453777313232422,354,355,190.812511776,0.5211055874824524,0.9999999403953552
0.0,0.4957028031349182,2624,0.010416666977107525,0.0,551424.0,0.23571062088012695,53.293331146240234,0.3307154178619385,1746158083.6529007,31.6640625,358,359,192.412396468,0.5211055874824524,0.9999999403953552
0.0,0.5254760980606079,2696,0.01497395895421505,0.0,565248.0,0.2570362389087677,53.293331146240234,0.2092079222202301,1746158087.3066704,32.05859375,367,368,196.066213312,0.5211055874824524,0.9999999403953552
0.0,0.536494255065918,2816,0.014322916977107525,0.0,588288.0,0.22641560435295105,53.293331146240234,0.20953616499900818,1746158093.3777993,32.09244918823242,382,383,202.137210245,0.5211055874824524,0.9999999403953552
0.0,0.5311017036437988,2864,0.015625,0.0,597504.0,0.1747591495513916,53.293331146240234,0.20247939229011536,1746158095.820937,30.39778709411621,388,389,204.580670608,0.5211055874824524,0.9999999403953552
0.0,0.5267200469970703,2880,0.015625,0.0,600576.0,0.1806791126728058,53.293331146240234,0.20267590880393982,1746158096.6241293,30.32421875,390,391,205.38366428,0.5211055874824524,0.9999999403953552
0.0,0.5003153085708618,2944,0.015625,0.0,612864.0,0.17957286536693573,53.293331146240234,0.19155997037887573,1746158099.8521056,31.7890625,398,399,208.611534852,0.5211055874824524,0.9999999403953552
0.0,0.5303882360458374,3000,0.015625,0.0,623616.0,0.17872481048107147,53.293331146240234,0.2129734456539154,1746158102.6573257,31.52083396911621,405,406,211.41685593,0.5211055874824524,0.9999999403953552
0.0,0.5963529348373413,3160,0.014322916977107525,0.0,654336.0,0.18943695724010468,53.293331146240234,0.36916863918304443,1746158110.8943114,31.62890625,425,426,219.653879154,0.5211055874824524,0.9999999403953552
0.0,0.6274229288101196,3200,0.01497395895421505,0.0,662016.0,0.18496152758598328,53.293331146240234,0.21417208015918732,1746158112.9381125,31.893230438232422,430,431,221.6976263,0.5211055874824524,0.9999999403953552
0.0,0.8112374544143677,3632,0.01302083395421505,0.0,744960.0,0.14512106776237488,53.293331146240234,0.22988750040531158,1746158134.6878862,31.71484375,484,485,243.447622227,0.5211055874824524,0.9999999403953552
0.0,0.7308248281478882,3736,0.012369791977107525,0.0,764928.0,0.13178251683712006,53.293331146240234,0.312422513961792,1746158139.876027,32.177085876464844,497,498,248.635597781,0.5211055874824524,0.9999999403953552
