returned_episode_lengths,returned_episode,_timestamp,update_steps,loss,grad_steps,test_returned_episode_lengths,test_returned_episode_returns,qvals,_runtime,test_returned_episode,returned_won_episode,_step,test_returned_won_episode,env_step,returned_episode_returns
28.82552146911621,0.0078125,1746167637.3429046,2321,0.2650964558124542,18320,77.42638397216797,1.697833776473999,-0.26222628355026245,968.896931708,1.0,0.203125,2320,0.7304015159606934,3565056.0,0.5511221289634705
28.96875,0.0078125,1746167639.3588102,2326,0.19632366299629211,18360,77.42638397216797,1.697833776473999,-0.26174360513687134,970.912869686,1.0,0.2109375,2325,0.7304015159606934,3572736.0,0.5456385612487793
28.240886688232422,0.0078125,1746167640.163187,2328,0.20978385210037231,18376,77.42638397216797,1.697833776473999,-0.2917290925979614,971.717217874,1.0,0.2747395932674408,2327,0.7304015159606934,3575808.0,0.6072266101837158
30.41796875,0.008463541977107525,1746167642.5764792,2334,0.2048870027065277,18424,77.42638397216797,1.697833776473999,-0.31673187017440796,974.130541944,1.0,0.2975260615348816,2333,0.7304015159606934,3585024.0,0.6778969764709473
30.67317771911621,0.0078125,1746167657.060128,2370,0.20530760288238525,18712,77.42638397216797,1.697833776473999,-0.32576459646224976,988.614165037,1.0,0.3444010615348816,2369,0.7304015159606934,3640320.0,0.7425516843795776
28.846355438232422,0.0078125,1746167660.6842203,2379,0.2318672239780426,18784,77.42638397216797,1.697833776473999,-0.2926657199859619,992.238246746,1.0,0.2265625,2378,0.7304015159606934,3654144.0,0.5681030750274658
29.729167938232422,0.0078125,1746167663.500675,2386,0.2378254532814026,18840,77.42638397216797,1.697833776473999,-0.24715687334537506,995.05472636,1.0,0.2747395932674408,2385,0.7304015159606934,3664896.0,0.6352493762969971
30.85677146911621,0.0078125,1746167664.3052022,2388,0.24478670954704285,18856,77.42638397216797,1.697833776473999,-0.2430131733417511,995.859234329,1.0,0.3502604365348816,2387,0.7304015159606934,3667968.0,0.7702362537384033
27.66796875,0.0078125,1746167673.165701,2410,0.26036110520362854,19032,77.42638397216797,1.697833776473999,-0.3483036160469055,1004.719721395,1.0,0.2102864682674408,2409,0.7304015159606934,3701760.0,0.5315593481063843
28.33203125,0.0078125,1746167681.214377,2430,0.23707735538482666,19192,77.42638397216797,1.697833776473999,-0.3972095549106598,1012.76838623,1.0,0.236328125,2429,0.7304015159606934,3732480.0,0.5805115699768066
29.029949188232422,0.0078125,1746167692.0832179,2457,0.200486958026886,19408,77.42638397216797,1.697833776473999,-0.2971978187561035,1023.637238971,1.0,0.1575520932674408,2456,0.7304015159606934,3773952.0,0.4943704605102539
29.09114646911621,0.0078125,1746167694.8989875,2464,0.22368116676807404,19464,77.42638397216797,1.697833776473999,-0.2723217010498047,1026.453019795,1.0,0.3313802182674408,2463,0.7304015159606934,3784704.0,0.7001454830169678
29.97005271911621,0.0078125,1746167700.5316186,2478,0.1746353656053543,19576,77.42638397216797,1.697833776473999,-0.29186689853668213,1032.085640904,1.0,0.3157552182674408,2477,0.7304015159606934,3806208.0,0.7016286849975586
30.787761688232422,0.0078125,1746167702.5426705,2483,0.16507220268249512,19616,77.42638397216797,1.697833776473999,-0.2618718147277832,1034.096701983,1.0,0.38671875,2482,0.7304015159606934,3813888.0,0.7985672354698181
28.94270896911621,0.0078125,1746167705.760903,2491,0.19888097047805786,19680,77.42638397216797,1.697833776473999,-0.28361302614212036,1037.314958488,1.0,0.3209635615348816,2490,0.7304015159606934,3826176.0,0.6984792947769165
28.81770896911621,0.0078125,1746167706.1633546,2492,0.21227754652500153,19688,77.42638397216797,1.697833776473999,-0.3119428753852844,1037.717398582,1.0,0.3255208432674408,2491,0.7304015159606934,3827712.0,0.6849365234375
29.1640625,0.0078125,1746167723.0658615,2534,0.167994886636734,20024,77.42638397216797,1.697833776473999,-0.362493097782135,1054.619881518,1.0,0.291015625,2533,0.7304015159606934,3892224.0,0.6531362533569336
30.404949188232422,0.0078125,1746167725.4795191,2540,0.18290773034095764,20072,77.42638397216797,1.697833776473999,-0.3431289792060852,1057.033553002,1.0,0.3489583432674408,2539,0.7304015159606934,3901440.0,0.7412292957305908
28.834636688232422,0.0078125,1746167728.6975393,2548,0.18070803582668304,20136,77.42638397216797,1.697833776473999,-0.32015594840049744,1060.25155673,1.0,0.2805989682674408,2547,0.7304015159606934,3913728.0,0.6309479475021362
30.62630271911621,0.0078125,1746167742.40206,2582,0.18901681900024414,20408,77.42638397216797,1.697833776473999,-0.41137993335723877,1073.956092765,1.0,0.3307291865348816,2581,0.7304015159606934,3965952.0,0.7339650988578796
28.5859375,0.0078125,1746167774.295428,2661,0.15192115306854248,21040,77.76923370361328,1.8396371603012085,-0.3342900276184082,1105.849436056,1.0,0.2604166865348816,2660,0.8499062061309814,4087296.0,0.590194821357727
30.0859375,0.0078125,1746167777.5134366,2669,0.13803942501544952,21104,77.76923370361328,1.8396371603012085,-0.3034764230251312,1109.067434626,1.0,0.314453125,2668,0.8499062061309814,4099584.0,0.7030594348907471
29.885417938232422,0.0078125,1746167779.5295715,2674,0.1394893229007721,21144,77.76923370361328,1.8396371603012085,-0.27379950881004333,1111.08364483,1.0,0.2552083432674408,2673,0.8499062061309814,4107264.0,0.6211307048797607
28.06770896911621,0.0078125,1746167781.943261,2680,0.16980063915252686,21192,77.76923370361328,1.8396371603012085,-0.22911271452903748,1113.497283158,1.0,0.1647135466337204,2679,0.8499062061309814,4116480.0,0.48313605785369873
28.561199188232422,0.0078125,1746167793.2080498,2708,0.14263848960399628,21416,77.76923370361328,1.8396371603012085,-0.24154189229011536,1124.762057618,1.0,0.3391927182674408,2707,0.8499062061309814,4159488.0,0.6975200176239014
29.53645896911621,0.0078125,1746167802.8669937,2732,0.2005157619714737,21608,77.76923370361328,1.8396371603012085,-0.274066686630249,1134.421026242,1.0,0.3444010615348816,2731,0.8499062061309814,4196352.0,0.7236766219139099
29.205730438232422,0.0078125,1746167809.3072305,2748,0.18494009971618652,21736,77.76923370361328,1.8396371603012085,-0.2728503346443176,1140.861266911,1.0,0.2903645932674408,2747,0.8499062061309814,4220928.0,0.6639974117279053
26.65364646911621,0.0078125,1746167816.9505515,2767,0.1464068740606308,21888,77.76923370361328,1.8396371603012085,-0.22315679490566254,1148.504590114,1.0,0.2096354216337204,2766,0.8499062061309814,4250112.0,0.5087997913360596
30.459636688232422,0.0078125,1746167823.391862,2783,0.13084952533245087,22016,77.76923370361328,1.8396371603012085,-0.30823150277137756,1154.945950388,1.0,0.291015625,2782,0.8499062061309814,4274688.0,0.6796153783798218
29.15625,0.0078125,1746167825.0023904,2787,0.130048930644989,22048,77.76923370361328,1.8396371603012085,-0.33469051122665405,1156.556416439,1.0,0.2552083432674408,2786,0.8499062061309814,4280832.0,0.6053352355957031
29.8203125,0.008463541977107525,1746167827.8185837,2794,0.15066125988960266,22104,77.76923370361328,1.8396371603012085,-0.283757746219635,1159.372632275,1.0,0.296875,2793,0.8499062061309814,4291584.0,0.6878795027732849
28.86458396911621,0.0078125,1746167841.1050875,2827,0.1492547243833542,22368,77.76923370361328,1.8396371603012085,-0.27171704173088074,1172.659119265,1.0,0.3365885615348816,2826,0.8499062061309814,4342272.0,0.7087668180465698
29.8046875,0.008463541977107525,1746167842.7137642,2831,0.1407739222049713,22400,77.76923370361328,1.8396371603012085,-0.3057188391685486,1174.267815603,1.0,0.3098958432674408,2830,0.8499062061309814,4348416.0,0.6933424472808838
