returned_episode_returns,env_step,qvals,test_returned_episode_lengths,loss,grad_steps,returned_episode_lengths,test_returned_episode_returns,update_steps,returned_won_episode,_step,test_returned_episode,_runtime,_timestamp,returned_episode,test_returned_won_episode
0.18480905890464783,236544.0,0.6835054159164429,13.910820960998535,0.09683944284915924,984,13.442708969116211,0.0014014900662004948,154,0.0,153,1.0,89.613699611,1746171711.0938025,0.0618489608168602,0.0
0.1780165135860443,254976.0,0.598172664642334,13.910820960998535,0.13378183543682098,1080,13.591146469116211,0.0014014900662004948,166,0.0,165,1.0,93.537073876,1746171715.0171707,0.0611979216337204,0.0
0.21716582775115967,305664.0,0.46465522050857544,13.910820960998535,0.09325873851776123,1344,13.249349594116211,0.0014014900662004948,199,0.0,198,1.0,104.319794552,1746171725.7998765,0.0625,0.0
0.20056425034999847,307200.0,0.47237733006477356,13.910820960998535,0.09132055938243866,1352,13.391927719116211,0.0014014900662004948,200,0.0,199,1.0,104.647302043,1746171726.127223,0.0618489608168602,0.0
0.176866352558136,310272.0,0.4645422101020813,13.910820960998535,0.09253805875778198,1368,14.985026359558105,0.0014014900662004948,202,0.0,201,1.0,105.30068273,1746171726.7807534,0.0540364608168602,0.0
0.21059030294418335,314880.0,0.4998500943183899,13.910820960998535,0.14154589176177979,1392,13.447916984558105,0.0014014900662004948,205,0.0,204,1.0,106.281850185,1746171727.7619781,0.0611979216337204,0.0
0.21612416207790375,330240.0,0.5058445930480957,13.910820960998535,0.07799822092056274,1472,14.154297828674316,0.0014014900662004948,215,0.0,214,1.0,109.549666021,1746171731.0297227,0.0585937537252903,0.0
0.23196615278720856,360960.0,0.48962727189064026,13.910820960998535,0.06826306134462357,1632,13.858073234558105,0.0014014900662004948,235,0.0,234,1.0,116.085765367,1746171737.565862,0.0572916679084301,0.0
0.2428385615348816,384000.0,0.5237190127372742,13.910820960998535,0.05417877435684204,1752,13.951823234558105,0.0014014900662004948,250,0.0,249,1.0,120.989962044,1746171742.4700568,0.0611979216337204,0.0
0.2422526329755783,417792.0,0.520309567451477,13.910820960998535,0.06418193876743317,1928,13.236979484558105,0.0014014900662004948,272,0.0,271,1.0,128.17972477,1746171749.6598268,0.0618489608168602,0.0
0.2670356333255768,479232.0,0.48850294947624207,13.910820960998535,0.06211259961128235,2248,13.383463859558105,0.0014014900662004948,312,0.0,311,1.0,141.25306081,1746171762.7331817,0.0625,0.0
0.30397140979766846,520704.0,0.464447557926178,12.596561431884766,0.05906612053513527,2464,12.462891578674316,0.5684393644332886,339,0.0,338,1.0,150.14489941,1746171771.6249924,0.0696614608168602,0.001399440225213766
0.3109375536441803,552960.0,0.5117860436439514,12.596561431884766,0.061543989926576614,2632,12.753907203674316,0.5684393644332886,360,0.0,359,1.0,157.01683595,1746171778.4969265,0.06640625,0.001399440225213766
0.335178017616272,554496.0,0.4904220700263977,12.596561431884766,0.06162898987531662,2640,13.054037094116211,0.5684393644332886,361,0.0,360,1.0,157.343597948,1746171778.8236902,0.0651041716337204,0.001399440225213766
0.32805994153022766,576000.0,0.5203627347946167,12.596561431884766,0.1301109790802002,2752,12.774088859558105,0.5684393644332886,375,0.0,374,1.0,161.918158431,1746171783.3982837,0.0657552108168602,0.001399440225213766
0.33478739857673645,611328.0,0.5865384340286255,12.596561431884766,0.048742689192295074,2936,12.119791984558105,0.5684393644332886,398,0.0,397,1.0,169.434333927,1746171790.9144428,0.0709635466337204,0.001399440225213766
0.3606337308883667,646656.0,0.5639581680297852,12.596561431884766,0.06384758651256561,3120,12.216797828674316,0.5684393644332886,421,0.0,420,1.0,177.018522183,1746171798.498608,0.0696614608168602,0.001399440225213766
0.36213111877441406,663552.0,0.560608446598053,12.596561431884766,0.06150384619832039,3208,12.268229484558105,0.5684393644332886,432,0.0,431,1.0,180.62065744,1746171802.1007462,0.0703125,0.001399440225213766
0.39114585518836975,701952.0,0.5723477602005005,12.596561431884766,0.04532846808433533,3408,12.382813453674316,0.5684393644332886,457,0.0,456,1.0,188.79087294,1746171810.2709293,0.0690104216337204,0.001399440225213766
0.38606777787208557,712704.0,0.5553092956542969,12.596561431884766,0.0601520761847496,3464,11.987630844116211,0.5684393644332886,464,0.0,463,1.0,191.078921286,1746171812.5590153,0.0716145858168602,0.001399440225213766
