test_returned_won_episode,test_returned_episode_lengths,env_step,qvals,returned_episode_returns,returned_episode,grad_steps,test_returned_episode,loss,test_returned_episode_returns,update_steps,_runtime,returned_won_episode,returned_episode_lengths,_step,_timestamp
0.0,48.312747955322266,354816.0,0.4611923098564148,0.3154752552509308,0.02799479104578495,1600,1.0,0.2690034508705139,0.2381862998008728,231,124.691817637,0.0,24.095703125,230,1746193940.6343415
0.0,48.312747955322266,356352.0,0.469533771276474,0.31369462609291077,0.025390625,1608,1.0,0.2772952914237976,0.2381862998008728,232,125.064428153,0.0,25.0546875,231,1746193941.0069363
0.0,48.312747955322266,362496.0,0.46696895360946655,0.3033919036388397,0.02408854104578495,1640,1.0,0.2668268084526062,0.2381862998008728,236,126.551675217,0.0,25.609375,235,1746193942.4941983
0.0,48.312747955322266,394752.0,0.4487597942352295,0.31885090470314026,0.025390625,1808,1.0,0.25905632972717285,0.2381862998008728,257,134.365726341,0.0,24.52018165588379,256,1746193950.3082318
0.0,48.312747955322266,397824.0,0.4415278434753418,0.3189810812473297,0.02669270895421505,1824,1.0,0.2529723048210144,0.2381862998008728,259,135.110244223,0.0,24.71484375,258,1746193951.0527375
0.0,48.312747955322266,399360.0,0.44133615493774414,0.3202897012233734,0.0234375,1832,1.0,0.24394559860229492,0.2381862998008728,260,135.482436118,0.0,25.51236915588379,259,1746193951.4249594
0.0,48.312747955322266,423936.0,0.4081472158432007,0.3135741949081421,0.025390625,1960,1.0,0.20947104692459106,0.2381862998008728,276,141.435811445,0.0,24.60546875,275,1746193957.3783503
0.0,48.312747955322266,428544.0,0.4047542214393616,0.3263736665248871,0.02473958395421505,1984,1.0,0.22658738493919373,0.2381862998008728,279,142.551966574,0.0,25.66145896911621,278,1746193958.494486
0.0,48.312747955322266,470016.0,0.3643912672996521,0.3167415261268616,0.02473958395421505,2200,1.0,0.061565935611724854,0.2381862998008728,306,152.594405312,0.0,24.61067771911621,305,1746193968.5369287
0.0,48.312747955322266,480768.0,0.36142033338546753,0.31840816140174866,0.025390625,2256,1.0,0.0781354308128357,0.2381862998008728,313,155.206907361,0.0,23.61328125,312,1746193971.1494052
0.0,48.312747955322266,496128.0,0.3443739414215088,0.31805986166000366,0.02473958395421505,2336,1.0,0.07388575375080109,0.2381862998008728,323,158.925671323,0.0,24.13216209411621,322,1746193974.8681972
0.0,34.2088508605957,511488.0,0.33916568756103516,0.3284440040588379,0.02669270895421505,2416,0.9999999403953552,0.06862044334411621,0.48266512155532837,333,162.73541164,0.0,24.81900978088379,332,1746193978.6779282
0.0,34.2088508605957,520704.0,0.3397718369960785,0.34416666626930237,0.02473958395421505,2464,0.9999999403953552,0.06825970113277435,0.48266512155532837,339,164.967698673,0.0,25.54427146911621,338,1746193980.9102137
0.0,34.2088508605957,528384.0,0.33716779947280884,0.3585416376590729,0.02734375,2504,0.9999999403953552,0.06395625323057175,0.48266512155532837,344,166.827177076,0.0,24.75065040588379,343,1746193982.769684
0.0,34.2088508605957,537600.0,0.338303804397583,0.3640233874320984,0.025390625,2552,0.9999999403953552,0.06164944916963577,0.48266512155532837,350,169.06136957,0.0,24.13932228088379,349,1746193985.0038774
0.0,34.2088508605957,540672.0,0.33445411920547485,0.35340818762779236,0.02408854104578495,2568,0.9999999403953552,0.061679642647504807,0.48266512155532837,352,169.805101127,0.0,25.21744728088379,351,1746193985.7476199
