env_step,grad_steps,returned_episode,test_returned_episode_returns,loss,qvals,returned_won_episode,returned_episode_returns,_runtime,test_returned_won_episode,test_returned_episode_lengths,_timestamp,test_returned_episode,update_steps,returned_episode_lengths,_step
288768.0,1256,0.015625,0.0014630047371611,0.05527625232934952,0.9051880836486816,0.0,0.24051375687122345,112.523799699,0.0,20.65467071533203,1746157553.1089177,1.0,188,31.902345657348633,187
290304.0,1264,0.01497395895421505,0.0014630047371611,0.05760083347558975,0.9024487733840942,0.0,0.24793584644794464,112.858546385,0.0,20.65467071533203,1746157553.4438047,1.0,189,32.11198043823242,188
333312.0,1488,0.015625,0.0014630047371611,0.0967138409614563,0.794528603553772,0.0,0.23090755939483643,122.208302547,0.0,20.65467071533203,1746157562.7935784,1.0,217,31.829429626464844,216
337920.0,1512,0.01497395895421505,0.0014630047371611,0.10163460671901703,0.7955548763275146,0.0,0.2437329739332199,123.214065569,0.0,20.65467071533203,1746157563.7993512,1.0,220,31.566408157348633,219
339456.0,1520,0.013671875931322575,0.0014630047371611,0.10358613729476929,0.8184654712677002,0.0,0.23534810543060303,123.553804165,0.0,20.65467071533203,1746157564.1390877,1.0,221,32.005210876464844,220
377856.0,1720,0.015625,0.0014630047371611,0.233221635222435,0.908352255821228,0.0,0.25032368302345276,131.886327908,0.0,20.65467071533203,1746157572.4716525,1.0,246,32.126304626464844,245
379392.0,1728,0.015625,0.0014630047371611,0.2301696091890335,0.8938428163528442,0.0,0.24041393399238586,132.217630485,0.0,20.65467071533203,1746157572.8029563,1.0,247,31.881511688232422,246
423936.0,1960,0.015625,0.0014630047371611,0.24986517429351807,0.9059031009674072,0.0,0.21412040293216705,141.914743168,0.0,20.65467071533203,1746157582.5000637,1.0,276,31.639324188232422,275
462336.0,2160,0.01497395895421505,0.0014630047371611,0.1861087679862976,0.9449766874313354,0.0,0.21363472938537598,150.290053441,0.0,20.65467071533203,1746157590.8753006,1.0,301,31.768230438232422,300
514560.0,2432,0.014322916977107525,0.3130898177623749,0.42650896310806274,0.683035135269165,0.0,0.19399414956569672,161.73573626,0.0,46.682106018066406,1746157602.321019,1.0,335,32.15494918823242,334
528384.0,2504,0.01497395895421505,0.3130898177623749,0.43919533491134644,0.6621447801589966,0.0,0.21670347452163696,164.721703003,0.0,46.682106018066406,1746157605.3070266,1.0,344,32.02994918823242,343
554496.0,2640,0.01497395895421505,0.3130898177623749,0.4156815707683563,0.6512759923934937,0.0,0.19792503118515015,170.421120384,0.0,46.682106018066406,1746157611.0063097,1.0,361,31.860679626464844,360
585216.0,2800,0.02148437686264515,0.3130898177623749,0.260670006275177,0.5875449180603027,0.0,0.06944244354963303,177.10614217,0.0,46.682106018066406,1746157617.6914666,1.0,381,27.134767532348633,380
600576.0,2880,0.02278645895421505,0.3130898177623749,0.19780823588371277,0.5447942614555359,0.0,0.09080507606267929,180.453542527,0.0,46.682106018066406,1746157621.0388153,1.0,391,27.187501907348633,390
629760.0,3032,0.01497395895421505,0.3130898177623749,0.2436283826828003,0.4885258674621582,0.0,0.16087576746940613,186.826071347,0.0,46.682106018066406,1746157627.4113653,1.0,410,32.055992126464844,409
635904.0,3064,0.013671875931322575,0.3130898177623749,0.44955652952194214,0.5421698093414307,0.0,0.12916022539138794,188.307455561,0.0,46.682106018066406,1746157628.8924792,1.0,414,31.881511688232422,413
637440.0,3072,0.01302083395421505,0.3130898177623749,0.40740054845809937,0.5472280383110046,0.0,0.12390445917844772,188.638470548,0.0,46.682106018066406,1746157629.2236319,1.0,415,32.1875,414
685056.0,3320,0.01497395895421505,0.3130898177623749,0.35913747549057007,0.4716363549232483,0.0,0.1244334951043129,198.985051043,0.0,46.682106018066406,1746157639.570325,1.0,446,31.975261688232422,445
686592.0,3328,0.014322916977107525,0.3130898177623749,0.3803001344203949,0.4636029303073883,0.0,0.0960124284029007,199.317183033,0.0,46.682106018066406,1746157639.902491,1.0,447,32.0703125,446
715776.0,3480,0.01692708395421505,0.3130898177623749,0.3219869136810303,0.41659921407699585,0.0,0.1014944314956665,205.668506845,0.0,46.682106018066406,1746157646.2538517,1.0,466,29.92317771911621,465
721920.0,3512,0.014322916977107525,0.3130898177623749,0.3415970206260681,0.40695488452911377,0.0,0.09782417863607407,206.998031461,0.0,46.682106018066406,1746157647.5833733,1.0,470,31.820314407348633,469
