update_steps,_runtime,env_step,returned_won_episode,returned_episode,test_returned_episode_lengths,loss,returned_episode_returns,qvals,test_returned_episode,test_returned_episode_returns,returned_episode_lengths,test_returned_won_episode,_timestamp,grad_steps,_step
159,114.857685328,244224.0,0.0,0.01497395895421505,39.725955963134766,0.01959749311208725,0.17152100801467896,0.7867729663848877,1.0,0.11651697754859924,31.76692771911621,0.0,1746181574.9651425,1024,158
165,117.231235038,253440.0,0.0,0.01497395895421505,39.725955963134766,0.15333868563175201,0.1661202758550644,0.657400906085968,1.0,0.11651697754859924,31.44661521911621,0.0,1746181577.338606,1072,164
173,120.361128578,265728.0,0.0,0.014322916977107525,39.725955963134766,0.031129082664847374,0.18003833293914795,0.5554423332214355,1.0,0.11651697754859924,31.893230438232422,0.0,1746181580.4686506,1136,172
185,125.091312159,284160.0,0.0,0.014322916977107525,39.725955963134766,0.05334533751010895,0.16961538791656494,0.5865205526351929,1.0,0.11651697754859924,31.0546875,0.0,1746181585.1988506,1232,184
213,136.089665594,327168.0,0.0,0.012369791977107525,39.725955963134766,0.19749580323696136,0.15906548500061035,0.48470914363861084,1.0,0.11651697754859924,30.029949188232422,0.0,1746181596.1970627,1456,212
221,139.245125017,339456.0,0.0,0.015625,39.725955963134766,0.11596044898033142,0.1604698747396469,0.3303907811641693,1.0,0.11651697754859924,30.59375,0.0,1746181599.352623,1520,220
247,149.466122264,379392.0,0.0,0.015625,39.725955963134766,0.1988680064678192,0.20831412076950073,0.49310964345932007,1.0,0.11651697754859924,31.14453125,0.0,1746181609.5736322,1728,246
262,155.387657969,402432.0,0.0,0.013671875,39.725955963134766,0.4241475462913513,0.17904993891716003,0.39741796255111694,1.0,0.11651697754859924,31.671875,0.0,1746181615.4951398,1848,261
270,158.542485298,414720.0,0.0,0.014322916977107525,39.725955963134766,0.24794192612171173,0.1878214180469513,0.42179161310195923,1.0,0.11651697754859924,30.390625,0.0,1746181618.6498148,1912,269
274,160.127465429,420864.0,0.0,0.015625,39.725955963134766,0.255484014749527,0.2068842351436615,0.4011404514312744,1.0,0.11651697754859924,31.3828125,0.0,1746181620.23496,1944,273
276,160.925691097,423936.0,0.0,0.015625,39.725955963134766,0.1364482045173645,0.21908032894134521,0.4094490110874176,1.0,0.11651697754859924,31.27864646911621,0.0,1746181621.0330548,1960,275
277,161.316930998,425472.0,0.0,0.015625,39.725955963134766,0.14984682202339172,0.21000215411186218,0.37587183713912964,1.0,0.11651697754859924,30.697917938232422,0.0,1746181621.4243855,1968,276
290,166.397711772,445440.0,0.0,0.01497395895421505,39.725955963134766,0.24447454512119293,0.1954049915075302,0.38742101192474365,1.0,0.11651697754859924,31.2265625,0.0,1746181626.5052443,2072,289
295,168.368131017,453120.0,0.0,0.015625,39.725955963134766,0.17986954748630524,0.13683411478996277,0.3620174527168274,1.0,0.11651697754859924,30.455730438232422,0.0,1746181628.4756405,2112,294
303,171.506141628,465408.0,0.0,0.015625,39.725955963134766,0.1479935199022293,0.20485727488994598,0.3933161199092865,1.0,0.11651697754859924,31.5,0.0,1746181631.613631,2176,302
327,181.036658753,502272.0,0.0,0.01497395895421505,54.68297576904297,0.2606430649757385,0.20261341333389282,0.24193400144577026,0.9999999403953552,0.43380963802337646,31.47265625,0.0,1746181641.144151,2368,326
338,185.355412331,519168.0,0.0,0.01497395895421505,54.68297576904297,0.3810281455516815,0.1833076775074005,0.2741853594779968,0.9999999403953552,0.43380963802337646,31.15364646911621,0.0,1746181645.4627852,2456,337
352,190.858584095,540672.0,0.0,0.015625,54.68297576904297,0.4947332441806793,0.21418344974517822,0.32333919405937195,0.9999999403953552,0.43380963802337646,31.319011688232422,0.0,1746181650.9660783,2568,351
364,195.582630718,559104.0,0.0,0.01497395895421505,54.68297576904297,0.25223058462142944,0.16084542870521545,0.3169883191585541,0.9999999403953552,0.43380963802337646,31.41015625,0.0,1746181655.6901839,2664,363
367,196.767387899,563712.0,0.0,0.015625,54.68297576904297,0.26385992765426636,0.1737375110387802,0.3170924782752991,0.9999999403953552,0.43380963802337646,31.09765625,0.0,1746181656.87489,2688,366
