test_returned_episode,returned_episode,loss,test_returned_won_episode,returned_episode_lengths,test_returned_episode_lengths,_timestamp,test_returned_episode_returns,returned_episode_returns,returned_won_episode,env_step,qvals,grad_steps,update_steps,_step,_runtime
1.0,0.014973958022892475,0.3777356743812561,0.8401222229003906,30.40364646911621,51.36252975463867,1746195440.1721518,1.8291903734207153,1.1055532693862915,0.529296875,3056640.0,-0.8802524209022522,15672,1990,1989,800.690486504
1.0,0.014973958022892475,0.39806175231933594,0.8401222229003906,29.14974021911621,51.36252975463867,1746195442.073628,1.8291903734207153,1.0657517910003662,0.490234375,3064320.0,-0.9428070783615112,15712,1995,1994,802.591853357
1.0,0.015625,0.33987775444984436,0.8401222229003906,30.78645896911621,51.36252975463867,1746195446.211374,1.8291903734207153,1.1732779741287231,0.5625,3081216.0,-0.9202851057052612,15800,2006,2005,806.729613437
1.0,0.014973958022892475,0.3002053201198578,0.8401222229003906,30.86588478088379,51.36252975463867,1746195449.6086197,1.8291903734207153,1.1948957443237305,0.5826823115348816,3095040.0,-0.9480857253074646,15872,2015,2014,810.126820783
1.0,0.015625,0.3099684715270996,0.8401222229003906,30.36458396911621,51.36252975463867,1746195450.3642626,1.8291903734207153,1.1822850704193115,0.5598958134651184,3098112.0,-0.9479740262031555,15888,2017,2016,810.882476274
1.0,0.015625,0.3021208643913269,0.8401222229003906,30.20572853088379,51.36252975463867,1746195456.4388204,1.8291903734207153,1.2194172143936157,0.5944010615348816,3122688.0,-0.9331254959106445,16016,2033,2032,816.957092609
1.0,0.01692708395421505,0.31688082218170166,0.8401222229003906,30.1875,51.36252975463867,1746195457.5773098,1.8291903734207153,1.2153840065002441,0.5865885615348816,3127296.0,-0.9987190365791321,16040,2036,2035,818.095529803
1.0,0.015625,0.4083848297595978,0.8401222229003906,31.05729103088379,51.36252975463867,1746195460.5824971,1.8291903734207153,1.1137237548828125,0.5026041865348816,3139584.0,-1.09860360622406,16104,2044,2043,821.100748614
1.0,0.01627604104578495,0.38196247816085815,0.8401222229003906,30.109375,51.36252975463867,1746195462.8619912,1.8291903734207153,1.267617106437683,0.6217448115348816,3148800.0,-1.1203829050064087,16152,2050,2049,823.380339592
1.0,0.014973958022892475,0.34231680631637573,0.8401222229003906,29.75520896911621,51.36252975463867,1746195473.4681842,1.8291903734207153,1.1168749332427979,0.546875,3191808.0,-1.0542415380477905,16376,2078,2077,833.986410711
1.0,0.015625,0.2558343708515167,0.8401222229003906,30.59114646911621,51.36252975463867,1746195480.2687135,1.8291903734207153,1.1697818040847778,0.5579426884651184,3219456.0,-1.0723414421081543,16520,2096,2095,840.786941831
1.0,0.01692708395421505,0.27152538299560547,0.8401222229003906,29.91731834411621,51.36252975463867,1746195480.6703153,1.8291903734207153,1.0982290506362915,0.4986979067325592,3220992.0,-1.1049962043762207,16528,2097,2096,841.188667291
1.0,0.017578125,0.31326889991760254,0.8401222229003906,29.740234375,51.36252975463867,1746195482.9242494,1.8291903734207153,1.2682291269302368,0.6341145634651184,3230208.0,-1.1864979267120361,16576,2103,2102,843.442479834
1.0,0.015625,0.3082922697067261,0.8401222229003906,30.31380271911621,51.36252975463867,1746195483.2998643,1.8291903734207153,1.251969337463379,0.6165364384651184,3231744.0,-1.1886006593704224,16584,2104,2103,843.818077584
1.0,0.015625,0.22380729019641876,0.8401222229003906,30.84505271911621,51.36252975463867,1746195490.102722,1.8291903734207153,1.169270634651184,0.5846354365348816,3259392.0,-1.1906695365905762,16728,2122,2121,850.620936949
1.0,0.015625,0.22075310349464417,0.8401222229003906,30.02864646911621,51.36252975463867,1746195492.7717192,1.8291903734207153,1.2403157949447632,0.6067708134651184,3270144.0,-1.1632342338562012,16784,2129,2128,853.289944447
1.0,0.015625,0.2593201696872711,0.8401222229003906,30.56640625,51.36252975463867,1746195497.284569,1.8291903734207153,1.1758463382720947,0.572265625,3288576.0,-1.2132858037948608,16880,2141,2140,857.802885711
1.0,0.01627604104578495,0.2787821590900421,0.8401222229003906,30.453125,51.36252975463867,1746195498.0370493,1.8291903734207153,1.30078125,0.650390625,3291648.0,-1.2139618396759033,16896,2143,2142,858.555288545
1.0,0.014973958022892475,0.2081993967294693,0.8401222229003906,30.20963478088379,51.36252975463867,1746195503.3439264,1.8291903734207153,1.2089647054672241,0.5885416865348816,3313152.0,-1.2012348175048828,17008,2157,2156,863.862157151
1.0,0.015625,0.199898824095726,0.8401222229003906,30.34114646911621,51.36252975463867,1746195504.87166,1.8291903734207153,1.2681835889816284,0.6106770634651184,3319296.0,-1.2209789752960205,17040,2161,2160,865.389875841
1.0,0.01627604104578495,0.31098926067352295,0.8401222229003906,29.76302146911621,51.36252975463867,1746195505.622976,1.8291903734207153,1.1832777261734009,0.568359375,3322368.0,-1.1446857452392578,17056,2163,2162,866.141201935
1.0,0.01692708395421505,0.2523282766342163,0.8401222229003906,30.00325584411621,51.36252975463867,1746195507.501729,1.8291903734207153,1.1374965906143188,0.544921875,3330048.0,-1.1808995008468628,17096,2168,2167,868.019954847
1.0,0.015625,0.18888737261295319,0.8401222229003906,29.52474021911621,51.36252975463867,1746195516.5685534,1.8291903734207153,1.2277864217758179,0.6041666865348816,3366912.0,-1.027183175086975,17288,2192,2191,877.086800121
1.0,0.01627604104578495,0.1600443720817566,0.8401222229003906,29.46484375,51.36252975463867,1746195542.6507292,1.8291903734207153,1.2994791269302368,0.6497395634651184,3472896.0,-0.8236331939697266,17840,2261,2260,903.168964794
1.0,0.01627604104578495,0.15261711180210114,0.9788135886192322,29.96484375,44.34491729736328,1746195556.7655087,1.977419376373291,1.321614384651184,0.6608073115348816,3529728.0,-0.8270438313484192,18136,2298,2297,917.283726837
1.0,0.015625,0.2060696929693222,0.9788135886192322,30.703125,44.34491729736328,1746195560.9092214,1.977419376373291,1.29296875,0.646484375,3546624.0,-0.8982728123664856,18224,2309,2308,921.42746975
