returned_episode_returns,returned_won_episode,returned_episode_lengths,update_steps,env_step,test_returned_episode_lengths,loss,test_returned_episode_returns,test_returned_won_episode,_runtime,grad_steps,qvals,test_returned_episode,_timestamp,returned_episode,_step
0.23312029242515564,0.0,15.988933563232422,204,313344.0,14.03003215789795,0.0589442253112793,0.10372847318649292,0.0,129.638443468,1384,0.19702991843223572,1.0,1746184218.4857426,0.0507812537252903,203
0.2393229603767395,0.0,17.123046875,259,397824.0,14.03003215789795,0.07863965630531311,0.10372847318649292,0.0,154.758504114,1824,0.15983998775482178,1.0,1746184243.6057973,0.0475260429084301,258
0.20098251104354858,0.0,14.042318344116211,278,427008.0,14.03003215789795,0.2327592670917511,0.10372847318649292,0.0,163.433851899,1976,0.10655706375837326,1.0,1746184252.2811418,0.0592447929084301,277
0.2634943723678589,0.0,15.400391578674316,285,437760.0,14.03003215789795,0.15647466480731964,0.10372847318649292,0.0,166.638051979,2032,0.12631414830684662,1.0,1746184255.4853525,0.0520833358168602,284
0.2702060341835022,0.0,15.387371063232422,303,465408.0,14.03003215789795,0.06514284014701843,0.10372847318649292,0.0,174.859384436,2176,0.13799311220645905,1.0,1746184263.7066936,0.0520833358168602,302
0.2817590534687042,0.0,15.740235328674316,330,506880.0,18.678897857666016,0.06454786658287048,0.6550073623657227,0.0021950455848127604,187.311547213,2392,0.17033319175243378,1.0000001192092896,1746184276.1588275,0.0507812537252903,329
0.32979410886764526,0.0,15.263021469116211,360,552960.0,18.678897857666016,0.061204083263874054,0.6550073623657227,0.0021950455848127604,201.014242303,2632,0.1908165067434311,1.0000001192092896,1746184289.8615127,0.0553385429084301,359
0.32643237709999084,0.0,14.845704078674316,374,574464.0,18.678897857666016,0.06294064223766327,0.6550073623657227,0.0021950455848127604,207.405476818,2744,0.1948278397321701,1.0000001192092896,1746184296.2527456,0.0540364608168602,373
0.3185724914073944,0.0,15.119141578674316,376,577536.0,18.678897857666016,0.06357330083847046,0.6550073623657227,0.0021950455848127604,208.319815967,2760,0.19375567138195038,1.0000001192092896,1746184297.1669996,0.0520833358168602,375
0.3330848217010498,0.0,14.736979484558105,381,585216.0,18.678897857666016,0.06465494632720947,0.6550073623657227,0.0021950455848127604,210.603353182,2800,0.19592882692813873,1.0000001192092896,1746184299.4506555,0.0546875037252903,380
0.3886955976486206,0.0,13.616537094116211,414,635904.0,18.678897857666016,0.07066306471824646,0.6550073623657227,0.0021950455848127604,225.741079628,3064,0.20747709274291992,1.0000001192092896,1746184314.5883772,0.0605468787252903,413
0.3827534019947052,0.0,14.421224594116211,415,637440.0,18.678897857666016,0.04989634454250336,0.6550073623657227,0.0021950455848127604,226.197606724,3072,0.19079391658306122,1.0000001192092896,1746184315.0448759,0.0566406287252903,414
0.3885772228240967,0.0,14.287760734558105,424,651264.0,18.678897857666016,0.0771007388830185,0.6550073623657227,0.0021950455848127604,230.306587538,3144,0.22513675689697266,1.0000001192092896,1746184319.1538682,0.0579427108168602,423
