returned_episode_lengths,returned_episode_returns,returned_won_episode,update_steps,test_returned_episode,_step,test_returned_episode_returns,loss,returned_episode,grad_steps,_runtime,test_returned_episode_lengths,qvals,env_step,test_returned_won_episode,_timestamp
26.523439407348633,0.29961317777633667,0.0,183,0.9999999403953552,182,0.09451650083065033,0.11560439318418503,0.02083333395421505,1216,138.122002092,29.840871810913086,0.8361493349075317,281088,0.0,1747623279.7105284
26.674480438232422,0.2985270023345947,0.0,187,0.9999999403953552,186,0.09451650083065033,0.09402672201395035,0.02278645895421505,1248,139.898319681,29.840871810913086,0.8437096476554871,287232,0.0,1747623281.4869893
25.86849021911621,0.29744991660118103,0.0,189,0.9999999403953552,188,0.09451650083065033,0.09325040876865387,0.02278645895421505,1264,140.793053954,29.840871810913086,0.8518000841140747,290304,0.0,1747623282.3817446
27.04036521911621,0.27772969007492065,0.0,194,0.9999999403953552,193,0.09451650083065033,0.11822645366191864,0.02148437686264515,1304,143.014790362,29.840871810913086,0.8766452074050903,297984,0.0,1747623284.6032653
26.820314407348633,0.28446465730667114,0.0,196,0.9999999403953552,195,0.09451650083065033,0.1478680670261383,0.02148437686264515,1320,143.903430228,29.840871810913086,0.8641297817230225,301056,0.0,1747623285.4921079
26.31770896911621,0.3000270128250122,0.0,198,0.9999999403953552,197,0.09451650083065033,0.1003822386264801,0.02343750186264515,1336,144.805669852,29.840871810913086,0.8691060543060303,304128,0.0,1747623286.394147
25.78645896911621,0.2802208662033081,0.0,204,0.9999999403953552,203,0.09451650083065033,0.10033414512872696,0.02343750186264515,1384,147.482306564,29.840871810913086,0.8758521676063538,313344,0.0,1747623289.0710535
26.23567771911621,0.3059035539627075,0.0,259,0.9999999403953552,258,0.09451650083065033,0.09245484322309494,0.02278645895421505,1824,171.987838097,29.840871810913086,0.9531173706054688,397824,0.0,1747623313.574528
26.346355438232422,0.3069898188114166,0.0,278,0.9999999403953552,277,0.09451650083065033,0.18979370594024658,0.02278645895421505,1976,180.457609743,29.840871810913086,0.9865130186080933,427008,0.0,1747623322.0461776
25.688152313232422,0.3173539638519287,0.0,285,0.9999999403953552,284,0.09451650083065033,0.09184478223323822,0.02343750186264515,2032,183.580574599,29.840871810913086,0.968557596206665,437760,0.0,1747623325.1692793
26.151042938232422,0.33309558033943176,0.0,303,0.9999999403953552,302,0.09451650083065033,0.07397289574146271,0.02278645895421505,2176,191.601099871,29.840871810913086,0.9968245625495911,465408,0.0,1747623333.1898284
27.105470657348633,0.3341493606567383,0.0,330,0.9999999403953552,329,0.5062037706375122,0.08548339456319809,0.0221354179084301,2392,203.772366285,43.75692367553711,0.9831728935241699,506880,0.0,1747623345.361016
24.992189407348633,0.3241523802280426,0.0,360,0.9999999403953552,359,0.5062037706375122,0.09967964887619019,0.02148437686264515,2632,217.157577528,43.75692367553711,0.9995925426483154,552960,0.0,1747623358.7462797
26.115886688232422,0.30841976404190063,0.0,374,0.9999999403953552,373,0.5062037706375122,0.16657358407974243,0.02278645895421505,2744,223.41979606,43.75692367553711,1.018308401107788,574464,0.0,1747623365.0084403
26.510417938232422,0.31677114963531494,0.0,376,0.9999999403953552,375,0.5062037706375122,0.08578679710626602,0.02148437686264515,2760,224.323784155,43.75692367553711,1.0215654373168945,577536,0.0,1747623365.9122987
25.764324188232422,0.23512037098407745,0.0,381,0.9999999403953552,380,0.5062037706375122,0.08761970698833466,0.0162760429084301,2800,226.560425129,43.75692367553711,1.0043737888336182,585216,0.0,1747623368.1489055
27.447267532348633,0.37793415784835815,0.0,414,0.9999999403953552,413,0.5062037706375122,0.07207825779914856,0.02343750186264515,3064,241.455815224,43.75692367553711,1.010266900062561,635904,0.0,1747623383.0443819
26.88997459411621,0.3642641007900238,0.0,415,0.9999999403953552,414,0.5062037706375122,0.05461689084768295,0.02278645895421505,3072,241.8965512,43.75692367553711,0.9967764616012573,637440,0.0,1747623383.4852297
26.044923782348633,0.312858521938324,0.0,424,0.9999999403953552,423,0.5062037706375122,0.05756617337465286,0.02278645895421505,3144,245.905164124,43.75692367553711,1.0137192010879517,651264,0.0,1747623387.490923
