update_steps,returned_episode_lengths,returned_won_episode,test_returned_episode,test_returned_episode_returns,_step,loss,test_returned_won_episode,returned_episode,_runtime,grad_steps,test_returned_episode_lengths,returned_episode_returns,qvals,env_step,_timestamp
1809,29.43099021911621,0.4680989682674408,1.0,1.8198081254959106,1808,0.45826753973960876,0.8452285528182983,0.01692708395421505,636.886325285,14224,42.512428283691406,1.071742296218872,0.9341135025024414,2778624,1747629845.146558
1820,29.01302146911621,0.5221354365348816,1.0,1.8198081254959106,1819,0.3772819936275482,0.8452285528182983,0.017578125,640.475485003,14312,42.512428283691406,1.1269664764404297,0.9567668437957764,2795520,1747629848.7356482
1826,27.98567771911621,0.5475260615348816,1.0,1.8198081254959106,1825,0.43763402104377747,0.8452285528182983,0.0182291679084301,642.434361208,14360,42.512428283691406,1.1880525350570679,0.9475892186164856,2804736,1747629850.694582
1852,28.57747459411621,0.5481771230697632,1.0,1.8198081254959106,1851,0.32653167843818665,0.8452285528182983,0.01888020895421505,650.920545833,14568,42.512428283691406,1.1669652462005615,0.935381293296814,2844672,1747629859.1806242
1853,27.626955032348633,0.5618489980697632,1.0,1.8198081254959106,1852,0.35601094365119934,0.8452285528182983,0.02083333395421505,651.243920142,14576,42.512428283691406,1.2054779529571533,0.9212974309921265,2846208,1747629859.5041535
1860,28.289714813232422,0.5234375,1.0,1.8198081254959106,1859,0.32256102561950684,0.8452285528182983,0.0162760429084301,653.515128978,14632,42.512428283691406,1.134458065032959,0.9431044459342957,2856960,1747629861.7753386
1862,27.688152313232422,0.6015625596046448,1.0,1.8198081254959106,1861,0.29974281787872314,0.8452285528182983,0.0182291679084301,654.177543016,14648,42.512428283691406,1.2692686319351196,0.94520103931427,2860032,1747629862.4377666
1869,24.480470657348633,0.5390625,1.0,1.8198081254959106,1868,0.3891962766647339,0.8452285528182983,0.0221354179084301,656.45415116,14704,42.512428283691406,1.1562966108322144,0.9371500015258789,2870784,1747629864.7143576
1871,25.60677146911621,0.5501302480697632,1.0,1.8198081254959106,1870,0.3460179567337036,0.8452285528182983,0.02148437686264515,657.098586146,14720,42.512428283691406,1.178536057472229,0.9501405954360962,2873856,1747629865.358807
1880,28.94075584411621,0.6868489980697632,1.0,1.8198081254959106,1879,0.33695119619369507,0.8452285528182983,0.01888020895421505,660.022523684,14792,42.512428283691406,1.3868962526321411,0.9790292382240295,2887680,1747629868.2826326
1885,26.387371063232422,0.6028646230697632,1.0,1.8198081254959106,1884,0.3556484580039978,0.8452285528182983,0.01888020895421505,661.654293916,14832,42.512428283691406,1.2549777030944824,0.9345215559005737,2895360,1747629869.914541
1895,27.410808563232422,0.5026041865348816,1.0,1.8198081254959106,1894,0.4824778437614441,0.8452285528182983,0.0201822929084301,664.92720989,14912,42.512428283691406,1.1120878458023071,0.9470155239105225,2910720,1747629873.1874187
1905,27.410158157348633,0.5729166865348816,1.0,1.8198081254959106,1904,0.33646199107170105,0.8452285528182983,0.0201822929084301,668.193379343,14992,42.512428283691406,1.2370386123657227,0.9640909433364868,2926080,1747629876.4535432
1917,27.808595657348633,0.4667969048023224,1.0,1.8198081254959106,1916,0.4508892297744751,0.8452285528182983,0.0182291679084301,672.103951122,15088,42.512428283691406,1.083164095878601,0.9257630109786987,2944512,1747629880.3641686
