qvals,test_returned_episode,_runtime,loss,grad_steps,update_steps,test_returned_won_episode,returned_won_episode,returned_episode,env_step,returned_episode_returns,test_returned_episode_lengths,returned_episode_lengths,test_returned_episode_returns,_step,_timestamp
0.228474959731102,1.0,175.814602401,0.44835880398750305,2088,292,0.0,0.0,0.0221354179084301,448512.0,0.21056899428367615,20.297792434692383,25.83528709411621,0.06951837241649628,291,1746196608.5887363
0.2128797471523285,1.0,182.244725788,0.48999613523483276,2240,311,0.0,0.0,0.02473958395421505,477696.0,0.24884261190891266,20.297792434692383,23.712892532348633,0.06951837241649628,310,1746196615.0187457
0.2023824155330658,1.0,183.936138415,0.4376221001148224,2280,316,0.0,0.02473958395421505,0.0201822929084301,485376.0,0.3489215672016144,20.297792434692383,26.875652313232422,0.06951837241649628,315,1746196616.7102804
0.223646879196167,1.0,186.291912778,0.5367220640182495,2336,323,0.0,0.0,0.02343750186264515,496128.0,0.24603743851184845,20.297792434692383,24.399089813232422,0.06951837241649628,322,1746196619.066087
0.21790295839309692,1.0,188.723080154,0.4717099666595459,2392,330,0.008426966145634651,0.0,0.01953125186264515,506880.0,0.30697858333587646,38.09339904785156,25.64974021911621,0.4842968285083771,329,1746196621.497227
0.22853712737560272,1.0,190.41778013,0.8180768489837646,2432,335,0.008426966145634651,0.0611979216337204,0.0221354179084301,514560.0,0.4098052680492401,38.09339904785156,26.160158157348633,0.4842968285083771,334,1746196623.1919405
0.23047250509262085,1.0,190.754081166,0.8628346920013428,2440,336,0.008426966145634651,0.0,0.02343750186264515,516096.0,0.23568081855773926,38.09339904785156,24.68684959411621,0.4842968285083771,335,1746196623.5282285
0.24288836121559143,1.0,197.182628298,0.4226367771625519,2592,355,0.008426966145634651,0.0,0.02343750186264515,545280.0,0.30257028341293335,38.09339904785156,25.22591209411621,0.4842968285083771,354,1746196629.9567082
0.26243025064468384,1.0,198.527230694,0.4632812738418579,2624,359,0.008426966145634651,0.0,0.02343750186264515,551424.0,0.3147035241127014,38.09339904785156,25.328126907348633,0.4842968285083771,358,1746196631.301385
0.27973878383636475,1.0,201.584744985,0.39825594425201416,2696,368,0.008426966145634651,0.0,0.0221354179084301,565248.0,0.3199930489063263,38.09339904785156,26.514324188232422,0.4842968285083771,367,1746196634.3587568
0.24031348526477814,1.0,206.678212384,0.5133726596832275,2816,383,0.008426966145634651,0.0,0.0240885429084301,588288.0,0.3174470365047455,38.09339904785156,23.61849021911621,0.4842968285083771,382,1746196639.4523711
0.25056788325309753,1.0,208.692512257,0.5004571676254272,2864,389,0.008426966145634651,0.0,0.01953125186264515,597504.0,0.29248061776161194,38.09339904785156,26.232423782348633,0.4842968285083771,388,1746196641.4666805
0.24274900555610657,1.0,209.364258174,0.4842025637626648,2880,391,0.008426966145634651,0.012369791977107525,0.02278645895421505,600576.0,0.3140924870967865,38.09339904785156,25.57356834411621,0.4842968285083771,390,1746196642.1382844
0.25512775778770447,1.0,212.071425042,0.5569013357162476,2944,399,0.008426966145634651,0.0,0.0240885429084301,612864.0,0.2944599390029907,38.09339904785156,24.51692771911621,0.4842968285083771,398,1746196644.8455625
0.239828959107399,1.0,214.42336943,0.9488266110420227,3000,406,0.008426966145634651,0.03125,0.02734375186264515,623616.0,0.26534074544906616,38.09339904785156,24.066408157348633,0.4842968285083771,405,1746196647.1975164
0.25246936082839966,1.0,221.384870019,1.1464309692382812,3160,426,0.008426966145634651,0.0677083358168602,0.01953125186264515,654336.0,0.38662388920783997,38.09339904785156,27.76888084411621,0.4842968285083771,425,1746196654.158919
0.24580425024032593,1.0,223.072433407,1.0786514282226562,3200,431,0.008426966145634651,0.005859375465661287,0.0221354179084301,662016.0,0.30754077434539795,38.09339904785156,26.882814407348633,0.4842968285083771,430,1746196655.8465776
0.2798937261104584,1.0,241.270651729,1.2920844554901123,3632,485,0.008426966145634651,0.0,0.02473958395421505,744960.0,0.35814955830574036,38.09339904785156,25.899089813232422,0.4842968285083771,484,1746196674.044695
