returned_episode_lengths,returned_won_episode,update_steps,test_returned_episode_lengths,_step,test_returned_episode_returns,loss,returned_episode,returned_episode_returns,_runtime,grad_steps,test_returned_won_episode,test_returned_episode,qvals,env_step,_timestamp
25.281251907348633,0.0,379,38.789512634277344,378,0.750554621219635,0.15064400434494019,0.02278645895421505,0.3400925099849701,178.244520974,2784,0.05747126415371895,1.0,0.3881317377090454,582144,1747610711.5253544
24.853517532348633,0.0,382,38.789512634277344,381,0.750554621219635,0.139447420835495,0.0260416679084301,0.4110342562198639,179.253409578,2808,0.05747126415371895,1.0,0.38781654834747314,586752,1747610712.5343664
23.008464813232422,0.0,391,38.789512634277344,390,0.750554621219635,0.14388379454612732,0.0221354179084301,0.3919813334941864,182.286926517,2880,0.05747126415371895,1.0,0.3900739550590515,600576,1747610715.5677645
25.02083396911621,0.0,398,38.789512634277344,397,0.750554621219635,0.12804014980793,0.02473958395421505,0.3500124216079712,184.63969618,2936,0.05747126415371895,1.0,0.3748328685760498,611328,1747610717.9205897
24.619792938232422,0.0,405,38.789512634277344,404,0.750554621219635,0.13457584381103516,0.02343750186264515,0.39349594712257385,187.012325177,2992,0.05747126415371895,1.0,0.36993497610092163,622080,1747610720.2931986
25.719402313232422,0.0,426,38.789512634277344,425,0.750554621219635,0.17890842258930206,0.02473958395421505,0.45894402265548706,194.244229874,3160,0.05747126415371895,1.0,0.4108949899673462,654336,1747610727.5251088
24.51497459411621,0.0,432,38.789512634277344,431,0.750554621219635,0.122437983751297,0.02669270895421505,0.38363122940063477,196.251377223,3208,0.05747126415371895,1.0,0.40719473361968994,663552,1747610729.5322983
24.281251907348633,0.0358072929084301,445,38.789512634277344,444,0.750554621219635,0.1299045979976654,0.02473958395421505,0.4831133484840393,200.595673229,3312,0.05747126415371895,1.0,0.3939700126647949,683520,1747610733.8765607
26.126955032348633,0.01888020895421505,447,38.789512634277344,446,0.750554621219635,0.13067889213562012,0.02083333395421505,0.40952545404434204,201.264792945,3328,0.05747126415371895,1.0,0.3802579939365387,686592,1747610734.5457234
25.639324188232422,0.0,450,38.789512634277344,449,0.750554621219635,0.1590738296508789,0.02343750186264515,0.35979920625686646,202.269850186,3352,0.05747126415371895,1.0,0.36434614658355713,691200,1747610735.5507147
22.57942771911621,0.0,457,38.789512634277344,456,0.750554621219635,0.17615653574466705,0.02278645895421505,0.37261539697647095,204.626427448,3408,0.05747126415371895,1.0,0.30245548486709595,701952,1747610737.9073033
25.632814407348633,0.0,470,38.789512634277344,469,0.750554621219635,0.10388649255037308,0.0240885429084301,0.43024715781211853,209.01519425,3512,0.05747126415371895,1.0,0.31828686594963074,721920,1747610742.2960951
27.217449188232422,0.0,480,38.789512634277344,479,0.750554621219635,0.16665509343147278,0.02343750186264515,0.3719768524169922,212.391357082,3592,0.05747126415371895,1.0,0.27927854657173157,737280,1747610745.67228
25.34505271911621,0.0,484,38.789512634277344,483,0.750554621219635,0.12901601195335388,0.0260416679084301,0.3329141438007355,213.735988797,3624,0.05747126415371895,1.0,0.24427443742752075,743424,1747610747.0168583
24.453777313232422,0.0,493,38.789512634277344,492,0.750554621219635,0.15811456739902496,0.02473958395421505,0.4051733911037445,216.757974156,3696,0.05747126415371895,1.0,0.28523892164230347,757248,1747610750.0388117
23.669923782348633,0.0,502,38.789512634277344,501,0.750554621219635,0.1557348221540451,0.02669270895421505,0.4586707353591919,219.789343468,3768,0.05747126415371895,1.0,0.28744223713874817,771072,1747610753.070288
24.71028709411621,0.0,539,38.789512634277344,538,0.750554621219635,0.14813151955604553,0.0240885429084301,0.47404056787490845,232.256601438,4064,0.05747126415371895,1.0,0.2376830279827118,827904,1747610765.537556
