test_returned_episode_lengths,_runtime,_timestamp,env_step,qvals,returned_episode_lengths,returned_episode_returns,loss,test_returned_episode,update_steps,returned_episode,test_returned_won_episode,test_returned_episode_returns,grad_steps,returned_won_episode,_step
89.880859375,935.583177298,1746195998.9957278,4664832.0,-0.707744836807251,25.94661521911621,0.47230902314186096,0.1134868860244751,1.0,3037,0.0078125,0.939453125,1.9357627630233765,24048,0.19921875,3036
89.880859375,944.463020526,1746196007.8755836,4710912.0,-0.5100858211517334,26.40885353088379,0.48892614245414734,0.11460278928279877,1.0,3067,0.0078125,0.939453125,1.9357627630233765,24288,0.2154947966337204,3066
89.880859375,945.644926015,1746196009.0574605,4717056.0,-0.557085394859314,24.15234375,0.3863506317138672,0.12119605392217636,1.0,3071,0.0078125,0.939453125,1.9357627630233765,24320,0.1419270783662796,3070
89.880859375,950.075274525,1746196013.487809,4740096.0,-0.457771360874176,26.07291603088379,0.5279721617698669,0.11422181129455566,1.0,3086,0.0078125,0.939453125,1.9357627630233765,24440,0.2486979216337204,3085
89.880859375,950.961523694,1746196014.3740711,4744704.0,-0.4110431969165802,26.76302146911621,0.528954803943634,0.11469509452581406,1.0,3089,0.0078125,0.939453125,1.9357627630233765,24464,0.24609375,3088
89.880859375,954.51163275,1746196017.924178,4763136.0,-0.40980708599090576,25.54557228088379,0.46716055274009705,0.10636204481124878,1.0,3101,0.0078125,0.939453125,1.9357627630233765,24560,0.1966145783662796,3100
89.880859375,959.237514828,1746196022.6500707,4787712.0,-0.3619508147239685,26.20182228088379,0.5474513173103333,0.13773790001869202,1.0,3117,0.0078125,0.939453125,1.9357627630233765,24688,0.2662760317325592,3116
89.880859375,960.423182275,1746196023.8357313,4793856.0,-0.37089258432388306,25.2890625,0.4773367941379547,0.1557748019695282,1.0,3121,0.0078125,0.939453125,1.9357627630233765,24720,0.2141927033662796,3120
89.880859375,962.491333236,1746196025.9039,4804608.0,-0.38829630613327026,27.45963478088379,0.5582291483879089,0.12642845511436462,1.0,3128,0.0078125,0.939453125,1.9357627630233765,24776,0.2584635317325592,3127
89.880859375,966.631854421,1746196030.0444098,4826112.0,-0.4839175343513489,26.37369728088379,0.4604929983615875,0.12344935536384583,1.0,3142,0.0078125,0.939453125,1.9357627630233765,24888,0.1848958283662796,3141
89.880859375,972.839756281,1746196036.2523308,4858368.0,-0.6087093353271484,25.35286521911621,0.4463532865047455,0.09272134304046631,1.0,3163,0.0078125,0.939453125,1.9357627630233765,25056,0.1881510466337204,3162
89.880859375,973.135565229,1746196036.548112,4859904.0,-0.5992474555969238,25.85286521911621,0.519835889339447,0.10570009052753448,1.0,3164,0.0078125,0.939453125,1.9357627630233765,25064,0.2415364533662796,3163
89.880859375,975.202833472,1746196038.6153963,4870656.0,-0.5847113132476807,25.76822853088379,0.5149825811386108,0.0878770500421524,1.0,3171,0.0078125,0.939453125,1.9357627630233765,25120,0.2493489533662796,3170
89.880859375,979.632984358,1746196043.0455265,4893696.0,-0.46511363983154297,27.63932228088379,0.619791567325592,0.09142261743545532,1.0,3186,0.0078125,0.939453125,1.9357627630233765,25240,0.3098958432674408,3185
89.880859375,982.586487563,1746196045.999045,4909056.0,-0.46565091609954834,27.19140625,0.4552837908267975,0.12771405279636383,1.0,3196,0.0078125,0.939453125,1.9357627630233765,25320,0.1770833283662796,3195
89.880859375,984.657004325,1746196048.0695682,4919808.0,-0.4248948395252228,25.46484375,0.5082881450653076,0.12056337296962738,1.0,3203,0.0078125,0.939453125,1.9357627630233765,25376,0.236328125,3202
89.880859375,990.569841192,1746196053.9823837,4950528.0,-0.37914595007896423,26.703125,0.5334938168525696,0.1093175932765007,1.0,3223,0.0078125,0.939453125,1.9357627630233765,25536,0.2408854216337204,3222
89.880859375,992.93113331,1746196056.3437033,4962816.0,-0.379311740398407,25.93359375,0.539600670337677,0.09966391324996948,1.0,3231,0.0078125,0.939453125,1.9357627630233765,25600,0.26171875,3230
89.880859375,996.180244875,1746196059.592814,4979712.0,-0.4627009332180023,26.53645896911621,0.544006884098053,0.11252348870038986,1.0,3242,0.0078125,0.939453125,1.9357627630233765,25688,0.2552083432674408,3241
89.880859375,998.246787447,1746196061.659339,4990464.0,-0.42846426367759705,27.02994728088379,0.5805971622467041,0.0896957665681839,1.0,3249,0.0078125,0.939453125,1.9357627630233765,25744,0.2819010317325592,3248
89.03515625,1000.969421314,1746196064.3819666,5004288.0,-0.5103510618209839,27.59244728088379,0.5302724838256836,0.10249371826648712,1.0,3258,0.0078125,0.958984375,1.9557470083236694,25816,0.24609375,3257
89.03515625,1005.405681255,1746196068.818253,5027328.0,-0.426392138004303,27.18880271911621,0.5787551999092102,0.09899646043777466,1.0,3273,0.0078125,0.958984375,1.9557470083236694,25936,0.2799479067325592,3272
89.03515625,1008.950536627,1746196072.36309,5045760.0,-0.4083406329154968,25.76822853088379,0.5140972137451172,0.09066083282232285,1.0,3285,0.0078125,0.958984375,1.9557470083236694,26032,0.2408854216337204,3284
89.03515625,1023.434428901,1746196086.8469777,5121024.0,-0.3709105849266052,25.89974021911621,0.5192812085151672,0.11372887343168259,1.0,3334,0.0078125,0.958984375,1.9557470083236694,26424,0.2434895783662796,3333
89.03515625,1029.049450167,1746196092.462016,5150208.0,-0.39516735076904297,25.37890625,0.4931822419166565,0.10402810573577881,1.0,3353,0.0078125,0.958984375,1.9557470083236694,26576,0.228515625,3352
89.03515625,1032.890460732,1746196096.3030097,5170176.0,-0.38313373923301697,26.91927146911621,0.5708888173103333,0.08491840958595276,1.0,3366,0.0078125,0.958984375,1.9557470083236694,26680,0.2760416567325592,3365
89.03515625,1036.143222607,1746196099.5557797,5187072.0,-0.37126678228378296,26.0625,0.5464270710945129,0.12907305359840393,1.0,3377,0.0078125,0.958984375,1.9557470083236694,26768,0.2649739682674408,3376
89.03515625,1038.210323319,1746196101.6228786,5197824.0,-0.32503291964530945,26.54427146911621,0.580729067325592,0.07180246710777283,1.0,3384,0.0078125,0.958984375,1.9557470083236694,26824,0.2903645932674408,3383
89.03515625,1040.572391359,1746196103.9849634,5210112.0,-0.40532559156417847,26.55208396911621,0.5328246355056763,0.08435142785310745,1.0,3392,0.0078125,0.958984375,1.9557470083236694,26888,0.2454427033662796,3391
89.03515625,1041.164736909,1746196104.5773127,5213184.0,-0.4104387164115906,25.63411521911621,0.5112846493721008,0.10757988691329956,1.0,3394,0.0078125,0.958984375,1.9557470083236694,26904,0.2389322966337204,3393
