returned_episode_returns,test_returned_episode_returns,test_returned_won_episode,test_returned_episode,test_returned_episode_lengths,grad_steps,returned_episode_lengths,_runtime,returned_won_episode,qvals,returned_episode,env_step,loss,update_steps,_step,_timestamp
0.23534110188484192,0.05964846909046173,0.0,1.0,20.634695053100586,552,25.56966209411621,111.496389194,0.0,0.2697843313217163,0.02343750186264515,153600.0,0.14058919250965118,100,99,1746201141.4508104
0.23835057020187378,0.05964846909046173,0.0,1.0,20.634695053100586,656,25.12239646911621,115.873912636,0.001953125,0.2829883396625519,0.0221354179084301,173568.0,0.4293528199195862,113,112,1746201145.828371
0.2146945744752884,0.05964846909046173,0.0,1.0,20.634695053100586,696,23.986330032348633,117.571607721,0.0,0.2892613410949707,0.01888020895421505,181248.0,0.2945389449596405,118,117,1746201147.5260122
0.2438591718673706,0.05964846909046173,0.0,1.0,20.634695053100586,792,25.089845657348633,121.623506408,0.0,0.330345094203949,0.02343750186264515,199680.0,0.24656909704208374,130,129,1746201151.577946
0.2811735272407532,0.05964846909046173,0.0,1.0,20.634695053100586,880,26.66927146911621,125.337785433,0.0,0.3487650454044342,0.02343750186264515,216576.0,0.19257214665412903,141,140,1746201155.2922275
0.29642364382743835,0.05964846909046173,0.0,1.0,20.634695053100586,1032,25.768230438232422,131.755247401,0.02083333395421505,0.3634908199310303,0.0240885429084301,245760.0,0.39808905124664307,160,159,1746201161.7096806
0.2540481686592102,0.05964846909046173,0.0,1.0,20.634695053100586,1056,24.186199188232422,132.762804589,0.0,0.4121829569339752,0.02473958395421505,250368.0,0.45733681321144104,163,162,1746201162.7172482
0.2866050899028778,0.05964846909046173,0.0,1.0,20.634695053100586,1176,24.151042938232422,137.827108393,0.0,0.3994845747947693,0.02343750186264515,273408.0,0.4180326759815216,178,177,1746201167.78159
0.22367949783802032,0.05964846909046173,0.0,1.0,20.634695053100586,1200,25.482423782348633,138.839627874,0.0,0.3848690390586853,0.0221354179084301,278016.0,0.4238080382347107,181,180,1746201168.7940307
0.2849728465080261,0.05964846909046173,0.0,1.0,20.634695053100586,1224,25.137371063232422,139.864286844,0.0078125,0.3824946880340576,0.02343750186264515,282624.0,0.4005993604660034,184,183,1746201169.8185918
0.24754618108272552,0.05964846909046173,0.0,1.0,20.634695053100586,1264,23.485027313232422,141.552219496,0.0,0.3649720549583435,0.02473958395421505,290304.0,0.38931500911712646,189,188,1746201171.506637
0.2686568796634674,0.05964846909046173,0.0,1.0,20.634695053100586,1272,27.72786521911621,141.892964989,0.0,0.3781660497188568,0.0221354179084301,291840.0,0.4198381304740906,190,189,1746201171.8473794
0.2386723905801773,0.05964846909046173,0.0,1.0,20.634695053100586,1280,26.082033157348633,142.239991176,0.0,0.36750590801239014,0.0182291679084301,293376.0,0.417256236076355,191,190,1746201172.194292
0.2798577845096588,0.05964846909046173,0.0,1.0,20.634695053100586,1384,25.025392532348633,146.610397686,0.0,0.359432190656662,0.02473958395421505,313344.0,0.38928115367889404,204,203,1746201176.564822
0.24220886826515198,0.05964846909046173,0.0,1.0,20.634695053100586,1464,25.94270896911621,149.976347651,0.0,0.3750551640987396,0.02343750186264515,328704.0,0.42575904726982117,214,213,1746201179.930823
0.2558166980743408,0.05964846909046173,0.0,1.0,20.634695053100586,1584,26.77864646911621,155.039391232,0.0,0.3284987211227417,0.0240885429084301,351744.0,0.25493350625038147,229,228,1746201184.9938302
0.3518959581851959,0.05964846909046173,0.0,1.0,20.634695053100586,1600,25.471355438232422,155.711640912,0.033203125,0.35496199131011963,0.02343750186264515,354816.0,0.29334965348243713,231,230,1746201185.6660812
0.23637187480926514,0.05964846909046173,0.0,1.0,20.634695053100586,1736,24.44075584411621,161.434032005,0.01106770895421505,0.3870909810066223,0.01888020895421505,380928.0,0.2649882435798645,248,247,1746201191.3884094
0.2952434718608856,0.05964846909046173,0.0,1.0,20.634695053100586,1760,26.93880271911621,162.451552392,0.0,0.37310531735420227,0.02278645895421505,385536.0,0.3294217586517334,251,250,1746201192.4059913
0.3181811273097992,0.05964846909046173,0.0,1.0,20.634695053100586,1904,25.414064407348633,168.532749355,0.0,0.3318967819213867,0.0240885429084301,413184.0,0.3959347605705261,269,268,1746201198.4871726
