returned_episode_lengths,_runtime,test_returned_episode,env_step,update_steps,loss,test_returned_won_episode,test_returned_episode_lengths,grad_steps,returned_episode_returns,qvals,returned_episode,test_returned_episode_returns,returned_won_episode,_timestamp,_step
30.412761688232422,110.372215665,1.0,245760.0,160,0.04181420058012009,0.0,16.22243309020996,1032,0.17932157218456268,0.7779594659805298,0.014322916977107525,0.008502827025949955,0.0,1746184209.5585368,159
31.34114646911621,114.699337113,1.0,262656.0,171,0.027913320809602737,0.0,16.22243309020996,1120,0.1852949559688568,0.745958685874939,0.015625,0.008502827025949955,0.0,1746184213.8856316,170
31.475261688232422,130.908420175,1.0,325632.0,212,0.24809008836746216,0.0,16.22243309020996,1448,0.20003607869148254,0.5741469264030457,0.015625,0.008502827025949955,0.0,1746184230.094662,211
31.565105438232422,134.866583381,1.0,340992.0,222,0.22428101301193237,0.0,16.22243309020996,1528,0.20698857307434082,0.5764197707176208,0.01497395895421505,0.008502827025949955,0.0,1746184234.0527892,221
31.471355438232422,137.242411476,1.0,350208.0,228,0.24347850680351257,0.0,16.22243309020996,1576,0.18291234970092773,0.5891163349151611,0.014322916977107525,0.008502827025949955,0.0,1746184236.4286728,227
32.040367126464844,140.808742432,1.0,364032.0,237,0.24504731595516205,0.0,16.22243309020996,1648,0.1741003692150116,0.5756596922874451,0.014322916977107525,0.008502827025949955,0.0,1746184239.9949265,236
31.12109375,149.487284037,1.0,397824.0,259,0.09280332922935486,0.0,16.22243309020996,1824,0.20929047465324402,0.5361304879188538,0.01497395895421505,0.008502827025949955,0.0,1746184248.673471,258
31.54427146911621,155.039380735,1.0,419328.0,273,0.10581024736166,0.0,16.22243309020996,1936,0.19187083840370178,0.457242488861084,0.013671875,0.008502827025949955,0.0,1746184254.2255714,272
31.83724021911621,163.317875892,1.0,451584.0,294,0.3852051794528961,0.0,16.22243309020996,2104,0.2045743316411972,0.39486750960350037,0.01497395895421505,0.008502827025949955,0.0,1746184262.504107,293
30.80208396911621,167.676367474,1.0,468480.0,305,0.36331260204315186,0.0,16.22243309020996,2192,0.16838929057121277,0.4096698760986328,0.01302083395421505,0.008502827025949955,0.0,1746184266.8625975,304
31.18099021911621,169.646766521,1.0,476160.0,310,0.34060138463974,0.0,16.22243309020996,2232,0.18316373229026794,0.4094077944755554,0.014322916977107525,0.008502827025949955,0.0,1746184268.8329682,309
31.68099021911621,178.837056299,1.0,511488.0,333,0.33048126101493835,0.0,53.495513916015625,2416,0.17493078112602234,0.4171270728111267,0.01497395895421505,0.4580112397670746,0.0,1746184278.0233195,332
31.244792938232422,181.205455526,1.0,520704.0,339,0.21181699633598328,0.0,53.495513916015625,2464,0.11860497295856476,0.37597909569740295,0.014322916977107525,0.4580112397670746,0.0,1746184280.3917315,338
