_timestamp,test_returned_episode_lengths,returned_won_episode,returned_episode,loss,qvals,env_step,returned_episode_lengths,grad_steps,returned_episode_returns,test_returned_won_episode,update_steps,test_returned_episode_returns,_step,test_returned_episode,_runtime
1746170326.4336057,83.67244720458984,0.0,0.012369791977107525,0.1243327185511589,-0.7111434936523438,3945984.0,25.58333396911621,20304,0.16404080390930176,0.0,2569,0.28497108817100525,2568,1.0,878.450950865
1746170331.6567752,83.67244720458984,0.0,0.013671875931322575,0.14575189352035522,-0.7087870240211487,3970560.0,24.66927146911621,20432,0.18860678374767303,0.0,2585,0.28497108817100525,2584,1.0,883.674101544
1746170338.9382813,58.813663482666016,0.0,0.0182291679084301,0.1559566855430603,-0.704879641532898,4004352.0,24.963542938232422,20608,0.26414933800697327,0.0,2607,0.41797104477882385,2606,1.0,890.955604181
1746170345.4687097,58.813663482666016,0.0,0.015625,0.14386510848999023,-0.7101004123687744,4035072.0,21.347658157348633,20768,0.16193577647209167,0.0,2627,0.41797104477882385,2626,1.0,897.486036868
1746170348.7313788,58.813663482666016,0.0,0.01302083395421505,0.17454269528388977,-0.7213752865791321,4050432.0,26.05794334411621,20848,0.20846354961395264,0.0,2637,0.41797104477882385,2636,1.0,900.748699257
1746170351.995937,58.813663482666016,0.0,0.015625,0.15021079778671265,-0.7404568195343018,4065792.0,26.543621063232422,20928,0.2078559249639511,0.0,2647,0.41797104477882385,2646,1.0,904.013292433
1746170353.953791,58.813663482666016,0.0,0.012369791977107525,0.13539549708366394,-0.7419623136520386,4075008.0,24.451824188232422,20976,0.18031686544418335,0.0,2653,0.41797104477882385,2652,1.0,905.97113757
1746170354.9327745,58.813663482666016,0.0,0.0162760429084301,0.13455620408058167,-0.7334426641464233,4079616.0,24.263673782348633,21000,0.24802519381046295,0.0,2656,0.41797104477882385,2655,1.0,906.950107223
1746170356.2379732,58.813663482666016,0.0,0.014322916977107525,0.15281081199645996,-0.7286777496337891,4085760.0,25.131511688232422,21032,0.2654080092906952,0.0,2660,0.41797104477882385,2659,1.0,908.255307217
1746170360.1576521,58.813663482666016,0.0,0.0182291679084301,0.15033842623233795,-0.7256834506988525,4104192.0,26.082683563232422,21128,0.24140626192092896,0.0,2672,0.41797104477882385,2671,1.0,912.174983802
1746170364.0760624,58.813663482666016,0.0,0.013671875931322575,0.15559682250022888,-0.7219442129135132,4122624.0,27.697917938232422,21224,0.2859158217906952,0.0,2684,0.41797104477882385,2683,1.0,916.093383926
1746170365.0548964,58.813663482666016,0.0,0.01497395895421505,0.1410035490989685,-0.7134959697723389,4127232.0,23.598308563232422,21248,0.19869792461395264,0.0,2687,0.41797104477882385,2686,1.0,917.072228131
1746170366.6862762,58.813663482666016,0.0,0.012369791977107525,0.1206144392490387,-0.7121522426605225,4134912.0,24.75520896911621,21288,0.23767364025115967,0.0,2692,0.41797104477882385,2691,1.0,918.70360154
1746170372.5593724,58.813663482666016,0.0,0.0162760429084301,0.11836519837379456,-0.7342556715011597,4162560.0,24.617189407348633,21432,0.32078996300697327,0.0,2710,0.41797104477882385,2709,1.0,924.57669637
1746170377.4541373,58.813663482666016,0.0,0.012369791977107525,0.10152021050453186,-0.7487735152244568,4185600.0,26.18099021911621,21552,0.2555338740348816,0.0,2725,0.41797104477882385,2724,1.0,929.471496492
1746170381.0486338,58.813663482666016,0.0,0.012369791977107525,0.10256330668926239,-0.7488245964050293,4202496.0,26.932292938232422,21640,0.24548614025115967,0.0,2736,0.41797104477882385,2735,1.0,933.065975088
1746170383.3327339,58.813663482666016,0.0,0.013671875931322575,0.09247760474681854,-0.754144549369812,4213248.0,27.045574188232422,21696,0.2650825083255768,0.0,2743,0.41797104477882385,2742,1.0,935.350069262
