returned_won_episode,qvals,returned_episode,returned_episode_lengths,grad_steps,loss,test_returned_episode,update_steps,test_returned_episode_returns,returned_episode_returns,test_returned_won_episode,test_returned_episode_lengths,_timestamp,_runtime,env_step,_step
0.3157552182674408,-0.2842690646648407,0.017578125,29.67838478088379,15128,0.4300099015235901,1.0,1922,0.9776987433433533,0.927861213684082,0.16603487730026245,41.851402282714844,1746203027.0105956,776.050734362,2952192.0,1921
0.2845052182674408,-0.2731609344482422,0.01953125,28.88606834411621,15136,0.4105445146560669,1.0,1923,0.9776987433433533,0.859173059463501,0.16603487730026245,41.851402282714844,1746203027.3886585,776.428843237,2953728.0,1922
0.3040364682674408,-0.3219452500343323,0.01822916604578495,29.046875,15152,0.42551034688949585,1.0,1925,0.9776987433433533,0.8990817666053772,0.16603487730026245,41.851402282714844,1746203028.1428978,777.183123831,2956800.0,1924
0.326171875,-0.2633489966392517,0.01888020895421505,29.63411521911621,15192,0.47411873936653137,1.0,1930,0.9776987433433533,0.9385806322097778,0.16603487730026245,41.851402282714844,1746203030.0471854,779.087383601,2964480.0,1929
0.3828125,-0.20759737491607666,0.01627604104578495,30.49088478088379,15608,0.4908179044723511,0.9999999403953552,1982,1.6336019039154053,0.988251805305481,0.6790122985839844,44.897705078125,1746203049.8095565,798.849904317,3044352.0,1981
0.3860677182674408,-0.20362991094589233,0.01627604104578495,29.70833396911621,15624,0.4957170784473419,0.9999999403953552,1984,1.6336019039154053,0.9875290989875793,0.6790122985839844,44.897705078125,1746203050.5612652,799.601461697,3047424.0,1983
0.3834635317325592,-0.09916932880878448,0.01692708395421505,29.36979103088379,15672,0.5284683704376221,0.9999999403953552,1990,1.6336019039154053,1.0022329092025757,0.6790122985839844,44.897705078125,1746203052.8153944,801.855534081,3056640.0,1989
0.2864583432674408,-0.23913392424583435,0.01627604104578495,29.63150978088379,15712,0.5343713760375977,0.9999999403953552,1995,1.6336019039154053,0.8775096535682678,0.6790122985839844,44.897705078125,1746203054.6972642,803.737495331,3064320.0,1994
0.4205729067325592,-0.26547476649284363,0.01692708395421505,29.38606834411621,15800,0.6378461122512817,0.9999999403953552,2006,1.6336019039154053,1.0184080600738525,0.6790122985839844,44.897705078125,1746203058.844651,807.884781238,3081216.0,2005
0.3235677182674408,-0.3171170651912689,0.01822916604578495,30.103515625,15872,0.4778958559036255,0.9999999403953552,2015,1.6336019039154053,0.9084861874580383,0.6790122985839844,44.897705078125,1746203062.2725785,811.312851905,3095040.0,2014
0.3658854067325592,-0.3014170527458191,0.017578125,29.41796875,15888,0.4807117283344269,0.9999999403953552,2017,1.6336019039154053,0.9630044102668762,0.6790122985839844,44.897705078125,1746203063.0288212,812.069021892,3098112.0,2016
0.357421875,-0.33057701587677,0.01627604104578495,29.03125,16016,0.5019396543502808,0.9999999403953552,2033,1.6336019039154053,0.9309242963790894,0.6790122985839844,44.897705078125,1746203069.0889301,818.129254785,3122688.0,2032
0.4778645932674408,-0.3447364568710327,0.01627604104578495,29.80143165588379,16040,0.5170801281929016,0.9999999403953552,2036,1.6336019039154053,1.091939926147461,0.6790122985839844,44.897705078125,1746203070.2170067,819.257183546,3127296.0,2035
0.3014322817325592,-0.3400420546531677,0.01627604104578495,29.98958396911621,16104,0.5166023373603821,0.9999999403953552,2044,1.6336019039154053,0.8825942277908325,0.6790122985839844,44.897705078125,1746203073.2241569,822.264293995,3139584.0,2043
0.3502604067325592,-0.37741726636886597,0.01627604104578495,29.37434959411621,16152,0.5452991724014282,0.9999999403953552,2050,1.6336019039154053,0.9376854300498962,0.6790122985839844,44.897705078125,1746203075.516312,824.556520373,3148800.0,2049
0.4166666567325592,-0.3255491852760315,0.015625,29.81380271911621,16376,0.5862133502960205,0.9999999403953552,2078,1.6336019039154053,1.0293911695480347,0.6790122985839844,44.897705078125,1746203086.103849,835.143993212,3191808.0,2077
0.4498697817325592,-0.30401405692100525,0.01692708395421505,30.00260353088379,16520,0.6511278748512268,0.9999999403953552,2096,1.6336019039154053,1.0676430463790894,0.6790122985839844,44.897705078125,1746203092.891257,841.931415715,3219456.0,2095
0.5201823115348816,-0.28671133518218994,0.015625,29.92317771911621,16528,0.6766486167907715,0.9999999403953552,2097,1.6336019039154053,1.1380760669708252,0.6790122985839844,44.897705078125,1746203093.266893,842.307072045,3220992.0,2096
0.4440104067325592,-0.2992183566093445,0.01692708395421505,29.81640625,16576,0.654853343963623,0.9999999403953552,2103,1.6336019039154053,1.0659146308898926,0.6790122985839844,44.897705078125,1746203095.5398383,844.580001128,3230208.0,2102
0.412109375,-0.28287753462791443,0.015625,29.30143165588379,16584,0.6824790239334106,0.9999999403953552,2104,1.6336019039154053,0.9910219311714172,0.6790122985839844,44.897705078125,1746203095.915588,844.955767034,3231744.0,2103
0.3684895932674408,-0.3546738922595978,0.01692708395421505,29.51236915588379,16728,0.5941075086593628,0.9999999403953552,2122,1.6336019039154053,0.9716567993164062,0.6790122985839844,44.897705078125,1746203102.7148614,851.75498007,3259392.0,2121
0.4459635317325592,-0.3370377719402313,0.01692708395421505,30.095703125,16784,0.5995872020721436,0.9999999403953552,2129,1.6336019039154053,1.0418423414230347,0.6790122985839844,44.897705078125,1746203105.351552,854.391759612,3270144.0,2128
0.3880208432674408,-0.39674168825149536,0.01627604104578495,29.59375,16880,0.6734919548034668,0.9999999403953552,2141,1.6336019039154053,0.991741418838501,0.6790122985839844,44.897705078125,1746203109.9117954,858.951970384,3288576.0,2140
0.4713541567325592,-0.41731083393096924,0.01627604104578495,29.81900978088379,16896,0.6699009537696838,0.9999999403953552,2143,1.6336019039154053,1.0953969955444336,0.6790122985839844,44.897705078125,1746203110.6617749,859.701958422,3291648.0,2142
0.46875,-0.497652143239975,0.01627604104578495,29.50130271911621,17008,0.6670154929161072,0.9999999403953552,2157,1.6336019039154053,1.074029803276062,0.6790122985839844,44.897705078125,1746203116.0129206,865.053099302,3313152.0,2156
0.466796875,-0.42672234773635864,0.015625,30.75260353088379,17040,0.7293527722358704,0.9999999403953552,2161,1.6336019039154053,1.0909504890441895,0.6790122985839844,44.897705078125,1746203117.5163732,866.556551063,3319296.0,2160
0.3059895932674408,-0.46494168043136597,0.01692708395421505,29.51302146911621,17056,0.6270325183868408,0.9999999403953552,2163,1.6336019039154053,0.898212730884552,0.6790122985839844,44.897705078125,1746203118.2723174,867.312563634,3322368.0,2162
0.42578125,-0.49992525577545166,0.01627604104578495,29.25716209411621,17096,0.601390540599823,0.9999999403953552,2168,1.6336019039154053,1.0208885669708252,0.6790122985839844,44.897705078125,1746203120.1513395,869.191493802,3330048.0,2167
0.4798177182674408,-0.5783973932266235,0.015625,30.33463478088379,17288,0.5308406352996826,0.9999999403953552,2192,1.6336019039154053,1.0920636653900146,0.6790122985839844,44.897705078125,1746203129.2534251,878.293728743,3366912.0,2191
0.4212239682674408,-0.5087146162986755,0.015625,29.75911521911621,17840,0.5452712774276733,0.9999999403953552,2261,1.6336019039154053,1.033518671989441,0.6790122985839844,44.897705078125,1746203155.3445594,904.38481375,3472896.0,2260
0.3697916567325592,-0.4142412841320038,0.015625,29.38932228088379,18136,0.5348831415176392,0.9999999403953552,2298,1.57854163646698,0.9860936403274536,0.6381638050079346,45.836181640625,1746203169.4275796,918.46772972,3529728.0,2297
0.423828125,-0.3850930333137512,0.017578125,29.19270896911621,18224,0.4935878813266754,0.9999999403953552,2309,1.57854163646698,1.0561619997024536,0.6381638050079346,45.836181640625,1746203173.5681465,922.608325406,3546624.0,2308
0.3606770932674408,-0.37234199047088623,0.01692708395421505,29.69921875,18232,0.5110010504722595,0.9999999403953552,2310,1.57854163646698,0.9717543721199036,0.6381638050079346,45.836181640625,1746203173.9665096,923.006841603,3548160.0,2309
0.4479166567325592,-0.46099531650543213,0.01627604104578495,30.59765625,18264,0.5168333053588867,0.9999999403953552,2314,1.57854163646698,1.075696587562561,0.6381638050079346,45.836181640625,1746203175.4700007,924.510164011,3554304.0,2313
0.4641927182674408,-0.4526761472225189,0.017578125,28.84505271911621,18312,0.4796293079853058,0.9999999403953552,2320,1.57854163646698,1.0970150232315063,0.6381638050079346,45.836181640625,1746203177.7239964,926.76413965,3563520.0,2319
