_timestamp,update_steps,env_step,returned_won_episode,loss,qvals,returned_episode,returned_episode_lengths,grad_steps,test_returned_episode_returns,test_returned_episode_lengths,_step,returned_episode_returns,test_returned_episode,test_returned_won_episode,_runtime
1746175980.68493,2354,3615744.0,0.1848958432674408,1.5129497051239014,-0.40660879015922546,0.0449218787252903,17.458984375,18584,1.0046907663345337,20.127164840698242,2353,0.8628907203674316,1.0000001192092896,0.19340880215168,1119.652796626
1746175982.5209465,2358,3621888.0,0.0572916679084301,1.367251992225647,-0.427626371383667,0.0455729179084301,16.6328125,18616,1.0046907663345337,20.127164840698242,2357,0.7114466428756714,1.0000001192092896,0.19340880215168,1121.488913142
1746175998.020836,2392,3674112.0,0.1640625149011612,1.3511077165603638,-0.4255235195159912,0.0455729179084301,17.19921875,18888,1.0046907663345337,20.127164840698242,2391,0.8452297449111938,1.0000001192092896,0.19340880215168,1136.988767437
1746176006.6733077,2411,3703296.0,0.1471354216337204,1.523268222808838,-0.4332296848297119,0.0455729179084301,17.43359375,19040,1.0046907663345337,20.127164840698242,2410,0.8351563811302185,1.0000001192092896,0.19340880215168,1145.641181289
1746176008.9515963,2416,3710976.0,0.1608072966337204,1.5804495811462402,-0.4401993155479431,0.0449218787252903,17.39192771911621,19080,1.0046907663345337,20.127164840698242,2415,0.8350616693496704,1.0000001192092896,0.19340880215168,1147.919426908
1746176009.8535752,2418,3714048.0,0.1302083432674408,1.5387800931930542,-0.45232516527175903,0.0462239608168602,17.03515625,19096,1.0046907663345337,20.127164840698242,2417,0.7920692563056946,1.0000001192092896,0.19340880215168,1148.821420635
1746176011.2078743,2421,3718656.0,0.1243489682674408,1.68374764919281,-0.4330095648765564,0.0442708358168602,17.296875,19120,1.0046907663345337,20.127164840698242,2420,0.798331081867218,1.0000001192092896,0.19340880215168,1150.175725544
1746176018.9333968,2438,3744768.0,0.1458333432674408,1.394589900970459,-0.45795249938964844,0.0462239608168602,17.21875,19256,1.0046907663345337,20.127164840698242,2437,0.8341975212097168,1.0000001192092896,0.19340880215168,1157.901270535
1746176022.5951097,2446,3757056.0,0.1022135466337204,1.437770962715149,-0.4702390134334564,0.0481770858168602,15.924480438232422,19320,1.0046907663345337,20.127164840698242,2445,0.7603457570075989,1.0000001192092896,0.19340880215168,1161.562999428
1746176027.1779747,2456,3772416.0,0.0397135429084301,1.5179725885391235,-0.5056045055389404,0.0501302108168602,16.001953125,19400,1.0046907663345337,20.127164840698242,2455,0.6779120564460754,1.0000001192092896,0.19340880215168,1166.145823826
1746176044.9191573,2495,3832320.0,0.0794270858168602,1.2329901456832886,-0.5766749382019043,0.0462239608168602,16.537761688232422,19712,1.0046907663345337,20.127164840698242,2494,0.7276871800422668,1.0000001192092896,0.19340880215168,1183.887031018
1746176045.370712,2496,3833856.0,0.1119791716337204,1.182308316230774,-0.577893853187561,0.0481770858168602,15.982422828674316,19720,1.0046907663345337,20.127164840698242,2495,0.758759617805481,1.0000001192092896,0.19340880215168,1184.338774567
1746176046.7274623,2499,3838464.0,0.1210937574505806,1.2035290002822876,-0.5923503637313843,0.0488281287252903,16.189453125,19744,1.0046907663345337,20.127164840698242,2498,0.7752723693847656,1.0000001192092896,0.19340880215168,1185.695314868
1746176049.9022658,2506,3849216.0,0.2180989682674408,1.281790852546692,-0.580272912979126,0.0442708358168602,17.654949188232422,19800,1.0046907663345337,20.127164840698242,2505,0.9034210443496704,1.0000001192092896,0.19340880215168,1188.87016083
1746176054.4723153,2516,3864576.0,0.1764322966337204,1.1520313024520874,-0.5581929683685303,0.0455729179084301,17.092449188232422,19880,1.0046907663345337,20.127164840698242,2515,0.85307776927948,1.0000001192092896,0.19340880215168,1193.4401389
1746176064.0190248,2537,3896832.0,0.1132812574505806,1.160140037536621,-0.5689319372177124,0.0481770858168602,16.211589813232422,20048,1.0046907663345337,20.127164840698242,2536,0.7944722771644592,1.0000001192092896,0.19340880215168,1202.987096949
1746176073.1659276,2557,3927552.0,0.3170573115348816,0.9329497814178467,-0.6120426654815674,0.0436197929084301,17.689453125,20208,1.0046907663345337,20.127164840698242,2556,1.0434898138046265,1.0000001192092896,0.19340880215168,1212.133789539
1746176076.399325,2564,3938304.0,0.1686197966337204,0.9428150653839111,-0.5934427976608276,0.0455729179084301,17.14778709411621,20264,1.0046907663345337,20.127164840698242,2563,0.850438117980957,1.0000001192092896,0.19340880215168,1215.367369307
1746176079.108102,2570,3947520.0,0.1321614682674408,0.9278507232666016,-0.5884984731674194,0.0449218787252903,17.18880271911621,20312,1.0046907663345337,20.127164840698242,2569,0.8159447312355042,1.0000001192092896,0.19340880215168,1218.075957776
1746176092.3102832,2599,3992064.0,0.1920572966337204,0.9321576952934265,-0.6279957294464111,0.0436197929084301,17.930339813232422,20544,1.0046907663345337,20.127164840698242,2598,0.8987571597099304,1.0000001192092896,0.19340880215168,1231.278163633
