test_returned_won_episode,qvals,test_returned_episode_lengths,loss,env_step,returned_episode,grad_steps,returned_won_episode,_timestamp,returned_episode_lengths,test_returned_episode_returns,test_returned_episode,update_steps,returned_episode_returns,_step,_runtime
0.0,0.27454882860183716,24.2269344329834,0.5582846999168396,304128.0,0.0221354179084301,1336,0.010416666977107525,1746456074.0036173,27.099611282348633,0.22909016907215118,1.0,198,0.22144274413585663,197,151.174058781
0.0,0.23789472877979279,24.2269344329834,0.7703511714935303,313344.0,0.0201822929084301,1384,0.0,1746456076.8070872,28.168621063232422,0.22909016907215118,1.0,204,0.24408605694770813,203,153.97770614
0.0,0.2895682156085968,24.2269344329834,2.881093978881836,397824.0,0.02278645895421505,1824,0.0,1746456102.4546292,26.023439407348633,0.22909016907215118,1.0,259,0.25505590438842773,258,179.625050684
0.0,0.2955797016620636,24.2269344329834,3.046408176422119,427008.0,0.01888020895421505,1976,0.0,1746456111.301477,26.156902313232422,0.22909016907215118,1.0,278,0.2380053699016571,277,188.471988737
0.0,0.275694876909256,24.2269344329834,2.7688050270080566,437760.0,0.02343750186264515,2032,0.0,1746456114.5768425,27.285808563232422,0.22909016907215118,1.0,285,0.2688096761703491,284,191.747248321
0.0,0.27892106771469116,24.2269344329834,2.735128402709961,465408.0,0.02148437686264515,2176,0.0279947929084301,1746456122.9845638,26.492189407348633,0.22909016907215118,1.0,303,0.2950079143047333,302,200.155146478
0.004514672793447971,0.2751486897468567,40.35590744018555,2.53018856048584,506880.0,0.02148437686264515,2392,0.0,1746456135.7084358,27.19270896911621,0.4481186866760254,1.0,330,0.27212613821029663,329,212.879095643
0.004514672793447971,0.2519144117832184,40.35590744018555,2.0155978202819824,552960.0,0.02083333395421505,2632,0.0,1746456149.6847885,26.53645896911621,0.4481186866760254,1.0,360,0.23220489919185638,359,226.855261315
0.004514672793447971,0.24262022972106934,40.35590744018555,1.8699657917022705,574464.0,0.0221354179084301,2744,0.0,1746456156.232719,25.978517532348633,0.4481186866760254,1.0,374,0.23559913039207458,373,233.40321697
0.004514672793447971,0.2605705261230469,40.35590744018555,1.180384874343872,577536.0,0.02278645895421505,2760,0.0,1746456157.1599061,27.268230438232422,0.4481186866760254,1.0,376,0.23960363864898682,375,234.330502512
0.004514672793447971,0.25449568033218384,40.35590744018555,1.4908246994018555,585216.0,0.0201822929084301,2800,0.0,1746456159.4949117,26.73177146911621,0.4481186866760254,1.0,381,0.22528138756752014,380,236.665379103
0.004514672793447971,0.26947301626205444,40.35590744018555,1.2338192462921143,635904.0,0.02083333395421505,3064,0.0,1746456175.0149183,26.687501907348633,0.4481186866760254,1.0,414,0.2635478079319,413,252.185347775
0.004514672793447971,0.2655193507671356,40.35590744018555,1.118248701095581,637440.0,0.02148437686264515,3072,0.0,1746456175.488157,26.607423782348633,0.4481186866760254,1.0,415,0.2603830397129059,414,252.658722199
0.004514672793447971,0.2608613669872284,40.35590744018555,1.0946943759918213,651264.0,0.0182291679084301,3144,0.0,1746456179.6729198,27.95638084411621,0.4481186866760254,1.0,424,0.2634586691856384,423,256.851107162
