_runtime,returned_won_episode,qvals,test_returned_episode_returns,_step,returned_episode_lengths,test_returned_episode_lengths,returned_episode,returned_episode_returns,env_step,loss,test_returned_won_episode,update_steps,grad_steps,test_returned_episode,_timestamp
126.58649296,0.0,0.5876055955886841,0.04859044402837753,186,31.71224021911621,32.1638298034668,0.015625,0.16393142938613892,287232.0,0.11825782060623169,0.0,187,1248,1,1746178945.774233
135.632907417,0.0,0.6700119972229004,0.04859044402837753,209,31.0,32.1638298034668,0.014322916977107525,0.16568587720394135,322560.0,0.15644234418869019,0.0,210,1432,1,1746178954.8207176
152.945033092,0.0,0.8207291960716248,0.04859044402837753,253,31.2109375,32.1638298034668,0.015625,0.2063315361738205,390144.0,0.4156985282897949,0.0,254,1784,1,1746178972.1328192
158.446035506,0.0,0.9010010361671448,0.04859044402837753,267,31.32942771911621,32.1638298034668,0.015625,0.18638858199119568,411648.0,0.4242537319660187,0.0,268,1896,1,1746178977.6338942
159.63130042,0.0,0.9058523178100586,0.04859044402837753,270,31.416667938232422,32.1638298034668,0.015625,0.2051754891872406,416256.0,0.41404539346694946,0.0,271,1920,1,1746178978.818992
170.269872178,0.0,0.8284468650817871,0.04859044402837753,297,31.115886688232422,32.1638298034668,0.015625,0.22375492751598358,457728.0,0.3276113271713257,0.0,298,2136,1,1746178989.4577305
172.242046468,0.0,0.8646039366722107,0.04859044402837753,302,31.57421875,32.1638298034668,0.015625,0.17935559153556824,465408.0,0.459747314453125,0.0,303,2176,1,1746178991.4298418
175.000776923,0.0,0.90174800157547,0.04859044402837753,309,30.63671875,32.1638298034668,0.01497395895421505,0.20494017004966736,476160.0,0.6098822355270386,0.0,310,2232,1,1746178994.1886175
176.569242603,0.0,0.870159387588501,0.04859044402837753,313,31.623699188232422,32.1638298034668,0.015625,0.2169846147298813,482304.0,0.5542491674423218,0.0,314,2264,1,1746178995.7570794
177.358445698,0.0,0.8785749077796936,0.04859044402837753,315,31.52864646911621,32.1638298034668,0.01497395895421505,0.20876161754131317,485376.0,0.5146065950393677,0.0,316,2280,1,1746178996.5462325
181.424590296,0.0,0.8405546545982361,0.5709244012832642,325,31.17317771911621,54.51473617553711,0.014322916977107525,0.21966266632080078,500736.0,0.5306332111358643,0.0,326,2360,1,1746179000.6123421
203.418498961,0.0,0.7593353986740112,0.5709244012832642,381,31.921875,54.51473617553711,0.015625,0.21683120727539062,586752.0,0.7148913145065308,0.0,382,2808,1,1746179022.6062896
204.205697729,0.0,0.733252763748169,0.5709244012832642,383,31.484375,54.51473617553711,0.013671875,0.19512909650802612,589824.0,0.4477843940258026,0.0,384,2824,1,1746179023.3935018
