qvals,loss,returned_episode_lengths,env_step,test_returned_episode,test_returned_episode_lengths,returned_episode,test_returned_episode_returns,returned_won_episode,_runtime,update_steps,test_returned_won_episode,returned_episode_returns,_timestamp,grad_steps,_step
0.4379836320877075,0.11752152442932129,24.99283790588379,423936.0,0.9999999403953552,18.209566116333008,0.02669270895421505,0.023530641570687294,0.0,141.484987642,276,0.0,0.3388671576976776,1746201381.311559,1960,275
0.4188750684261322,0.09224667400121689,25.541015625,462336.0,0.9999999403953552,18.209566116333008,0.0234375,0.023530641570687294,0.0,150.794950813,301,0.0,0.3185904920101166,1746201390.6215272,2160,300
0.3792892396450043,0.1275005042552948,24.44466209411621,514560.0,1.0,34.41002655029297,0.025390625,0.2996079921722412,0.0,163.535559875,335,0.0,0.34562498331069946,1746201403.3621216,2432,334
0.35477328300476074,0.37822502851486206,25.529296875,528384.0,1.0,34.41002655029297,0.02473958395421505,0.2996079921722412,0.0,166.886106812,344,0.0,0.28673499822616577,1746201406.712669,2504,343
0.37126773595809937,0.15440495312213898,24.81900978088379,554496.0,1.0,34.41002655029297,0.02799479104578495,0.2996079921722412,0.0,173.209635057,361,0.0,0.20569661259651184,1746201413.0362191,2640,360
0.31854331493377686,0.15677131712436676,23.31966209411621,585216.0,1.0,34.41002655029297,0.02994791604578495,0.2996079921722412,0.0,180.652901439,381,0.0,0.26239579916000366,1746201420.4794774,2800,380
0.2851954996585846,0.11154377460479736,26.51432228088379,600576.0,1.0,34.41002655029297,0.02408854104578495,0.2996079921722412,0.0,184.374727811,391,0.0,0.29829099774360657,1746201424.2013218,2880,390
0.25946033000946045,0.11404463648796082,25.95247459411621,629760.0,1.0,34.41002655029297,0.02083333395421505,0.2996079921722412,0.0,191.44385171,410,0.0,0.22033527493476868,1746201431.2704215,3032,409
0.24209648370742798,0.08513715863227844,25.30403709411621,635904.0,1.0,34.41002655029297,0.02408854104578495,0.2996079921722412,0.0,193.005962932,414,0.0,0.25876951217651367,1746201432.8325045,3064,413
0.2415836751461029,0.10356283187866211,25.01171875,637440.0,1.0,34.41002655029297,0.025390625,0.2996079921722412,0.0,193.377883316,415,0.0,0.3231900632381439,1746201433.204412,3072,414
0.1939111351966858,0.07497287541627884,26.18033790588379,685056.0,1.0,34.41002655029297,0.02213541604578495,0.2996079921722412,0.0,204.912818178,446,0.0,0.27987951040267944,1746201444.7394154,3320,445
0.20192378759384155,0.09655731916427612,26.37565040588379,686592.0,1.0,34.41002655029297,0.021484375,0.2996079921722412,0.0,205.285037377,447,0.0,0.25355467200279236,1746201445.1116064,3328,446
0.11837221682071686,0.06965555250644684,27.7734375,715776.0,1.0,34.41002655029297,0.02083333395421505,0.2996079921722412,0.0,212.353389499,466,0.0,0.2560025751590729,1746201452.1799536,3480,465
