returned_episode_returns,loss,_step,update_steps,qvals,env_step,returned_episode_lengths,test_returned_won_episode,_timestamp,returned_episode,grad_steps,test_returned_episode_returns,test_returned_episode_lengths,test_returned_episode,returned_won_episode,_runtime
0.18013732135295868,0.1067088395357132,155,156,0.2853919267654419,239616.0,16.33138084411621,0.0,1746178160.240941,0.0481770858168602,1000,0.03854344040155411,17.79711151123047,1.0,0.0,107.933956361
0.1715080738067627,0.13925319910049438,169,170,0.25258976221084595,261120.0,16.45052146911621,0.0,1746178166.6253128,0.0462239608168602,1112,0.03854344040155411,17.79711151123047,1.0,0.0,114.318339343
0.1853693425655365,0.15052472054958344,176,177,0.2245682179927826,271872.0,16.895183563232422,0.0,1746178169.8183548,0.0462239608168602,1168,0.03854344040155411,17.79711151123047,1.0,0.0,117.511356584
0.16408619284629822,0.07545929402112961,181,182,0.23073101043701172,279552.0,17.36067771911621,0.0,1746178172.0995448,0.0449218787252903,1208,0.03854344040155411,17.79711151123047,1.0,0.0,119.792571441
0.15847541391849518,0.08952949941158295,182,183,0.2317589670419693,281088.0,17.67122459411621,0.0,1746178172.5555718,0.0436197929084301,1216,0.03854344040155411,17.79711151123047,1.0,0.0,120.248584494
0.16299717128276825,0.09728233516216278,183,184,0.2277059257030487,282624.0,17.74153709411621,0.0,1746178173.0125706,0.0436197929084301,1224,0.03854344040155411,17.79711151123047,1.0,0.0,120.705598858
0.185842826962471,0.06170613691210747,210,211,0.2333184778690338,324096.0,17.596355438232422,0.0,1746178185.330209,0.0436197929084301,1440,0.03854344040155411,17.79711151123047,1.0,0.0,133.023372883
0.20733904838562012,0.06414853036403656,218,219,0.24320413172245026,336384.0,16.912109375,0.0,1746178188.988569,0.0481770858168602,1504,0.03854344040155411,17.79711151123047,1.0,0.0,136.681778554
0.2379261702299118,0.11871606856584549,245,246,0.15088817477226257,377856.0,15.309246063232422,0.0,1746178201.3393857,0.0533854179084301,1720,0.03854344040155411,17.79711151123047,1.0,0.0,149.03259811
0.21972069144248962,0.059314168989658356,268,269,0.11219704151153564,413184.0,17.06770896911621,0.0,1746178211.8532546,0.0455729179084301,1904,0.03854344040155411,17.79711151123047,1.0,0.0,159.546453007
0.2506865859031677,0.03457587957382202,275,276,0.12356086075305939,423936.0,16.724609375,0.0,1746178215.060791,0.0481770858168602,1960,0.03854344040155411,17.79711151123047,1.0,0.0,162.754005835
0.270963579416275,0.0389237105846405,278,279,0.1253214180469513,428544.0,16.234375,0.0,1746178216.4338708,0.0507812537252903,1984,0.03854344040155411,17.79711151123047,1.0,0.0,164.127302266
0.2660156488418579,0.05340476706624031,288,289,0.13207459449768066,443904.0,15.160807609558105,0.0,1746178221.0117812,0.0488281287252903,2064,0.03854344040155411,17.79711151123047,1.0,0.0,168.705002651
0.25964727997779846,0.0528767891228199,289,290,0.13280537724494934,445440.0,15.483724594116211,0.0,1746178221.469095,0.0462239608168602,2072,0.03854344040155411,17.79711151123047,1.0,0.0,169.162294855
0.25108903646469116,0.44921767711639404,332,333,0.09392715990543365,511488.0,17.037761688232422,0.005221214611083269,1746178241.2579453,0.0462239608168602,2416,0.6598965525627136,16.675186157226562,1.0,0.0,188.951162344
0.2636009156703949,0.10684749484062195,336,337,0.10084927827119827,517632.0,13.481120109558105,0.005221214611083269,1746178243.0884066,0.0605468787252903,2448,0.6598965525627136,16.675186157226562,1.0,0.0,190.78146047
0.2526988983154297,0.5517081022262573,344,345,0.12022888660430908,529920.0,15.792318344116211,0.005221214611083269,1746178246.742085,0.0520833358168602,2512,0.6598965525627136,16.675186157226562,1.0,0.0,194.435109073
0.3177439272403717,0.3738311529159546,360,361,0.16904327273368835,554496.0,14.086588859558105,0.005221214611083269,1746178254.044531,0.0585937537252903,2640,0.6598965525627136,16.675186157226562,1.0,0.0,201.737525531
0.3209162652492523,0.3410227298736572,362,363,0.17133021354675293,557568.0,13.998698234558105,0.005221214611083269,1746178254.9567437,0.0598958358168602,2656,0.6598965525627136,16.675186157226562,1.0,0.0,202.649742626
0.3319011330604553,0.2993256449699402,371,372,0.17785120010375977,571392.0,14.300782203674316,0.005221214611083269,1746178259.0621996,0.0585937537252903,2728,0.6598965525627136,16.675186157226562,1.0,0.0,206.755222654
