env_step,returned_won_episode,returned_episode_returns,test_returned_episode_lengths,returned_episode,test_returned_won_episode,qvals,test_returned_episode_returns,returned_episode_lengths,_step,loss,update_steps,_timestamp,test_returned_episode,grad_steps,_runtime
230400.0,0.0,0.3003312051296234,23.661344528198242,0.02343750186264515,0.0,0.4141451120376587,0.0643957182765007,26.051433563232422,149,0.26324746012687683,150,1746198858.1112788,1.0,952,126.60291654
258048.0,0.0,0.2555982768535614,23.661344528198242,0.01953125186264515,0.0,0.3973294496536255,0.0643957182765007,25.387371063232422,167,0.3293410539627075,168,1746198864.1725056,1.0,1096,132.66431045
278016.0,0.0,0.2904403507709503,23.661344528198242,0.02083333395421505,0.0,0.36603471636772156,0.0643957182765007,27.147136688232422,180,0.36069315671920776,181,1746198868.5563757,1.0,1200,137.048010139
285696.0,0.0,0.29857900738716125,23.661344528198242,0.02343750186264515,0.0,0.4222275912761688,0.0643957182765007,25.30794334411621,185,0.3857036232948303,186,1746198870.2476883,1.0,1240,138.739362675
307200.0,0.0,0.3516448736190796,23.661344528198242,0.02539062686264515,0.0,0.45862749218940735,0.0643957182765007,25.147136688232422,199,0.4846363365650177,200,1746198874.9677181,1.0,1352,143.459473653
371712.0,0.0,0.23828326165676117,23.661344528198242,0.0221354179084301,0.0,0.447409451007843,0.0643957182765007,24.904949188232422,241,0.9107968807220459,242,1746198889.1396198,1.0,1688,157.631584699
396288.0,0.0,0.3058224618434906,23.661344528198242,0.0240885429084301,0.0,0.39592644572257996,0.0643957182765007,26.902996063232422,257,0.5532699227333069,258,1746198894.5349782,1.0,1816,163.026671716
414720.0,0.0,0.27760669589042664,23.661344528198242,0.0221354179084301,0.0,0.41066354513168335,0.0643957182765007,26.36067771911621,269,0.6198242902755737,270,1746198898.5725355,1.0,1912,167.064194161
428544.0,0.0,0.3040550947189331,23.661344528198242,0.0240885429084301,0.0,0.41070687770843506,0.0643957182765007,25.748699188232422,278,0.7166418433189392,279,1746198901.6219933,1.0,1984,170.113643829
442368.0,0.0,0.23267963528633118,23.661344528198242,0.02539062686264515,0.0,0.3986493945121765,0.0643957182765007,26.097658157348633,287,1.068105936050415,288,1746198904.6462188,1.0,2056,173.137918112
459264.0,0.0,0.2391211986541748,23.661344528198242,0.0221354179084301,0.0,0.4120120406150818,0.0643957182765007,26.855470657348633,298,0.9610567092895508,299,1746198908.3644164,1.0,2144,176.856070211
470016.0,0.0,0.24179422855377197,23.661344528198242,0.0221354179084301,0.0,0.3869739770889282,0.0643957182765007,27.765626907348633,305,1.3994765281677246,306,1746198910.7135074,1.0,2200,179.205151846
485376.0,0.0,0.2033989429473877,23.661344528198242,0.02148437686264515,0.0,0.4047098755836487,0.0643957182765007,25.687501907348633,315,0.9638166427612305,316,1746198914.0880284,1.0,2280,182.579682086
499200.0,0.0,0.2357538342475891,24.817319869995117,0.02864583395421505,0.0004308487696107477,0.3840138912200928,0.18467387557029724,23.676433563232422,324,1.0801780223846436,325,1746198917.2004507,1.0,2352,185.692147308
623616.0,0.009765625931322575,0.272941529750824,24.817319869995117,0.017578125,0.0004308487696107477,0.4116418957710266,0.18467387557029724,27.11458396911621,405,2.8832645416259766,406,1746198944.6110144,1.0,3000,213.102682837
626688.0,0.0,0.23484402894973755,24.817319869995117,0.0221354179084301,0.0004308487696107477,0.40935373306274414,0.18467387557029724,26.914714813232422,407,1.673628330230713,408,1746198945.2829401,1.0,3016,213.774611876
