test_returned_episode_lengths,test_returned_episode_returns,returned_episode_returns,loss,update_steps,grad_steps,test_returned_episode,returned_episode,env_step,returned_episode_lengths,_runtime,test_returned_won_episode,_timestamp,qvals,_step,returned_won_episode
32.83440017700195,0.455923855304718,0.32025063037872314,0.1084197461605072,180,1192,1.0,0.02278645895421505,276480.0,25.06966209411621,116.534547992,0.0,1746192216.767055,0.4301179051399231,179,0.0
32.83440017700195,0.455923855304718,0.31071940064430237,0.1560056507587433,190,1272,1.0,0.02408854104578495,291840.0,24.97005271911621,120.304294956,0.0,1746192220.5368001,0.45736217498779297,189,0.0
32.83440017700195,0.455923855304718,0.3133821487426758,0.30420780181884766,200,1352,1.0,0.02473958395421505,307200.0,24.224609375,124.126319395,0.0,1746192224.358683,0.43878933787345886,199,0.0
32.83440017700195,0.455923855304718,0.3213313817977905,0.29524946212768555,217,1488,1.0,0.02408854104578495,333312.0,25.94466209411621,130.575723145,0.0,1746192230.8081987,0.43625950813293457,216,0.0
32.83440017700195,0.455923855304718,0.29825517535209656,0.3109891712665558,223,1536,1.0,0.02473958395421505,342528.0,24.658203125,132.86568306,0.0,1746192233.0980535,0.4402914047241211,222,0.0
32.83440017700195,0.455923855304718,0.29144853353500366,0.2777981758117676,237,1648,1.0,0.025390625,364032.0,25.43033790588379,138.181531413,0.0,1746192238.4138765,0.430367112159729,236,0.0
32.83440017700195,0.455923855304718,0.3118554651737213,0.23957929015159607,262,1848,1.0,0.02408854104578495,402432.0,25.58138084411621,147.639433883,0.0,1746192247.871957,0.4027002453804016,261,0.0
32.83440017700195,0.455923855304718,0.29612627625465393,0.21971231698989868,264,1864,1.0,0.025390625,405504.0,24.4140625,148.390933093,0.0,1746192248.6234345,0.4034256339073181,263,0.0
32.83440017700195,0.455923855304718,0.30132484436035156,0.23777934908866882,267,1888,1.0,0.0234375,410112.0,25.13150978088379,149.51823406,0.0,1746192249.7507539,0.39947807788848877,266,0.0
32.83440017700195,0.455923855304718,0.30628904700279236,0.08698022365570068,290,2072,1.0,0.02473958395421505,445440.0,24.654296875,158.237283914,0.0,1746192258.469763,0.3991049826145172,289,0.0
32.83440017700195,0.455923855304718,0.33494463562965393,0.08568442612886429,295,2112,1.0,0.02734375,453120.0,24.05208396911621,160.129642625,0.0,1746192260.3621044,0.3910716772079468,294,0.0
32.83440017700195,0.455923855304718,0.32301753759384155,0.08144930005073547,303,2176,1.0,0.02213541604578495,465408.0,25.14453125,163.139350803,0.0,1746192263.3718524,0.38646355271339417,302,0.0
32.83440017700195,0.455923855304718,0.33520179986953735,0.07876916974782944,317,2288,1.0,0.025390625,486912.0,24.9609375,168.432864898,0.0,1746192268.665358,0.3456277847290039,316,0.0
35.010215759277344,0.4930204153060913,0.35329097509384155,0.06873108446598053,334,2424,0.9999999403953552,0.02604166604578495,513024.0,25.01692771911621,174.962589677,0.0,1746192275.1950898,0.3168485760688782,333,0.0
35.010215759277344,0.4930204153060913,0.33136066794395447,0.0575435534119606,372,2728,0.9999999403953552,0.02473958395421505,571392.0,25.03190040588379,189.332300032,0.0,1746192289.564745,0.26462826132774353,371,0.0
35.010215759277344,0.4930204153060913,0.3208463490009308,0.06490123271942139,373,2736,0.9999999403953552,0.02213541604578495,572928.0,26.439453125,189.707798932,0.0,1746192289.940289,0.2561344504356384,372,0.0
35.010215759277344,0.4930204153060913,0.3713736832141876,0.052735354751348495,406,3000,0.9999999403953552,0.02278645895421505,623616.0,24.185546875,202.2693724,0.0,1746192302.5018682,0.20073747634887695,405,0.0
